rho(fm-3),E(MeV/fm3),P(MeV/fm3)
1.00E-15,1.00E-12,-1.00E-30
4.70E-15,4.38E-12,6.30E-26
4.73E-15,4.41E-12,6.30E-25
4.76E-15,4.43E-12,6.30E-24
4.91E-15,4.57E-12,6.30E-23
6.99E-15,6.51E-12,7.55E-22
9.90E-15,9.20E-12,8.74E-21
2.72E-14,2.53E-11,1.06E-19
1.27E-13,1.19E-10,3.63E-18
6.93E-13,6.45E-10,1.19E-16
6.30E-12,5.86E-09,6.08E-15
1.58E-11,1.47E-08,3.10E-14
3.97E-11,3.70E-08,1.52E-13
9.98E-11,9.28E-08,7.18E-13
2.51E-10,2.33E-07,3.29E-12
6.29E-10,5.86E-07,1.45E-11
1.58E-09,1.47E-06,6.09E-11
3.97E-09,3.70E-06,2.44E-10
5.00E-09,4.65E-06,3.28E-10
9.98E-09,9.28E-06,8.96E-10
1.99E-08,1.85E-05,2.39E-09
3.97E-08,3.70E-05,6.28E-09
7.92E-08,7.38E-05,1.63E-08
1.58E-07,1.47E-04,4.17E-08
1.99E-07,1.85E-04,5.45E-08
3.16E-07,2.94E-04,1.02E-07
5.00E-07,4.66E-04,1.89E-07
6.29E-07,5.86E-04,2.58E-07
7.75E-07,7.23E-04,3.14E-07
9.76E-07,9.09E-04,4.28E-07
1.55E-06,1.44E-03,7.94E-07
2.45E-06,2.29E-03,1.47E-06
3.97E-06,3.70E-03,2.72E-06
4.83E-06,4.50E-03,3.53E-06
6.08E-06,5.67E-03,4.81E-06
7.65E-06,7.14E-03,6.54E-06
9.98E-06,9.31E-03,8.89E-06
1.27E-05,1.19E-02,1.21E-05
1.58E-05,1.48E-02,1.56E-05
1.99E-05,1.86E-02,2.12E-05
2.51E-05,2.34E-02,2.89E-05
3.15E-05,2.95E-02,3.71E-05
3.97E-05,3.71E-02,5.05E-05
5.00E-05,4.68E-02,6.87E-05
6.46E-05,6.04E-02,9.33E-05
8.33E-05,7.80E-02,1.27E-04
2.09E-04,0.196056543,0.000387816
2.21E-04,0.206894037,0.000401257
2.31E-04,0.216805968,0.000410673
2.64E-04,0.247932911,0.000436457
3.05E-04,0.286531665,0.000466034
3.53E-04,0.331626185,0.00050013
4.08E-04,0.382700398,0.000539404
4.68E-04,0.439440175,0.000584482
5.34E-04,0.501632355,0.000635918
6.06E-04,0.569136703,0.000694387
7.66E-04,0.71975094,0.000834288
1.05E-03,0.984069109,0.001110221
1.26E-03,1.185897795,0.001344533
1.62E-03,1.527570539,0.001782456
2.04E-03,1.917204241,0.002337566
2.67E-03,2.514556571,0.00328717
3.41E-03,3.205979694,0.00451177
4.47E-03,4.213047624,0.00649272
5.73E-03,5.393392046,0.009056112
7.50E-03,7.064004039,0.013037856
9.98E-03,9.409322937,0.01916928
1.25E-02,11.80344421,0.025942176
1.65E-02,15.61900488,0.037586016
2.14E-02,20.21820834,0.052798512
2.42E-02,22.82380659,0.061954464
2.79E-02,26.36506423,0.07502352
3.19E-02,30.20306277,0.0900432
3.63E-02,34.30358445,0.107172
3.99E-02,37.74274976,0.12246624
4.46E-02,42.19666798,0.14366976
4.84E-02,45.85067594,0.16235232
5.23E-02,49.5596567,0.18258864
5.63E-02,53.30229427,0.20439744
6.02E-02,57.06512593,0.2277912
6.42E-02,60.83468895,0.25277616
6.72E-02,63.67308016,0.27256944
7.02E-02,66.5226903,0.29326752
7.32E-02,69.40034779,0.31488288
7.52E-02,71.35244292,0.32982144
7.60E-02,72.05362652,0.33533136
