P(MeV/fm3),rho/rho0
245.3619835,4.599667774
161.1481084,4.594684385
112.9711107,4.589700997
70.27560868,4.594684385
68.48251658,4.315614618
66.137421,4.006644518
51.7407084,3.57807309
42.76011868,3.323920266
36.20260873,3.109634551
30.42252025,2.895348837
25.02074192,2.676079734
21.05787483,2.486710963
16.96919214,2.337209302
14.24842476,2.197674419
11.39727953,2.003322259
25.25917946,1.99833887
31.87944262,2.157807309
41.95351229,2.34717608
59.37255435,2.581395349
71.86180913,2.710963455
88.30502265,2.925249169
108.9253183,3.169435216
127.4126938,3.363787375
143.1067819,3.493355482
160.9894189,3.727574751
184.9731522,3.976744186
216.4316161,4.300664452
245.3619835,4.599667774
