P(MeV/fm3),rho/rho0
390.2710472,4.599667774
305.7229637,4.594684385
257.2121429,4.589700997
118.4672271,4.594684385
110.6405784,4.315614618
102.0852716,4.006644518
79.89164835,3.57807309
66.7359816,3.323920266
56.91794634,3.109634551
48.1149763,2.895348837
39.86616409,2.676079734
33.64501815,2.486710963
27.90488249,2.337209302
23.74746161,2.197674419
19.063918,2.003322259
48.1258932,1.99833887
59.20088088,2.157807309
75.08004611,2.34717608
100.4516756,2.581395349
117.7069014,2.710963455
142.6049697,2.925249169
173.729371,3.169435216
201.2387426,3.363787375
223.2731611,3.493355482
253.2781776,3.727574751
291.0923318,3.976744186
341.9702228,4.300664452
390.2710472,4.599667774
