rho/rho0,P(MeV/fm3)
0.46511805,3.46E-01
0.49557204,3.72E-01
0.53796182,4.15E-01
0.57963645,4.63E-01
0.61528889,5.07E-01
0.65802575,5.66E-01
0.69849978,6.31E-01
0.7414633,7.04E-01
0.79001122,8.00E-01
0.84173785,9.08E-01
0.8935117,1.03E+00
0.96272994,1.22E+00
1.02576548,1.41E+00
1.09292831,1.66E+00
1.16448869,1.95E+00
1.24073455,2.32E+00
1.34184799,2.92E+00
1.42970659,3.50E+00
1.52901142,4.35E+00
1.62305829,5.32E+00
1.72932937,6.50E+00
1.84255863,8.08E+00
1.95589124,9.88E+00
2.08395483,1.25E+01
2.21213531,1.54E+01
2.36578623,1.97E+01
2.52068802,2.46E+01
2.68573214,3.11E+01
2.85092692,3.87E+01
3.04894714,4.91E+01
3.23648264,6.11E+01
3.46128287,7.60E+01
3.67418043,9.29E+01
3.91475042,1.16E+02
4.18666189,1.44E+02
4.44417628,1.76E+02
4.75286072,2.17E+02
5.0546208,2.60E+02
5.35552267,3.03E+02
5.65320756,3.42E+02
5.94521807,3.74E+02
6.33448611,4.17E+02
6.9020207,4.78E+02
7.5485118,5.54E+02
8.16367645,6.17E+02
8.79609716,6.89E+02
7.46449967,1.68E+03
7.00578982,1.45E+03
6.59984471,1.26E+03
6.17120405,1.06E+03
5.81361836,9.13E+02
5.41579849,7.54E+02
5.1019842,6.40E+02
4.73516237,5.24E+02
4.44417628,4.45E+02
4.15553999,3.64E+02
3.91475042,3.09E+02
3.66049879,2.55E+02
3.448394,2.17E+02
3.23648264,1.76E+02
3.0375937,1.45E+02
2.85624982,1.19E+02
2.68573214,9.72E+01
2.53010946,8.03E+01
2.38350421,6.63E+01
2.22870256,5.33E+01
2.0995621,4.36E+01
1.97790459,3.60E+01
1.86329642,3.00E+01
1.75532914,2.46E+01
1.65361794,2.01E+01
1.54622028,1.59E+01
1.45120166,1.27E+01
1.3696654,1.05E+01
1.29271028,8.70E+00
1.2223569,7.25E+00
1.15367836,6.04E+00
1.08885855,5.03E+00
1.02576548,4.20E+00
0.96994007,3.56E+00
0.91033513,2.92E+00
0.85439305,2.41E+00
0.8048859,1.99E+00
0.7582474,1.66E+00
0.71165144,1.37E+00
0.6679189,1.12E+00
0.62337562,9.00E-01
0.5839775,7.30E-01
0.55013937,6.03E-01
0.5124939,4.80E-01
0.48641363,4.04E-01
0.45822877,3.34E-01
0.46511805,3.46E-01
