P(MeV/fm3),rho/rho0
1.2828652957797653,1.22
1.2998788354805677,1.25
1.3892793165147146,1.27
1.481677979103193,1.29
1.5119393564114154,1.32
1.6064214895762947,1.34
1.7135793067172564,1.36
1.7353954093470902,1.39
1.8538718060230355,1.41
1.9647344714201787,1.43
1.986585869283477,1.46
2.118084928982598,1.48
2.2517139244713986,1.5
2.3874056941145505,1.52
2.4159207800438685,1.55
2.5614933755915765,1.57
2.71891494677787,1.59
2.744644539256949,1.62
2.911453792962595,1.64
3.089931306114428,1.66
3.1219272731021723,1.69
3.2993836206459717,1.71
3.4983616349607383,1.73
3.5258536917246754,1.76
3.723484126371802,1.78
3.982521923653848,1.8
4.132940505080542,1.82
4.192355856863044,1.85
4.421127850606389,1.87
4.7412088831984285,1.89
4.755004077624115,1.92
5.053300535943041,1.94
5.2428673891348065,1.96
5.310839545330387,1.99
5.5785665909594915,2.01
5.937558488805639,2.03
5.959678507828267,2.06
6.296858118122403,2.08
6.625330139297894,2.1
6.945108525093124,2.12
7.008512711069482,2.15
7.406635788869538,2.17
7.796135348793758,2.19
7.914273454609372,2.22
-6.915726545390628,2.22
-6.423864651206243,2.19
-6.203364211130461,2.17
-5.981487288930518,2.15
-5.514891474906875,2.12
-5.304669860702105,2.1
-5.103141881877598,2.08
-4.9003214921717335,2.06
-4.482441511194363,2.03
-4.2914334090405095,2.01
-4.109160454669613,1.99
-3.7171326108651934,1.96
-3.5366994640569596,1.94
-3.374995922375885,1.92
-3.0087911168015715,1.89
-2.8488721493936113,1.87
-2.697644143136956,1.85
-2.3670594949194577,1.82
-2.227478076346152,1.8
-2.0865158736281977,1.78
-1.954146308275325,1.76
-1.6716383650392626,1.73
-1.5406163793540277,1.71
-1.4280727268978275,1.69
-1.1700686938855718,1.66
-1.0585462070374052,1.64
-0.9553554607430508,1.62
-0.7310850532221296,1.59
-0.6385066244084232,1.57
-0.5540792199561313,1.55
-0.3525943058854497,1.52
-0.2782860755286012,1.5
-0.20191507101740203,1.48
-0.13341413071652308,1.46
0.024734471420178705,1.43
0.08387180602303546,1.41
0.1453954093470904,1.39
0.2835793067172565,1.36
0.3264214895762947,1.34
0.3719393564114155,1.32
0.4806779791031933,1.29
0.5132793165147147,1.27
0.5438788354805677,1.25
0.6308652957797651,1.22
1.2828652957797653,1.22
