P(MeV/fm3),rho/rho0
5.020525919926612,1.22
5.365412666936923,1.25
5.683152285951094,1.27
6.0118038953760955,1.29
6.411478941022185,1.32
6.762386025551805,1.34
7.134185813514556,1.36
7.568547858657107,1.39
7.972556669868605,1.41
8.377440272722687,1.43
8.856395244924963,1.46
9.303444650118525,1.48
9.761352150706006,1.5
10.230113180213326,1.52
10.774845311283007,1.55
11.275720737936583,1.57
11.797434365201196,1.59
12.386567258367418,1.62
12.940358160220313,1.64
13.51497287128219,1.66
14.158430950765144,1.69
14.755088034980776,1.71
15.382555380002245,1.73
16.07026749861159,1.76
16.7197443183365,1.78
17.440018612341007,1.8
18.061086857167208,1.82
18.844170309333734,1.85
19.56720837269271,1.87
20.39102847759157,1.89
21.17821778469312,1.92
22.003978716789508,1.94
22.73051039473566,1.96
23.62174624276462,1.99
24.450191223546184,2.01
25.379396215881297,2.03
26.274622239499706,2.06
27.205714354632832,2.08
28.137556262288395,2.1
29.07014513153725,2.12
30.07042288857197,2.15
31.10486702250275,2.17
32.140048501959306,2.19
33.2441974185143,2.22
18.414197418514295,2.22
17.920048501959307,2.19
17.49486702250275,2.17
17.08042288857197,2.15
16.61014513153725,2.12
16.207556262288396,2.1
15.80571435463283,2.08
15.414622239499703,2.06
14.959396215881295,2.03
14.580191223546183,2.01
14.201746242764619,1.99
13.770510394735659,1.96
13.413978716789508,1.94
13.048217784693122,1.92
12.641028477591568,1.89
12.297208372692712,1.87
11.954170309333733,1.85
11.561086857167208,1.82
11.230018612341006,1.8
10.909744318336498,1.78
10.590267498611588,1.76
10.212555380002243,1.73
9.915088034980776,1.71
9.608430950765145,1.69
9.254972871282192,1.66
8.970358160220314,1.64
8.686567258367418,1.62
8.347434365201197,1.59
8.075720737936583,1.57
7.804845311283008,1.55
7.490113180213326,1.52
7.231352150706007,1.5
6.983444650118525,1.48
6.736395244924963,1.46
6.437440272722686,1.43
6.2025566698686045,1.41
5.978547858657107,1.39
5.704185813514556,1.36
5.482386025551806,1.34
5.271478941022185,1.32
5.010803895376095,1.29
4.807152285951094,1.27
4.609412666936922,1.25
4.368525919926611,1.22
5.020525919926612,1.22
