P(MeV/fm3),rho/rho0
6.86578888,1.22
7.283119,1.25
7.649728429,1.27
8.027705843,1.29
8.502218412,1.32
8.903579038,1.34
9.32627872,1.36
9.837821788,1.39
10.293835,1.41
10.75116041,1.43
11.30959287,1.46
11.81016698,1.48
12.32202823,1.5
12.84516977,1.52
13.47226797,1.55
14.02858111,1.57
14.60615155,1.59
15.27985089,1.62
15.89053724,1.64
16.52245931,1.66
17.25264643,1.69
17.90763205,1.71
18.59383307,1.73
19.37040125,1.76
20.07961648,1.78
20.86002792,1.8
21.54163029,1.82
22.41625546,1.85
23.20081256,1.87
24.08654272,1.89
24.96732668,1.92
25.85596808,1.94
26.64576559,1.96
27.63261936,1.99
28.52528684,2.01
29.51909432,2.03
30.51193336,2.06
31.50857153,2.08
32.50633439,2.1
33.5052177,2.12
34.60563433,2.15
35.70730053,2.17
36.81007275,2.19
38.01629613,2.22
13.64209871,2.22
13.25002425,2.19
12.89243351,2.17
12.54521144,2.15
12.17507257,2.12
11.83877813,2.1
11.50285718,2.08
11.17731112,2.06
10.81969811,2.03
10.50509561,2.01
10.19087312,1.99
9.855255197,1.96
9.561989358,1.94
9.259108892,1.92
8.945514239,1.89
8.663604186,1.87
8.382085155,1.85
8.080543429,1.82
7.810009306,1.8
7.549872159,1.78
7.290133749,1.76
7.00127769,1.73
6.762544017,1.71
6.514215475,1.69
6.247486436,1.66
6.02017908,1.64
5.793283629,1.62
5.538717183,1.59
5.322860369,1.57
5.107422656,1.55
4.87505659,1.52
4.670676075,1.5
4.476722325,1.48
4.283197622,1.46
4.063720136,1.43
3.881278335,1.41
3.709273929,1.39
3.512092907,1.36
3.341193013,1.34
3.180739471,1.32
2.994901948,1.29
2.840576143,1.27
2.691706333,1.25
2.52326296,1.22
6.86578888,1.22
