P(MeV/fm3),rho/rho0
9.575806460196288,1.22
10.215404894174023,1.25
10.734845244634435,1.27
11.269379296551943,1.29
11.985719640698328,1.32
12.552965098680122,1.34
13.145285989619275,1.36
13.918272394304196,1.39
14.553259162752045,1.41
15.19330325793776,1.43
16.03284070708881,1.46
16.72550581063317,1.48
17.43321048480244,1.5
18.155949739733146,1.52
19.089487648221063,1.55
19.85479180116869,1.57
20.645113409016165,1.59
21.644993084961044,1.62
22.477837482387862,1.64
23.335682785752606,1.66
24.41181735647757,1.69
25.30214484316667,1.71
26.22745730628877,1.73
27.369763146491003,1.76
28.327518766472433,1.78
29.360244073856826,1.8
30.297934819065617,1.82
31.563771966614034,1.85
32.61385806028416,1.87
33.768895132649924,1.89
35.06072506070514,1.92
36.22812213351757,1.94
37.3004563631617,1.96
38.718206503543264,1.99
39.90286696150052,2.01
41.19245137663998,2.03
42.636052426750325,2.06
43.937930829912894,2.08
45.24472059305684,2.1
46.55641822449759,2.12
48.13315940159663,2.15
49.55711173313029,2.17
50.98596007653879,2.19
52.68840543826256,2.22
37.85840543826256,2.22
36.76596007653878,2.19
35.94711173313029,2.17
35.14315940159663,2.15
34.09641822449759,2.12
33.31472059305685,2.1
32.537930829912895,2.08
31.776052426750326,2.06
30.772451376639978,2.03
30.032866961500517,2.01
29.298206503543263,1.99
28.340456363161703,1.96
27.638122133517577,1.94
26.93072506070514,1.92
26.018895132649924,1.89
25.343858060284155,1.87
24.673771966614034,1.85
23.797934819065617,1.82
23.150244073856825,1.8
22.517518766472435,1.78
21.889763146491,1.76
21.057457306288768,1.73
20.46214484316667,1.71
19.861817356477573,1.69
19.075682785752605,1.66
18.50783748238786,1.64
17.94499308496104,1.62
17.195113409016166,1.59
16.65479180116869,1.57
16.119487648221064,1.55
15.415949739733147,1.52
14.903210484802441,1.5
14.40550581063317,1.48
13.91284070708881,1.46
13.25330325793776,1.43
12.783259162752046,1.41
12.328272394304197,1.39
11.715285989619275,1.36
11.272965098680121,1.34
10.845719640698327,1.32
10.268379296551942,1.29
9.858845244634436,1.27
9.459404894174025,1.25
8.923806460196289,1.22
9.575806460196288,1.22
