P(MeV/fm3),rho/rho0
13.69870969,1.22
14.55810734,1.25
15.22726787,1.27
15.91406894,1.29
16.86357946,1.32
17.58944765,1.34
18.34292898,1.36
19.36240859,1.39
20.16488874,1.41
20.97495489,1.43
22.07426106,1.46
22.94325872,1.48
23.82981573,1.5
24.73392461,1.52
25.94423147,1.55
26.8971877,1.57
27.87767011,1.59
29.16748963,1.62
30.19675622,1.64
31.25352418,1.66
32.63272603,1.69
33.72821726,1.71
34.86118596,1.73
36.31964472,1.76
37.49127815,1.78
38.74036611,1.8
39.89690223,1.82
41.49565795,1.85
42.77078709,1.87
44.1533427,1.89
45.79108759,1.92
47.1921832,1.94
48.50068454,1.96
50.27730976,1.99
51.70430044,2.01
53.23867706,2.03
55.05407864,2.06
56.60689624,2.08
58.16708089,2.1
59.73462734,2.12
61.6997391,2.15
63.3856676,2.17
65.07894011,2.19
67.18260816,2.22
23.36420272,2.22
22.67298004,2.19
22.11855587,2.17
21.5765797,2.15
20.91820911,2.12
20.3923603,2.1
19.86896541,2.08
19.35802621,2.06
18.72622569,2.03
18.23143348,2.01
17.73910325,1.99
17.14022818,1.96
16.67406107,1.94
16.20036253,1.92
15.63444757,1.89
15.18692903,1.87
14.74188598,1.85
14.19896741,1.82
13.77012204,1.8
13.35375938,1.78
12.93988157,1.76
12.42372865,1.73
12.03607242,1.71
11.64090868,1.69
11.15784139,1.66
10.78891874,1.64
10.42249654,1.62
9.962556705,1.59
9.612395901,1.57
9.264743824,1.55
8.83797487,1.52
8.506605242,1.5
8.187752905,1.48
7.871420354,1.46
7.471651629,1.43
7.171629581,1.41
6.884136197,1.39
6.517642995,1.36
6.236482549,1.34
5.96785982,1.32
5.623689648,1.29
5.366422622,1.27
5.116702447,1.25
4.80090323,1.22
13.69870969,1.22
