rho/rho0,P(MeV/fm3)
1.22E+00,1.33E+00
1.25E+00,1.53E+00
1.27E+00,1.75E+00
1.29E+00,1.98E+00
1.32E+00,2.23E+00
1.34E+00,2.48E+00
1.36E+00,2.75E+00
1.39E+00,3.03E+00
1.41E+00,3.33E+00
1.43E+00,3.63E+00
1.46E+00,3.95E+00
1.48E+00,4.29E+00
1.50E+00,4.64E+00
1.52E+00,5.00E+00
1.55E+00,5.38E+00
1.57E+00,5.77E+00
1.59E+00,6.18E+00
1.62E+00,6.60E+00
1.64E+00,7.04E+00
1.66E+00,7.50E+00
1.69E+00,7.97E+00
1.71E+00,8.45E+00
1.73E+00,8.96E+00
1.76E+00,9.47E+00
1.78E+00,1.00E+01
1.80E+00,1.06E+01
1.82E+00,1.11E+01
1.85E+00,1.17E+01
1.87E+00,1.23E+01
1.89E+00,1.30E+01
1.92E+00,1.36E+01
1.94E+00,1.43E+01
1.96E+00,1.49E+01
1.99E+00,1.56E+01
2.01E+00,1.63E+01
2.03E+00,1.71E+01
2.06E+00,1.78E+01
2.08E+00,1.86E+01
2.10E+00,1.94E+01
2.12E+00,2.02E+01
2.15E+00,2.10E+01
2.17E+00,2.19E+01
2.19E+00,2.28E+01
2.22E+00,2.37E+01
2.22E+00,8.87E+00
2.19E+00,8.58E+00
2.17E+00,8.29E+00
2.15E+00,8.01E+00
2.12E+00,7.74E+00
2.10E+00,7.47E+00
2.08E+00,7.20E+00
2.06E+00,6.94E+00
2.03E+00,6.68E+00
2.01E+00,6.43E+00
1.99E+00,6.18E+00
1.96E+00,5.94E+00
1.94E+00,5.71E+00
1.92E+00,5.47E+00
1.89E+00,5.25E+00
1.87E+00,5.03E+00
1.85E+00,4.81E+00
1.82E+00,4.60E+00
1.80E+00,4.39E+00
1.78E+00,4.19E+00
1.76E+00,3.99E+00
1.73E+00,3.79E+00
1.71E+00,3.61E+00
1.69E+00,3.42E+00
1.66E+00,3.24E+00
1.64E+00,3.07E+00
1.62E+00,2.90E+00
1.59E+00,2.73E+00
1.57E+00,2.57E+00
1.55E+00,2.41E+00
1.52E+00,2.26E+00
1.50E+00,2.11E+00
1.48E+00,1.97E+00
1.46E+00,1.83E+00
1.43E+00,1.69E+00
1.41E+00,1.56E+00
1.39E+00,1.44E+00
1.36E+00,1.32E+00
1.34E+00,1.20E+00
1.32E+00,1.09E+00
1.29E+00,9.79E-01
1.27E+00,8.74E-01
1.25E+00,7.74E-01
1.22E+00,6.78E-01
1.22E+00,1.33E+00
