quantile,R(M=0.2),R(M=0.2292929292929293),R(M=0.2585858585858586),R(M=0.2878787878787879),R(M=0.31717171717171716),R(M=0.3464646464646465),R(M=0.37575757575757573),R(M=0.40505050505050505),R(M=0.43434343434343436),R(M=0.4636363636363636),R(M=0.49292929292929294),R(M=0.5222222222222221),R(M=0.5515151515151515),R(M=0.5808080808080808),R(M=0.61010101010101),R(M=0.6393939393939394),R(M=0.6686868686868687),R(M=0.6979797979797979),R(M=0.7272727272727273),R(M=0.7565656565656564),R(M=0.7858585858585858),R(M=0.8151515151515152),R(M=0.8444444444444443),R(M=0.8737373737373737),R(M=0.9030303030303031),R(M=0.9323232323232322),R(M=0.9616161616161616),R(M=0.990909090909091),R(M=1.02020202020202),R(M=1.0494949494949495),R(M=1.0787878787878786),R(M=1.108080808080808),R(M=1.1373737373737374),R(M=1.1666666666666665),R(M=1.195959595959596),R(M=1.225252525252525),R(M=1.2545454545454544),R(M=1.2838383838383838),R(M=1.313131313131313),R(M=1.3424242424242423),R(M=1.3717171717171717),R(M=1.4010101010101008),R(M=1.4303030303030302),R(M=1.4595959595959596),R(M=1.4888888888888887),R(M=1.518181818181818),R(M=1.5474747474747472),R(M=1.5767676767676766),R(M=1.606060606060606),R(M=1.6353535353535351),R(M=1.6646464646464645),R(M=1.6939393939393939),R(M=1.723232323232323),R(M=1.7525252525252524),R(M=1.7818181818181817),R(M=1.811111111111111),R(M=1.8404040404040403),R(M=1.8696969696969696),R(M=1.8989898989898988),R(M=1.9282828282828282),R(M=1.9575757575757573),R(M=1.9868686868686867),R(M=2.0161616161616163),R(M=2.0454545454545454),R(M=2.0747474747474746),R(M=2.104040404040404),R(M=2.1333333333333333),R(M=2.1626262626262625),R(M=2.191919191919192),R(M=2.221212121212121),R(M=2.2505050505050503),R(M=2.27979797979798),R(M=2.309090909090909),R(M=2.3383838383838382),R(M=2.367676767676768),R(M=2.396969696969697),R(M=2.426262626262626),R(M=2.4555555555555557),R(M=2.484848484848485),R(M=2.514141414141414),R(M=2.5434343434343436),R(M=2.5727272727272728),R(M=2.602020202020202),R(M=2.6313131313131315),R(M=2.6606060606060606),R(M=2.68989898989899),R(M=2.7191919191919194),R(M=2.7484848484848485),R(M=2.7777777777777777),R(M=2.8070707070707073),R(M=2.8363636363636364),R(M=2.8656565656565656),R(M=2.8949494949494947),R(M=2.9242424242424243),R(M=2.9535353535353535),R(M=2.9828282828282826),R(M=3.012121212121212),R(M=3.0414141414141413),R(M=3.0707070707070705),R(M=3.1)
0.000000000000000000e+00,6.796331371991967352e+00,6.738900755811124910e+00,6.780057203457628745e+00,6.869280000084745375e+00,6.958502796711861116e+00,7.047725593338976857e+00,7.136948389966093487e+00,7.225062145087898458e+00,7.312520940789283941e+00,7.399979736490670312e+00,7.487438532192055796e+00,7.574897327893441279e+00,7.656998859085445197e+00,7.736278048487622350e+00,7.815557237889799502e+00,7.894836427291977543e+00,7.974115616694154696e+00,8.046649919056998002e+00,8.118636160798232027e+00,8.190622402539462499e+00,8.259044300831662966e+00,8.321380091093983467e+00,8.383715881356303967e+00,8.446489701309571885e+00,8.509706872214355400e+00,8.572924043119138915e+00,8.636141214023922430e+00,8.694005455883370814e+00,8.749581665891755122e+00,8.805157875900139430e+00,8.859855300266353595e+00,8.910851477270799847e+00,8.959367339050562151e+00,8.999258809980320351e+00,9.039150280910080326e+00,9.078677909198090035e+00,8.238734768562663291e+00,9.150384859108900315e+00,8.283945320344109575e+00,8.604383542287051156e+00,8.982232837974661877e+00,8.650400620480688474e+00,9.223633024321365781e+00,8.921493068553482786e+00,9.255069149999973988e+00,8.746775623116137766e+00,9.248978067747936294e+00,8.798898355915831360e+00,9.229408475150501445e+00,9.217303949960417242e+00,9.170809620768089587e+00,9.169158341828566705e+00,9.146543163689887734e+00,9.118299984160238125e+00,9.075069749999975954e+00,9.030069899999976002e+00,8.968645766834709931e+00,8.879703932970652858e+00,8.669142544624758528e+00,8.835070549999976208e+00,8.842778173748852666e+00,8.892363781853234173e+00,8.983389483192119940e+00,9.163503691258210182e+00,9.197226452870374658e+00,9.210069299999974035e+00,9.345340544219927992e+00,9.432207641349949157e+00,9.573228362247560241e+00,9.698350937169035291e+00,9.708129639770438857e+00,9.896387696668645262e+00,1.000506664999997319e+01,1.006571674133660288e+01,1.012815975657879441e+01,1.038006539999997102e+01,1.060585821556377084e+01,1.062993819910772686e+01,1.068658611994827545e+01,1.082819093209939432e+01,1.092419665139781948e+01,1.113389064068598167e+01,1.136317665903050589e+01,1.141684133100240750e+01,1.147964103034762040e+01,1.162781076359065757e+01,1.177021536833579773e+01,1.181890828627255452e+01,1.205772290668509505e+01,1.226630307372084516e+01,1.223296646236290286e+01,1.237899781979866631e+01,1.249706453842853726e+01,1.269094335205721968e+01,1.260645182491025906e+01,1.288944354072107501e+01,1.309232767085869398e+01,1.308759088921200231e+01,1.335239425811317915e+01,1.334100642463951658e+01
1.000000000000000021e-02,9.784320727914135318e+00,9.608922689982405174e+00,9.531254133835494358e+00,9.485681477598104649e+00,9.461720878508863564e+00,9.462862995583265047e+00,9.493843540318946950e+00,9.531957119651137234e+00,9.571290645371954398e+00,9.612668744374222030e+00,9.664001262563731487e+00,9.719983945444283790e+00,9.774554959394235354e+00,9.836676031423291278e+00,9.894168046530660732e+00,9.947952927296270786e+00,1.000517589295687593e+01,1.005682279255895040e+01,1.011614554169331193e+01,1.016813456173943564e+01,1.021702149206723576e+01,1.026310569730952338e+01,1.030996719742967649e+01,1.035883720819447795e+01,1.040497211065617478e+01,1.044991350954738252e+01,1.049278610022521541e+01,1.053415135662429236e+01,1.057442101634526033e+01,1.061530167586137274e+01,1.065107843269717947e+01,1.068546691091494516e+01,1.072139028778550696e+01,1.075357306156958614e+01,1.078423430683049666e+01,1.081317678303069840e+01,1.084068383232951760e+01,1.086588311162463683e+01,1.089069526488780326e+01,1.091208287934876431e+01,1.093338757108285364e+01,1.095152917584927010e+01,1.096771364214896138e+01,1.098721098473581925e+01,1.100253955405176143e+01,1.101540660250610948e+01,1.102506325000001119e+01,1.103771292024961603e+01,1.104426817144095985e+01,1.105197676002770812e+01,1.105421376962382496e+01,1.105292241066262449e+01,1.105307688197223115e+01,1.104513564150102845e+01,1.103929348227722329e+01,1.102506325000001119e+01,1.100578059162867106e+01,1.098044018588106852e+01,1.095310414284100275e+01,1.091664677309948495e+01,1.086487046741099505e+01,1.081323533706472872e+01,1.075141566142881189e+01,1.070288999155113174e+01,1.066663749753890400e+01,1.067096898230275670e+01,1.069116534459615053e+01,1.069252594549251789e+01,1.076159312973345550e+01,1.077210879792620801e+01,1.081629263554389198e+01,1.085430507554630708e+01,1.095651543984829246e+01,1.104588785020971464e+01,1.110575517724090489e+01,1.117009881398193549e+01,1.125418991097078347e+01,1.135633653206939719e+01,1.137061570877689753e+01,1.150663388005875198e+01,1.158731991107848813e+01,1.170770189158917596e+01,1.173828727699493157e+01,1.185190583940781472e+01,1.197002064484044936e+01,1.201534103087151628e+01,1.205686217875540223e+01,1.225869389237589857e+01,1.233128278747754791e+01,1.236203527877559161e+01,1.258361279039655578e+01,1.248321199022544370e+01,1.251840116574912365e+01,1.275486028962903262e+01,1.264851717637219686e+01,1.290781867964132346e+01,1.309240433908143153e+01,1.308759088921200231e+01,1.335239425811317915e+01,1.334100642463951658e+01
2.000000000000000042e-02,1.026170403793676122e+01,1.006280047637952180e+01,9.940162769028125567e+00,9.858520686291816659e+00,9.822866825398820723e+00,9.811757916762838150e+00,9.825389138850479043e+00,9.845167985786337894e+00,9.874567326959063251e+00,9.916189464517858099e+00,9.957790407851543790e+00,1.000033246050102598e+01,1.004649248796490646e+01,1.009505429630341666e+01,1.014098908156448253e+01,1.018764365357924717e+01,1.023568060965313009e+01,1.028121068429543783e+01,1.032601864220178456e+01,1.036674544242033491e+01,1.041115697273201945e+01,1.045576964041191914e+01,1.050285486847691452e+01,1.054386027044822427e+01,1.058340781164925204e+01,1.062442094418996064e+01,1.066506444999998493e+01,1.070117889873672468e+01,1.073406175231705184e+01,1.077178628516370296e+01,1.080667368788994054e+01,1.083984303999709731e+01,1.086885183700977464e+01,1.090020379754475677e+01,1.093477608996904848e+01,1.096291921604023223e+01,1.099352728308454807e+01,1.101517266052912092e+01,1.103745027943441137e+01,1.105994495278006440e+01,1.108037345683326791e+01,1.109914564155165273e+01,1.111513472351694531e+01,1.113110964417603199e+01,1.114506285000001995e+01,1.116006280000002171e+01,1.116882981614343429e+01,1.117540063119041349e+01,1.118771947860943428e+01,1.119386948725935227e+01,1.119602131031526326e+01,1.119537570577116803e+01,1.119392984774647104e+01,1.119006270000002345e+01,1.118474930403158929e+01,1.117506275000002169e+01,1.116006280000002171e+01,1.114276132556965138e+01,1.111622532450729572e+01,1.108713855119438740e+01,1.104216084646222917e+01,1.099506335000000945e+01,1.093681100392763916e+01,1.089921909143593481e+01,1.086823872464890073e+01,1.086492755142051614e+01,1.086584805927673614e+01,1.086488738843391566e+01,1.088940304140137449e+01,1.093002919255095762e+01,1.095793053441924414e+01,1.102314150128013281e+01,1.110785773837102575e+01,1.115837392000915251e+01,1.123206524699157960e+01,1.127233103908906031e+01,1.138316859448789664e+01,1.149455582066404880e+01,1.153280359707360603e+01,1.163115095978620950e+01,1.171116150456966665e+01,1.180575804135391849e+01,1.185126238576489932e+01,1.192901911791838643e+01,1.206155675851526432e+01,1.206683760717868203e+01,1.218071273558160428e+01,1.234622678017268704e+01,1.239216275774701437e+01,1.244274663730857533e+01,1.266780205394696068e+01,1.257410100601123126e+01,1.263901538407740155e+01,1.281384868374025032e+01,1.282668282408303639e+01,1.297082982211775715e+01,1.312014488281397462e+01,1.308759088921200231e+01,1.335239425811317915e+01,1.334100642463951658e+01
2.999999999999999889e-02,1.056765074878719624e+01,1.033816706395813334e+01,1.019893758939096173e+01,1.009330484799157723e+01,1.005768186317921753e+01,1.004153741931309618e+01,1.004370004191437005e+01,1.005457714638124145e+01,1.008349145480312892e+01,1.011636184312861175e+01,1.015465002581894183e+01,1.018739517198394928e+01,1.022195238099643788e+01,1.026381803258757941e+01,1.030278373597673003e+01,1.033954545557037008e+01,1.038103829470621520e+01,1.042731301274496403e+01,1.047382394148257845e+01,1.051208058853870497e+01,1.055420249405072397e+01,1.059246528187346215e+01,1.063515913258008361e+01,1.067281207606380633e+01,1.071007521846725297e+01,1.074599537327672394e+01,1.078231731556803119e+01,1.081725083725983438e+01,1.085311416984573718e+01,1.088758326456027170e+01,1.092139951741280690e+01,1.094941576487704182e+01,1.097663495050460902e+01,1.100772240736214158e+01,1.103458270832315513e+01,1.106057113458313523e+01,1.108574144424922814e+01,1.111102383403742877e+01,1.113484193303639636e+01,1.115796314995790084e+01,1.117506275000002169e+01,1.119469363263260497e+01,1.121004814139906181e+01,1.122863041613796575e+01,1.124047644637853693e+01,1.125317406121024533e+01,1.126506245000002870e+01,1.127431176315175421e+01,1.128043600558928006e+01,1.128725129585391684e+01,1.129342537858478579e+01,1.129303682243852691e+01,1.129318770248210768e+01,1.129244574917938237e+01,1.128894422054195168e+01,1.128092410260199685e+01,1.127042618075788916e+01,1.125422963113500074e+01,1.123506255000002696e+01,1.120312563048702437e+01,1.116177130920195104e+01,1.111506295000001820e+01,1.106491555763987833e+01,1.102425723224998499e+01,1.100160482332364431e+01,1.098402248330427611e+01,1.098748995151190400e+01,1.096964166089185611e+01,1.099616599261731054e+01,1.102585229157407554e+01,1.104971632614030241e+01,1.112051870599910153e+01,1.119697164246171894e+01,1.127501095152430466e+01,1.130988914314518290e+01,1.133510326949555846e+01,1.145885917985425095e+01,1.157824626619563624e+01,1.163598285054183634e+01,1.170461139184756405e+01,1.180165014733709583e+01,1.187262752642010177e+01,1.194305290672086706e+01,1.197435701343617609e+01,1.212286063224175869e+01,1.218996323602922160e+01,1.224837313268833228e+01,1.242378298134932102e+01,1.242974507773595860e+01,1.249374424033330477e+01,1.270341764768670778e+01,1.265148964587427827e+01,1.264383949155710418e+01,1.283816018750184540e+01,1.284525276316820275e+01,1.303384096459418906e+01,1.314788542654651948e+01,1.309460983450130023e+01,1.335239425811317915e+01,1.334100642463951658e+01
4.000000000000000083e-02,1.089677796398306242e+01,1.063931547678299339e+01,1.044476896912249586e+01,1.033418245826340787e+01,1.026435362167483056e+01,1.022888425506077503e+01,1.021128864579614870e+01,1.021413085403372811e+01,1.023541788496048355e+01,1.025588380747996631e+01,1.027899273630374921e+01,1.031467073756278374e+01,1.035006549999997105e+01,1.038584486482245239e+01,1.042353584816224021e+01,1.046096847087160775e+01,1.050271891960739268e+01,1.054572081791663152e+01,1.058433489664566807e+01,1.062394894111750787e+01,1.066512735458403682e+01,1.070547408090560282e+01,1.074617816858220465e+01,1.078374716301214242e+01,1.081862784906936881e+01,1.085258784379296593e+01,1.088997321708789556e+01,1.092170382775943338e+01,1.095255833218308972e+01,1.098166541622782688e+01,1.101006330000000943e+01,1.104006320000001296e+01,1.106820521305141369e+01,1.109523083551472844e+01,1.112460887575857527e+01,1.115113642341833611e+01,1.117506275000002169e+01,1.119733296565991054e+01,1.121660868334302563e+01,1.123739920462466557e+01,1.125653082389825421e+01,1.127684427843779424e+01,1.129508097597648053e+01,1.131337922962020315e+01,1.132745028206077720e+01,1.133944193799787037e+01,1.134699575263685745e+01,1.135570514240200701e+01,1.136852239681215870e+01,1.137006210000003747e+01,1.137619263419366433e+01,1.137953224855001544e+01,1.138046416834227692e+01,1.137935978520714997e+01,1.137006210000003747e+01,1.136647967609334309e+01,1.135506215000003571e+01,1.134006220000003395e+01,1.132064779143061273e+01,1.129307208127074347e+01,1.125006250000002872e+01,1.120506265000002522e+01,1.115444258150555967e+01,1.112156784433180334e+01,1.109522076872492846e+01,1.107433039707717093e+01,1.106770701893372788e+01,1.104985707160327379e+01,1.107674222042981960e+01,1.110400106363502459e+01,1.115664113845960514e+01,1.120086014135806707e+01,1.126663388601891391e+01,1.134984396406859553e+01,1.138069142302132519e+01,1.139560843089460640e+01,1.151996783212418052e+01,1.162614373030283943e+01,1.168740150944281808e+01,1.175349788688130381e+01,1.186758030505326644e+01,1.192535575442958873e+01,1.200431995592442647e+01,1.204545382905623363e+01,1.217074687329349381e+01,1.222821129334819368e+01,1.232691380547506554e+01,1.243509687894607829e+01,1.250278809994687279e+01,1.253897091661832697e+01,1.271003913092760484e+01,1.268952533059550447e+01,1.274748965482202223e+01,1.287748791112944069e+01,1.285356367125565313e+01,1.309288593711189996e+01,1.316726370761750786e+01,1.313877592837258845e+01,1.335239425811317915e+01,1.334100642463951658e+01
5.000000000000000278e-02,1.112892712002464890e+01,1.082923983929123679e+01,1.063038396394394169e+01,1.050625408170478359e+01,1.042836771212002311e+01,1.038571220423764174e+01,1.035413330565327605e+01,1.035219148555987978e+01,1.036349434641753930e+01,1.038229254716861405e+01,1.040323468394230311e+01,1.043181668506345261e+01,1.046496738315250852e+01,1.049450511765917327e+01,1.053719313409429148e+01,1.057135686882657311e+01,1.061019744048612701e+01,1.064696335225573343e+01,1.068352077408806622e+01,1.072060293500519634e+01,1.075891775646290327e+01,1.079512725111947091e+01,1.083357154028763958e+01,1.087152694969823052e+01,1.090507194841740457e+01,1.093996166793439784e+01,1.097825067985023573e+01,1.100811265757666568e+01,1.103812740906507628e+01,1.107253824640741158e+01,1.110302918988804244e+01,1.113065103058324290e+01,1.115930035164015699e+01,1.118638459811291241e+01,1.121111889082920854e+01,1.123466526898848450e+01,1.125678655347144108e+01,1.128000660049946724e+01,1.130436462372469109e+01,1.132488869839068713e+01,1.133990760364895500e+01,1.135712913320740292e+01,1.137105895973997427e+01,1.138506205000003746e+01,1.140006200000003922e+01,1.141410701291098206e+01,1.142544964551346176e+01,1.143462884017057846e+01,1.144461666219539531e+01,1.144690231605815001e+01,1.145463461827197094e+01,1.145522218016106208e+01,1.145618169626593463e+01,1.145175346082101875e+01,1.144506185000004272e+01,1.143886707649382117e+01,1.143006190000004096e+01,1.141506195000004098e+01,1.139436500840328570e+01,1.136910057698304932e+01,1.133240988024331841e+01,1.128361971638966565e+01,1.123692249807752397e+01,1.119837520947757525e+01,1.117474394006281635e+01,1.114807865409284915e+01,1.114506285000001995e+01,1.113482496846019565e+01,1.114915246118735048e+01,1.117583971453739444e+01,1.122118205295524440e+01,1.127009528205049271e+01,1.133551838750045704e+01,1.141035498225869205e+01,1.142587920545459923e+01,1.148822617541522995e+01,1.158897068989747225e+01,1.167313623651243049e+01,1.173362324114285116e+01,1.179047767377221412e+01,1.192255041084758993e+01,1.197927119803739693e+01,1.203818177942515000e+01,1.213011674959491693e+01,1.219824317739452368e+01,1.228061189802417807e+01,1.233934157472240045e+01,1.247938193889503644e+01,1.251353488890705279e+01,1.258706020730928721e+01,1.273484796243856820e+01,1.271820260255158708e+01,1.280067501577601696e+01,1.291964522265159943e+01,1.289192145682060087e+01,1.315089000033657562e+01,1.318385427935404408e+01,1.318294202224387490e+01,1.336529378465223061e+01,1.334100642463951658e+01
5.999999999999999778e-02,1.132706902530348536e+01,1.097806395569918969e+01,1.076511818264304310e+01,1.063376929935893322e+01,1.055734511541983878e+01,1.050899027324162738e+01,1.047106046158812376e+01,1.046267642413034515e+01,1.046798778461338308e+01,1.047914427816942684e+01,1.049806464392010952e+01,1.052187390088167795e+01,1.054795602823902634e+01,1.058337223380787329e+01,1.061947734200788140e+01,1.065534834234697747e+01,1.068996884009785298e+01,1.072746688568507523e+01,1.076999337397549716e+01,1.081483086411213712e+01,1.084961551541709213e+01,1.087934828741012261e+01,1.091589684710723418e+01,1.095063601624100080e+01,1.098999955732177547e+01,1.102506325000001119e+01,1.106115107678090048e+01,1.109299116669079588e+01,1.112485787964034323e+01,1.115927474847429224e+01,1.118697038661170851e+01,1.121371598267194614e+01,1.123907924378099921e+01,1.126506245000002870e+01,1.128904836344225870e+01,1.131491567158512979e+01,1.133859512152794480e+01,1.136050669969962712e+01,1.137978473683043212e+01,1.139732120739701671e+01,1.141506195000004098e+01,1.142938684462598076e+01,1.144271671907603327e+01,1.145650991865282542e+01,1.146855758147084536e+01,1.147865118203135815e+01,1.149018484507771731e+01,1.150007476695534692e+01,1.150949828289030741e+01,1.151702283665051674e+01,1.152042718782080577e+01,1.152006160000004797e+01,1.152006160000004797e+01,1.151857587749213785e+01,1.151273271923074759e+01,1.150506165000004621e+01,1.149380370973054966e+01,1.148054402558719822e+01,1.146022235459958338e+01,1.143240175935845038e+01,1.139434729534051627e+01,1.134753272369872690e+01,1.130464335796580500e+01,1.126370654454734144e+01,1.123506255000002696e+01,1.121315620052642359e+01,1.120747569915311992e+01,1.119138286657903691e+01,1.121062155221580348e+01,1.123865894158609890e+01,1.128116141887237411e+01,1.132842582596280145e+01,1.140792999823942111e+01,1.145566010805662316e+01,1.146237776735305225e+01,1.153761888042513384e+01,1.163393376754769903e+01,1.171980489762261080e+01,1.178095300313383120e+01,1.185006050000007249e+01,1.195995653068900211e+01,1.202396621662203557e+01,1.209565659767146251e+01,1.214827545499677264e+01,1.223887569892444027e+01,1.230722961018164874e+01,1.236990632326800998e+01,1.250516312407719788e+01,1.253887181349209357e+01,1.264391062241765873e+01,1.274656884428724624e+01,1.273226218841699620e+01,1.283712082098518259e+01,1.295736991826126960e+01,1.293398822075688237e+01,1.318567088077188032e+01,1.320100202042220872e+01,1.323770462519499169e+01,1.338891950452177682e+01,1.335969461400813252e+01
7.000000000000000666e-02,1.149979929036904913e+01,1.113753461389187649e+01,1.090761537794972469e+01,1.075993738041179704e+01,1.067311973072290954e+01,1.061825095036620148e+01,1.057641686003550419e+01,1.055587753698600650e+01,1.055526203492923010e+01,1.056505062473760148e+01,1.058264127541435151e+01,1.060656391038951796e+01,1.063792739518415864e+01,1.066744656738338293e+01,1.069773324659063540e+01,1.073305285673734666e+01,1.076848822370268799e+01,1.080715449556440788e+01,1.084403448037014783e+01,1.087831925440758774e+01,1.091862194079898707e+01,1.095844247768611446e+01,1.099988895327610017e+01,1.103839494142918021e+01,1.107125372940781638e+01,1.110587371094017328e+01,1.113754144030858839e+01,1.116702210602234402e+01,1.119934116166139226e+01,1.122650463697223522e+01,1.125539662280869990e+01,1.128111647126089956e+01,1.131006230000003221e+01,1.133525310604504632e+01,1.136100018766623521e+01,1.138441114567251589e+01,1.140224614286136884e+01,1.142343565051340804e+01,1.144380621558844879e+01,1.146106869409968532e+01,1.147613104726540456e+01,1.149263086118869737e+01,1.150629648680710027e+01,1.151981009166838099e+01,1.153106188110869113e+01,1.154253029131506558e+01,1.155101537057103123e+01,1.156182942422132953e+01,1.156670690233578291e+01,1.157476962633799467e+01,1.158006140000005324e+01,1.158363316508236629e+01,1.158498241798382011e+01,1.158246943190997769e+01,1.157636709372632744e+01,1.156951594366168834e+01,1.155614504475393112e+01,1.154107737179147719e+01,1.151990152078286478e+01,1.149014458950045281e+01,1.145482526035635651e+01,1.140554645765246633e+01,1.135566289939982276e+01,1.131540135986581497e+01,1.128943543605447708e+01,1.127211680647486780e+01,1.126694748632734999e+01,1.124988160326669551e+01,1.127060848950282690e+01,1.130197134867884223e+01,1.133559732349599258e+01,1.138506205000003746e+01,1.145303930946976045e+01,1.150613086005085961e+01,1.150009371880645404e+01,1.157406860751583366e+01,1.167328947625869873e+01,1.176167026244930902e+01,1.181462420773399025e+01,1.189770734300168264e+01,1.198717194866359392e+01,1.205182716502817541e+01,1.212156624508655867e+01,1.219745553283083517e+01,1.226346866067702202e+01,1.236993162064710461e+01,1.244058386337930600e+01,1.252619344187877992e+01,1.255875436020897595e+01,1.266241033212853218e+01,1.275104848089499754e+01,1.274019148547627012e+01,1.287093556716941833e+01,1.304427626114579475e+01,1.296900522775011844e+01,1.319527072391264610e+01,1.321993175563806133e+01,1.331748175319736305e+01,1.339920945274584341e+01,1.341470158398680290e+01
8.000000000000000167e-02,1.166435679186698415e+01,1.129873677924286035e+01,1.105093493805893345e+01,1.089051093012162141e+01,1.078379022072867244e+01,1.071636617149495052e+01,1.066949813033622441e+01,1.065373875202534926e+01,1.064601040094720830e+01,1.065171755373346940e+01,1.066601839864610746e+01,1.068244115337476785e+01,1.071167976815485900e+01,1.073906873414250285e+01,1.076977881935923698e+01,1.080367094935145822e+01,1.084011820003157922e+01,1.087691252133679498e+01,1.090972429223181095e+01,1.094757028314111658e+01,1.098569337310643945e+01,1.102374805541086822e+01,1.106122649972622440e+01,1.109566282983443131e+01,1.113006290000001819e+01,1.116404996721743714e+01,1.119904324198323842e+01,1.122963595768766965e+01,1.126322290182980268e+01,1.129009952715154341e+01,1.131632421319425141e+01,1.134145252156382178e+01,1.136917456626041201e+01,1.139149008397517271e+01,1.141845219991789584e+01,1.144092431784253350e+01,1.146006180000004271e+01,1.148219018972784156e+01,1.150009392559642052e+01,1.151879545774361624e+01,1.153680618741995545e+01,1.155444049826642505e+01,1.157063622419489235e+01,1.158183622204826690e+01,1.159506135000005322e+01,1.160814471162062667e+01,1.161307976129525521e+01,1.162506125000005675e+01,1.162650772494300000e+01,1.163320509464604946e+01,1.163681223791485841e+01,1.163912142475278166e+01,1.164006120000005673e+01,1.163721369582855658e+01,1.163165411456595777e+01,1.162506125000005675e+01,1.161017690946691516e+01,1.159385143787472572e+01,1.156875907294171313e+01,1.154175547354799214e+01,1.150506165000004621e+01,1.145980771227308104e+01,1.140260515422916221e+01,1.137004359836061695e+01,1.134006220000003395e+01,1.132031627881858071e+01,1.131376695707304769e+01,1.130903739059788649e+01,1.131948561970235900e+01,1.135632513469315086e+01,1.138320292674210243e+01,1.144172535037897376e+01,1.148950622314162473e+01,1.153850963573235511e+01,1.154748180779316513e+01,1.163048529881714543e+01,1.171143726262296880e+01,1.180065138519913504e+01,1.185561321523725198e+01,1.194625786131573619e+01,1.202313052895276968e+01,1.208180937565942514e+01,1.214360231930710654e+01,1.221537405359017292e+01,1.231535624935884599e+01,1.239667397167501584e+01,1.246902555223995890e+01,1.255654695985306724e+01,1.256940632179623663e+01,1.269368810094949040e+01,1.275539757727120538e+01,1.275811900422843692e+01,1.288240760154504372e+01,1.304625698315346938e+01,1.298615863621146715e+01,1.320911353959279033e+01,1.322730139283908457e+01,1.338727914695168053e+01,1.340819043327823401e+01,1.346653825542834859e+01
8.999999999999999667e-02,1.183630506669549476e+01,1.143104557815181899e+01,1.117351831542113061e+01,1.100648068415473624e+01,1.089163500404129614e+01,1.080930774180444764e+01,1.076460781745604223e+01,1.074773726563656950e+01,1.073688677126612490e+01,1.073572013428706384e+01,1.075180484081431942e+01,1.076996316285098665e+01,1.078995292303372366e+01,1.081521070765053061e+01,1.084304903769259809e+01,1.087342351067254320e+01,1.090540860217103969e+01,1.093506355000000418e+01,1.097041302552041131e+01,1.100880519407252578e+01,1.104470462272659148e+01,1.108300783985101745e+01,1.111802565854501346e+01,1.114872695078912024e+01,1.118189721728517050e+01,1.121869144259695084e+01,1.125155636303444240e+01,1.128163360045172681e+01,1.131302090926752513e+01,1.134304548128224788e+01,1.137226120561576792e+01,1.140062340570854893e+01,1.142771289084340935e+01,1.145324244194240038e+01,1.147454782845903232e+01,1.149535304765962174e+01,1.151704894582017324e+01,1.154180817722174091e+01,1.155950334768190579e+01,1.157892118215617749e+01,1.159506135000005322e+01,1.161006130000005498e+01,1.162506125000005675e+01,1.164036610320204979e+01,1.165243376904446748e+01,1.166209135860705715e+01,1.167006110000005847e+01,1.167846589802582002e+01,1.168025776487587919e+01,1.168228852208843804e+01,1.168506105000006023e+01,1.168506105000006023e+01,1.168506105000006023e+01,1.168304427354285124e+01,1.167648200324961039e+01,1.167006110000005847e+01,1.165506115000005849e+01,1.163980211497341344e+01,1.161659717350033283e+01,1.158620664168861047e+01,1.155063763287175505e+01,1.150499710538750264e+01,1.145399318967111135e+01,1.141680390970469539e+01,1.138506205000003746e+01,1.137004239116088300e+01,1.136315190893009408e+01,1.136291760323740085e+01,1.135884304322577520e+01,1.140079685606480453e+01,1.142850430427020925e+01,1.149006170000004623e+01,1.153303641886328101e+01,1.157009380261305331e+01,1.158743360673229361e+01,1.166853995825746360e+01,1.175491406210820955e+01,1.182988373098424972e+01,1.187487911319981215e+01,1.198832223730386737e+01,1.206465981671696142e+01,1.213331859817634140e+01,1.216160239074278593e+01,1.223659283081392246e+01,1.234376794375969411e+01,1.241810678051202999e+01,1.249698579826866052e+01,1.257933100557278117e+01,1.258581461636428678e+01,1.271970735738905844e+01,1.276439118406732476e+01,1.277462708320897811e+01,1.289055869487849293e+01,1.305206768557811969e+01,1.309227076976307025e+01,1.324118706441846882e+01,1.325635857611455748e+01,1.339609112044664485e+01,1.342061805525084672e+01,1.349764687925402384e+01
