quantile,R(M=0.2),R(M=0.2292929292929293),R(M=0.2585858585858586),R(M=0.2878787878787879),R(M=0.31717171717171716),R(M=0.3464646464646465),R(M=0.37575757575757573),R(M=0.40505050505050505),R(M=0.43434343434343436),R(M=0.4636363636363636),R(M=0.49292929292929294),R(M=0.5222222222222221),R(M=0.5515151515151515),R(M=0.5808080808080808),R(M=0.61010101010101),R(M=0.6393939393939394),R(M=0.6686868686868687),R(M=0.6979797979797979),R(M=0.7272727272727273),R(M=0.7565656565656564),R(M=0.7858585858585858),R(M=0.8151515151515152),R(M=0.8444444444444443),R(M=0.8737373737373737),R(M=0.9030303030303031),R(M=0.9323232323232322),R(M=0.9616161616161616),R(M=0.990909090909091),R(M=1.02020202020202),R(M=1.0494949494949495),R(M=1.0787878787878786),R(M=1.108080808080808),R(M=1.1373737373737374),R(M=1.1666666666666665),R(M=1.195959595959596),R(M=1.225252525252525),R(M=1.2545454545454544),R(M=1.2838383838383838),R(M=1.313131313131313),R(M=1.3424242424242423),R(M=1.3717171717171717),R(M=1.4010101010101008),R(M=1.4303030303030302),R(M=1.4595959595959596),R(M=1.4888888888888887),R(M=1.518181818181818),R(M=1.5474747474747472),R(M=1.5767676767676766),R(M=1.606060606060606),R(M=1.6353535353535351),R(M=1.6646464646464645),R(M=1.6939393939393939),R(M=1.723232323232323),R(M=1.7525252525252524),R(M=1.7818181818181817),R(M=1.811111111111111),R(M=1.8404040404040403),R(M=1.8696969696969696),R(M=1.8989898989898988),R(M=1.9282828282828282),R(M=1.9575757575757573),R(M=1.9868686868686867),R(M=2.0161616161616163),R(M=2.0454545454545454),R(M=2.0747474747474746),R(M=2.104040404040404),R(M=2.1333333333333333),R(M=2.1626262626262625),R(M=2.191919191919192),R(M=2.221212121212121),R(M=2.2505050505050503),R(M=2.27979797979798),R(M=2.309090909090909),R(M=2.3383838383838382),R(M=2.367676767676768),R(M=2.396969696969697),R(M=2.426262626262626),R(M=2.4555555555555557),R(M=2.484848484848485),R(M=2.514141414141414),R(M=2.5434343434343436),R(M=2.5727272727272728),R(M=2.602020202020202),R(M=2.6313131313131315),R(M=2.6606060606060606),R(M=2.68989898989899),R(M=2.7191919191919194),R(M=2.7484848484848485),R(M=2.7777777777777777),R(M=2.8070707070707073),R(M=2.8363636363636364),R(M=2.8656565656565656),R(M=2.8949494949494947),R(M=2.9242424242424243),R(M=2.9535353535353535),R(M=2.9828282828282826),R(M=3.012121212121212),R(M=3.0414141414141413),R(M=3.0707070707070705),R(M=3.1)
0.000000000000000000e+00,5.533777883460710534e+00,5.615400657020316544e+00,5.709568661139385881e+00,5.803736665258456107e+00,5.897998341185338056e+00,5.992306751366144546e+00,6.086615161546951924e+00,6.178364772901706381e+00,6.269491435043116567e+00,6.360538761619791259e+00,6.438259855531482501e+00,6.515980949443173742e+00,6.594734642634010768e+00,6.675852914753504841e+00,6.756971186872998913e+00,6.827793128549791035e+00,6.894290290502567586e+00,6.958873597782347709e+00,7.023281702889624611e+00,7.084517638989922261e+00,7.145753575090220799e+00,7.203810630974305518e+00,7.261296825171433156e+00,7.315511548746644443e+00,7.368694925627600867e+00,7.424317071988205008e+00,7.480603151996899847e+00,7.532103206146990360e+00,7.582036935050509463e+00,7.627335772126652813e+00,7.673757251893082554e+00,7.721525638578783379e+00,7.762541795325196503e+00,7.804074799663244910e+00,7.847047152877564713e+00,7.892434823104417241e+00,7.931081071125822390e+00,7.968117301461366431e+00,8.000980735056527848e+00,8.033349413773620995e+00,8.074918973881981543e+00,8.105015578718122171e+00,8.130079380187465787e+00,8.156234095648805749e+00,8.191148364614193156e+00,8.212655229384383304e+00,8.235702504468672913e+00,8.260851453900293961e+00,8.273258909874597222e+00,8.295072349999978556e+00,8.310072299999978540e+00,8.314501507296382599e+00,8.325072249999978524e+00,8.325072249999978524e+00,8.317644089395537677e+00,8.302563733018619274e+00,8.265072449999978588e+00,8.200326510642319988e+00,8.130072899999978731e+00,8.370072099999976700e+00,8.482622013685061191e+00,8.592547206881802069e+00,8.745070849999976303e+00,8.879997697183409144e+00,9.066946608900765980e+00,9.094829998078054700e+00,9.189183273857485901e+00,9.330635995598996146e+00,9.510068299999973718e+00,9.555635290937763315e+00,9.870067099999973337e+00,9.711737317754003840e+00,1.000506664999997319e+01,1.006571674133660288e+01,1.012815975657879441e+01,1.038006539999997102e+01,1.060585821556377084e+01,1.065236242474667705e+01,1.079516171101832356e+01,1.082819093209939432e+01,1.117859000944121739e+01,1.113389064068598167e+01,1.136317665903050589e+01,1.143210169734322079e+01,1.147964103034762040e+01,1.162781076359065757e+01,1.187144013131093168e+01,1.181890828627255452e+01,1.205772290668509505e+01,1.229615710397638573e+01,1.223296646236290286e+01,1.237899781979866631e+01,1.249706453842853726e+01,1.269094335205721968e+01,1.282222769729930789e+01,1.288944354072107501e+01,1.309232767085869398e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
1.000000000000000021e-02,9.471162427268382089e+00,9.305986264895702575e+00,9.239071977205332686e+00,9.215938323169211799e+00,9.206562236736569815e+00,9.211660873953313455e+00,9.240611387296135959e+00,9.280143954798210970e+00,9.323844837887353521e+00,9.374145337786448096e+00,9.415879395735807122e+00,9.462544852306290721e+00,9.512047510095014147e+00,9.563889491614332883e+00,9.616502309286010686e+00,9.662550937181897837e+00,9.717317361666857778e+00,9.765988229039775703e+00,9.809762896238121144e+00,9.856991753168246717e+00,9.904656755209263252e+00,9.949889942687171640e+00,9.990488001505282156e+00,1.003539048411462886e+01,1.007515158057270632e+01,1.011499473924625825e+01,1.015673918385884100e+01,1.018600054169285052e+01,1.022445169644548635e+01,1.025755702598052643e+01,1.029107205065295894e+01,1.032192078405951285e+01,1.035162530824399774e+01,1.038006539999997102e+01,1.040421092512999124e+01,1.042606715120230376e+01,1.045099661629805432e+01,1.047064529604171135e+01,1.048890760864403404e+01,1.050645693815252280e+01,1.052282225414939276e+01,1.053644875301122852e+01,1.055006739638795921e+01,1.056278240123318035e+01,1.057529125361640787e+01,1.058587842081950825e+01,1.059006469999997790e+01,1.059653979922701872e+01,1.059431528157122493e+01,1.059482242077720038e+01,1.058875287404528720e+01,1.058612622420605298e+01,1.057054607316707973e+01,1.055615290166940312e+01,1.053835918249252224e+01,1.051763378504323576e+01,1.049866051362469044e+01,1.046383743411671574e+01,1.042067338906815266e+01,1.037140104577241750e+01,1.031174693997365033e+01,1.023756529809861071e+01,1.015514514943176749e+01,1.013576620070735501e+01,1.014537353432832134e+01,1.017956639720297751e+01,1.024597414482218838e+01,1.029881096053722800e+01,1.039764434629411305e+01,1.052545871267451361e+01,1.056385991961095527e+01,1.062996787989270508e+01,1.074769989643526813e+01,1.083060805639471091e+01,1.087725749919052554e+01,1.097946485368399294e+01,1.113333768496466369e+01,1.119545201142149438e+01,1.131940667326232841e+01,1.138157640028375539e+01,1.152000702766450324e+01,1.163475727454796527e+01,1.174422724666091611e+01,1.183130572185493889e+01,1.196584607032967007e+01,1.198723860726855683e+01,1.204895496011671163e+01,1.225714398654561066e+01,1.235606637146798548e+01,1.236185906147259139e+01,1.247323600730356397e+01,1.241424699989824276e+01,1.250385434763765957e+01,1.269094335205721968e+01,1.282222769729930789e+01,1.288944354072107501e+01,1.309232767085869398e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
2.000000000000000042e-02,9.898997482150743821e+00,9.715836541473018784e+00,9.606505268467937952e+00,9.546419573005232806e+00,9.516518397244700722e+00,9.517059008811569853e+00,9.525228893761267912e+00,9.548247428556262406e+00,9.579753399713371920e+00,9.614981988680426639e+00,9.652177512773066681e+00,9.693319272512901819e+00,9.746920315142297397e+00,9.795942376391469253e+00,9.843709375778304960e+00,9.889337727216352292e+00,9.934141378889687957e+00,9.979597947971432959e+00,1.002275451665116712e+01,1.006619444322842583e+01,1.010698580008493686e+01,1.014718985795599693e+01,1.018507617383287034e+01,1.022501998716008664e+01,1.025513967509795421e+01,1.028958774949115806e+01,1.032590538003225333e+01,1.035519043789011562e+01,1.038732433849248338e+01,1.041726964088290686e+01,1.044430441294320566e+01,1.047156151823658909e+01,1.049990308099488168e+01,1.052319409422773333e+01,1.054592808498099998e+01,1.056750874540482421e+01,1.059006469999997790e+01,1.060760933205384049e+01,1.062770270432196185e+01,1.065046349535629133e+01,1.066875992111963711e+01,1.067984708408040184e+01,1.069506434999998667e+01,1.070456478807568423e+01,1.070912488720783706e+01,1.071539779314194263e+01,1.072069477130531467e+01,1.072000983784163530e+01,1.071723059108515130e+01,1.071131840094632359e+01,1.071006429999998844e+01,1.070416084364119591e+01,1.069319161853085376e+01,1.068006439999998491e+01,1.066646259355998616e+01,1.064859733950694931e+01,1.062523565423698990e+01,1.059975346716036526e+01,1.056410249321918648e+01,1.051989859158072527e+01,1.046078012718174577e+01,1.039456001367169335e+01,1.032688841461588325e+01,1.028612654763589873e+01,1.027587242057591688e+01,1.031774097048066885e+01,1.036270603621442987e+01,1.041863130468311560e+01,1.052729138477955750e+01,1.062658147505117512e+01,1.069054157025902185e+01,1.073681236278884121e+01,1.086068542506571433e+01,1.096979575586321154e+01,1.102580576497818576e+01,1.109086550241031333e+01,1.122244752355687147e+01,1.133513866347890797e+01,1.137029539411583556e+01,1.155359946292823281e+01,1.163367495498143889e+01,1.172866382777239025e+01,1.185382417844375880e+01,1.191617383952923426e+01,1.205642462826527961e+01,1.205980139993678790e+01,1.215910102950023131e+01,1.233173726002827841e+01,1.239703100473578168e+01,1.239490311011530288e+01,1.262541831579923901e+01,1.249409108670109525e+01,1.256376235346295189e+01,1.279188757600679160e+01,1.282630946592550103e+01,1.292781821976984524e+01,1.310210752569042825e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
2.999999999999999889e-02,1.022504124591328889e+01,1.000770279668008556e+01,9.870070453456314397e+00,9.790723826056593637e+00,9.753177868799946637e+00,9.735067549999973480e+00,9.738227743834965366e+00,9.756725664128182984e+00,9.772111931049176192e+00,9.802090925453342152e+00,9.835365681885088307e+00,9.874831930526974944e+00,9.911561559910177621e+00,9.949759296061916558e+00,9.986502793330744865e+00,1.002644050145218380e+01,1.006873624050195204e+01,1.011259505972918049e+01,1.015133886154135290e+01,1.019526722800582164e+01,1.023371736745531635e+01,1.026823112406145810e+01,1.030506564999997110e+01,1.034157469180818723e+01,1.037780765921385751e+01,1.040855291752535194e+01,1.043775114466147791e+01,1.046651039774914516e+01,1.049736635255063888e+01,1.052816776977635627e+01,1.055473236005535043e+01,1.057864490563886051e+01,1.060534758995332894e+01,1.062931413180888107e+01,1.065006449999998317e+01,1.067286112507632545e+01,1.069506434999998667e+01,1.071439318775447980e+01,1.072984837669885927e+01,1.074625617957902257e+01,1.076025570556762290e+01,1.077062222927813195e+01,1.078159631872798307e+01,1.079075277334704630e+01,1.079598594401167588e+01,1.080006399999999367e+01,1.080213361435937003e+01,1.080761534521344203e+01,1.080718169915916071e+01,1.080133988185948013e+01,1.080006399999999367e+01,1.079417746916107212e+01,1.078479028262831996e+01,1.077006409999999192e+01,1.075720686747338917e+01,1.072992876281468000e+01,1.071001452936135223e+01,1.068006439999998491e+01,1.064648125900629161e+01,1.060204024587207527e+01,1.055000759640848251e+01,1.049050471827768405e+01,1.042079740554812872e+01,1.039550334374107265e+01,1.039507014392379425e+01,1.042335473395275436e+01,1.046650120557987407e+01,1.050835598763025658e+01,1.060727174263601036e+01,1.069568138047404915e+01,1.076389306226233877e+01,1.083022930347517310e+01,1.095006350000000594e+01,1.103401735177196130e+01,1.112191563291352914e+01,1.119514285463103676e+01,1.128864554368423434e+01,1.141010690645726733e+01,1.149975420278785521e+01,1.161378102849069727e+01,1.170897556123807348e+01,1.180864067491310010e+01,1.192662564833998573e+01,1.194783812167998427e+01,1.211525564720125736e+01,1.214283961334800921e+01,1.220834528904101113e+01,1.242981413810070457e+01,1.242370737086116428e+01,1.246427280169638330e+01,1.266006820824013879e+01,1.264705255032673392e+01,1.264096564776462372e+01,1.281498738895530920e+01,1.283759421981631554e+01,1.297420786144004801e+01,1.313228725896595428e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
4.000000000000000083e-02,1.043898230961048590e+01,1.021072634053853534e+01,1.007084803035208331e+01,9.973710882154724899e+00,9.923682595001585227e+00,9.895626896952073537e+00,9.894290067223012741e+00,9.901521028128103197e+00,9.921515964174925983e+00,9.947775271020290688e+00,9.972393859115241455e+00,1.000404691372633437e+01,1.003924886821459062e+01,1.007927541912554581e+01,1.011953646763719838e+01,1.015210151539301897e+01,1.018961028148014236e+01,1.022283679644437626e+01,1.026006499577145803e+01,1.029648653515153889e+01,1.033170522683355408e+01,1.036663460580781226e+01,1.040081476698363261e+01,1.043382780691570133e+01,1.046960461636705375e+01,1.049955414011760979e+01,1.052974876474797838e+01,1.056055874313028653e+01,1.058923532913829924e+01,1.061873752984781660e+01,1.064558888453072605e+01,1.066942156125035801e+01,1.069422984313480107e+01,1.071677904342121757e+01,1.073696628813188880e+01,1.076017580201395418e+01,1.077536118296804446e+01,1.078901582984202179e+01,1.080374141389739862e+01,1.081506394999999543e+01,1.083006389999999719e+01,1.084010957217845217e+01,1.084607959982648318e+01,1.085988251686937289e+01,1.086223931245044305e+01,1.087258469323802501e+01,1.087496178242618505e+01,1.087506375000000070e+01,1.087506375000000070e+01,1.087506375000000070e+01,1.087214310211187929e+01,1.086006379999999893e+01,1.085210370720954387e+01,1.083682420741881813e+01,1.082514552713943878e+01,1.080185352079490002e+01,1.077956138121775354e+01,1.075029839280302291e+01,1.072103811925261141e+01,1.068006439999998491e+01,1.062878053385102461e+01,1.057061195953679977e+01,1.051181387186901262e+01,1.048058530872148175e+01,1.045753778253833310e+01,1.049816561157970618e+01,1.053008480680573911e+01,1.059743085461716561e+01,1.068878541837367457e+01,1.076980916690210321e+01,1.082779778164491802e+01,1.090930600892280822e+01,1.102122214899268648e+01,1.109139342794561500e+01,1.119355126333409522e+01,1.123143062015726201e+01,1.136946889564942076e+01,1.147966862715197500e+01,1.154988133837835207e+01,1.169584745792594838e+01,1.179423550800974496e+01,1.186408608895136574e+01,1.198242202917892918e+01,1.197589720531700941e+01,1.215132074103227211e+01,1.220690159264465358e+01,1.225385433492202480e+01,1.244428421375022253e+01,1.247447248318730040e+01,1.250921914572966642e+01,1.269853750784374213e+01,1.268732398120819127e+01,1.264839324966401435e+01,1.283893518896587871e+01,1.284887897370713183e+01,1.302059750311025255e+01,1.316246699224147854e+01,1.339011175624004579e+01,1.335239425811317915e+01,1.361037965851202003e+01
5.000000000000000278e-02,1.065880463809317646e+01,1.040089661245035302e+01,1.023335653216853558e+01,1.011831776698656782e+01,1.006048820650004672e+01,1.003062042876040216e+01,1.002086130838068456e+01,1.002550208301299506e+01,1.003666114760064865e+01,1.005616898457675745e+01,1.007961235042746928e+01,1.010942104440532319e+01,1.014116500473594762e+01,1.017196519428524404e+01,1.020831551052454245e+01,1.024535883717383911e+01,1.028001586875245188e+01,1.031258116252805301e+01,1.034327946356209615e+01,1.038040982830418990e+01,1.041408544417723547e+01,1.044813071263050297e+01,1.048004389846721018e+01,1.051400408737963232e+01,1.054445476450988295e+01,1.057365535389124567e+01,1.060471353874315881e+01,1.063539092898262339e+01,1.066506444999998493e+01,1.069207852920671797e+01,1.071919772415031069e+01,1.074444652470824835e+01,1.076934233161984444e+01,1.078738991094435384e+01,1.080784065161847707e+01,1.081922349718659326e+01,1.083158407056255434e+01,1.084584500667230245e+01,1.086247921602355504e+01,1.087619862215340305e+01,1.088919338562079808e+01,1.090031765005744369e+01,1.090599560334786844e+01,1.091718566314576044e+01,1.092006360000000420e+01,1.092418320446271274e+01,1.093056400359303559e+01,1.093402265594108691e+01,1.093124626639351860e+01,1.092844529812555443e+01,1.092638655987346574e+01,1.091946906228582570e+01,1.090542784890673467e+01,1.089395605744563333e+01,1.088141879274354373e+01,1.086006379999999893e+01,1.083931223108463371e+01,1.080877898998021891e+01,1.077537943858579617e+01,1.074006419999999018e+01,1.069416554368510752e+01,1.063713961202748592e+01,1.058615949255191779e+01,1.054970367940916987e+01,1.053104543242657698e+01,1.056643824551208688e+01,1.060955644495866146e+01,1.066343903336591481e+01,1.076652246161795823e+01,1.082200758094615445e+01,1.088562349397846596e+01,1.097283411229340722e+01,1.109482359238141136e+01,1.115527474340748881e+01,1.123320744622054512e+01,1.128735834041424901e+01,1.141216395983987120e+01,1.155792718018180665e+01,1.162498328959102700e+01,1.173189272266927929e+01,1.186441294478583330e+01,1.192462269300221323e+01,1.203313165208432700e+01,1.205681192835021243e+01,1.217546390932863787e+01,1.223575532107717656e+01,1.233353540680672644e+01,1.248245524817250995e+01,1.251096550816550490e+01,1.254458209177586703e+01,1.270526642150728058e+01,1.272045178380504638e+01,1.277707397008845192e+01,1.286288298897644822e+01,1.285210184473130290e+01,1.307131261352961893e+01,1.319264672551700457e+01,1.339536598086919206e+01,1.335239425811317915e+01,1.364300525457154833e+01
5.999999999999999778e-02,1.088010384510005935e+01,1.060805230017458989e+01,1.039964072992133026e+01,1.028123556484367285e+01,1.020016477331479798e+01,1.014867939437564814e+01,1.013677209943378621e+01,1.013547033979840961e+01,1.014821006718879026e+01,1.016467293186384957e+01,1.018643734310393612e+01,1.021251798352964180e+01,1.024211196459413387e+01,1.027061188251217594e+01,1.029961667947091897e+01,1.032379881309705816e+01,1.035507704846691368e+01,1.038849488596657089e+01,1.042316353099092829e+01,1.045739198028153005e+01,1.048563108063128446e+01,1.051377227243595236e+01,1.054500182129356389e+01,1.057635379699921607e+01,1.060393714490271400e+01,1.063253435616860187e+01,1.066456699983661416e+01,1.069087637418484071e+01,1.071585270417357627e+01,1.074227332756821163e+01,1.076507347112772806e+01,1.078681250674934056e+01,1.081338082722955463e+01,1.082977825620132606e+01,1.084982412724303380e+01,1.086656315025724062e+01,1.088540657882359497e+01,1.090176889330522769e+01,1.092000522038974353e+01,1.093323815547761590e+01,1.094500506959574615e+01,1.095116074643425463e+01,1.096197883930797445e+01,1.096847423207454320e+01,1.097783858126701872e+01,1.097994096240513962e+01,1.098006340000000769e+01,1.098006340000000769e+01,1.098006340000000769e+01,1.097912306911176117e+01,1.097351666483162091e+01,1.096506345000000593e+01,1.095542546173109777e+01,1.094403982442466194e+01,1.092592255066599094e+01,1.090595974561217574e+01,1.088876970986275339e+01,1.086375393173176285e+01,1.083547590774229974e+01,1.079709288400660583e+01,1.075044695187671628e+01,1.069977144240482758e+01,1.065193238889209937e+01,1.061930790495259203e+01,1.059468574059860835e+01,1.061622782652400510e+01,1.066752564847707596e+01,1.071895173465688877e+01,1.081758623555997900e+01,1.088814157330097920e+01,1.093506355000000418e+01,1.103947284274054574e+01,1.112820128926841257e+01,1.121716272731417519e+01,1.127492284595485650e+01,1.133113594785949907e+01,1.146800611086983501e+01,1.159025303971625398e+01,1.168171996145347791e+01,1.175877355231313004e+01,1.190600893314328346e+01,1.196643314828343740e+01,1.206722416901590655e+01,1.213050558957509750e+01,1.219644633165201064e+01,1.228890905730580840e+01,1.236618300074457366e+01,1.252658653135553024e+01,1.251513402426481747e+01,1.262217837350696215e+01,1.271057732896113990e+01,1.273122230416338496e+01,1.283468943413538632e+01,1.290544158280763476e+01,1.287187730467722879e+01,1.312492371994361484e+01,1.321297238380781280e+01,1.340752850907417049e+01,1.335239425811317915e+01,1.364522900266851480e+01
7.000000000000000666e-02,1.106308153769217384e+01,1.076521891270756015e+01,1.053921048134398042e+01,1.040628471777944064e+01,1.031710657897635031e+01,1.027461875136938652e+01,1.024629625316547710e+01,1.023867413922262593e+01,1.024305161619114202e+01,1.025483793181783554e+01,1.026529057040663950e+01,1.028699290755906226e+01,1.031170049559684188e+01,1.033506554999997107e+01,1.036665733508178455e+01,1.040180176098053444e+01,1.043077295132015969e+01,1.045961883203220921e+01,1.048972905005397216e+01,1.051956190179405404e+01,1.054658556281163406e+01,1.057506474999997792e+01,1.060126294199062080e+01,1.063248478148896581e+01,1.066279226702503635e+01,1.069283571383265041e+01,1.072194913542585226e+01,1.074790127600032363e+01,1.077058926532467709e+01,1.079331104656440843e+01,1.081506394999999543e+01,1.084021473234745692e+01,1.085959455652899663e+01,1.087740962961164826e+01,1.089543639184953605e+01,1.091694519628849314e+01,1.093453496258069002e+01,1.095139437563191542e+01,1.096666446437417797e+01,1.098006340000000769e+01,1.099354254705520972e+01,1.100166382130690756e+01,1.101084735312083751e+01,1.102048870801569436e+01,1.102506325000001119e+01,1.102506325000001119e+01,1.102506325000001119e+01,1.103007749001097793e+01,1.102974521028499666e+01,1.102759682772000538e+01,1.102506325000001119e+01,1.101667995506335274e+01,1.100762666537046286e+01,1.099506335000000945e+01,1.097880044426649526e+01,1.095919012515223834e+01,1.093630690332943800e+01,1.091296091262419132e+01,1.088042303326185234e+01,1.084683378781985041e+01,1.080810602577670387e+01,1.075838120528542596e+01,1.070328183376711628e+01,1.066564103742853575e+01,1.064586140267554271e+01,1.066702201085457347e+01,1.072591714608968871e+01,1.076807800812581384e+01,1.086046938589892363e+01,1.092773585095218181e+01,1.097986780248701599e+01,1.108363851108375719e+01,1.117309664403064318e+01,1.127033150549533858e+01,1.133036886108664731e+01,1.136784921207454246e+01,1.151239392199413381e+01,1.162609500357338277e+01,1.171678012175887673e+01,1.178648391506343351e+01,1.193941853968807010e+01,1.200806926230157856e+01,1.211692213826803233e+01,1.216487466999028655e+01,1.221840774477903580e+01,1.233793953569549373e+01,1.244467137964356063e+01,1.254978131368845595e+01,1.255065497492923399e+01,1.264956450984174552e+01,1.273119940014006346e+01,1.273738894099013130e+01,1.285634017367776849e+01,1.291788052734315784e+01,1.299969263683287224e+01,1.316556430585646531e+01,1.322912317992059528e+01,1.342659986037256914e+01,1.336273117992571713e+01,1.365396494445074183e+01
8.000000000000000167e-02,1.120231242286111950e+01,1.088516878173341063e+01,1.066395902270321017e+01,1.051876979122497247e+01,1.043427380865616705e+01,1.037984575257015329e+01,1.034291779432889058e+01,1.033285551917938427e+01,1.032547939910888601e+01,1.032860773208782845e+01,1.034796648782198147e+01,1.036256126474675554e+01,1.038805361165253416e+01,1.041095752697950694e+01,1.043992299065040896e+01,1.046653382765657092e+01,1.049409780867318176e+01,1.051843519642727465e+01,1.054842805907137127e+01,1.057903025670967878e+01,1.060648111219438050e+01,1.063937045720555652e+01,1.066891031164976056e+01,1.069982055909561680e+01,1.072506424999998842e+01,1.075235090854045161e+01,1.077572938521555557e+01,1.079983624746657256e+01,1.082322775355874001e+01,1.084506384999999717e+01,1.086818134916361167e+01,1.089006370000000068e+01,1.091054091286523864e+01,1.092557701136094472e+01,1.094311395102573137e+01,1.096249062635695637e+01,1.097773051798504262e+01,1.099148134388387632e+01,1.100302189738961012e+01,1.101485293094068396e+01,1.102668305256864301e+01,1.104006320000001296e+01,1.105087380459592517e+01,1.105568851111434547e+01,1.106077444991182901e+01,1.106958919426604560e+01,1.107006310000001470e+01,1.107006310000001470e+01,1.107094647020205258e+01,1.106715364609752683e+01,1.106257064483071240e+01,1.105506315000001294e+01,1.105028419074044521e+01,1.103407357649679277e+01,1.101963038323322941e+01,1.100648064957242767e+01,1.098327585621979630e+01,1.096040643131898840e+01,1.092883570290819861e+01,1.089076344540083596e+01,1.085229832996644106e+01,1.080113156499215421e+01,1.075156593562753571e+01,1.071006429999998844e+01,1.069489015366595730e+01,1.072552504562464293e+01,1.078333812145008963e+01,1.081912381243676080e+01,1.090227659991268716e+01,1.096075464793275422e+01,1.102001879216897251e+01,1.113533251007818414e+01,1.121537969685442171e+01,1.131292589542313998e+01,1.137278792345803602e+01,1.140077682601927833e+01,1.154656894388985933e+01,1.166581408864411706e+01,1.175163951076858027e+01,1.183358573385378953e+01,1.197740390765290819e+01,1.204324366771841248e+01,1.213867846939820438e+01,1.221057496232055684e+01,1.227075971985290259e+01,1.237425176856470443e+01,1.247635326832209834e+01,1.256739771136727057e+01,1.256127990780461268e+01,1.266707661274664609e+01,1.275063787681900607e+01,1.274755318062553044e+01,1.288163801355066163e+01,1.294209870109937555e+01,1.307341468419213726e+01,1.318550297307304220e+01,1.328181016254945490e+01,1.344567121167096779e+01,1.337653622049517921e+01,1.366396574851372137e+01
8.999999999999999667e-02,1.134522987580442788e+01,1.099127846251879959e+01,1.075516003275861543e+01,1.061397729346042418e+01,1.052945734997068605e+01,1.047279628580087341e+01,1.042959994820394698e+01,1.040810306132413920e+01,1.040331131291434197e+01,1.040941577682646546e+01,1.042110015138005608e+01,1.043776897817663674e+01,1.045690504021038336e+01,1.048118245167870022e+01,1.050241713835798407e+01,1.052668020194493970e+01,1.056006479999997616e+01,1.059094292531402814e+01,1.061804568866393161e+01,1.064649112689212451e+01,1.067018374069844278e+01,1.069985065089173126e+01,1.073221220770631845e+01,1.075507741328115685e+01,1.077960022425173214e+01,1.080288702917813914e+01,1.082618523621690443e+01,1.084654334885100546e+01,1.086932868056716117e+01,1.089006370000000068e+01,1.090862543055257916e+01,1.092852094922246664e+01,1.094632761993436709e+01,1.096506345000000593e+01,1.098639297888691857e+01,1.100026820145825646e+01,1.101236626304887523e+01,1.102733017652155922e+01,1.104129613530180798e+01,1.105506315000001294e+01,1.106628342687996103e+01,1.107653403800186354e+01,1.108505899238503112e+01,1.108851424285965415e+01,1.109537662609867681e+01,1.109954848966047969e+01,1.110152024849080910e+01,1.110502318769770014e+01,1.110404631810338394e+01,1.110006300000001644e+01,1.109484243904772249e+01,1.108506305000001646e+01,1.108219502487631303e+01,1.107006999378257106e+01,1.106173552753634759e+01,1.104422117615127874e+01,1.102319545309967097e+01,1.099506335000000945e+01,1.096536417082054093e+01,1.093202489578184711e+01,1.089337012490656242e+01,1.084506384999999717e+01,1.079459968129664738e+01,1.075869312969168945e+01,1.073738030935081866e+01,1.078082157404960562e+01,1.081917361296000024e+01,1.087240801497039833e+01,1.094362345425475525e+01,1.100272561937645222e+01,1.107221684062835543e+01,1.117986165902252083e+01,1.125756722069273152e+01,1.135358484637169774e+01,1.140820026619471328e+01,1.145478852439524786e+01,1.159710321625764351e+01,1.171453353432280053e+01,1.179305862948592321e+01,1.187812881753373162e+01,1.200260588405003048e+01,1.207273953050956550e+01,1.215855147971166161e+01,1.223214859290830425e+01,1.231525245115120626e+01,1.239634281878623767e+01,1.250302788739343995e+01,1.258024732421202252e+01,1.257932185489527477e+01,1.269216065994322484e+01,1.275244846424828538e+01,1.275701257013484025e+01,1.288228090712679830e+01,1.297996643258268890e+01,1.312091125951276105e+01,1.319229694255503738e+01,1.333910399388333978e+01,1.346474256296936645e+01,1.339034126106464306e+01,1.367396655257670091e+01
