quantile,R(M=0.2),R(M=0.2292929292929293),R(M=0.2585858585858586),R(M=0.2878787878787879),R(M=0.31717171717171716),R(M=0.3464646464646465),R(M=0.37575757575757573),R(M=0.40505050505050505),R(M=0.43434343434343436),R(M=0.4636363636363636),R(M=0.49292929292929294),R(M=0.5222222222222221),R(M=0.5515151515151515),R(M=0.5808080808080808),R(M=0.61010101010101),R(M=0.6393939393939394),R(M=0.6686868686868687),R(M=0.6979797979797979),R(M=0.7272727272727273),R(M=0.7565656565656564),R(M=0.7858585858585858),R(M=0.8151515151515152),R(M=0.8444444444444443),R(M=0.8737373737373737),R(M=0.9030303030303031),R(M=0.9323232323232322),R(M=0.9616161616161616),R(M=0.990909090909091),R(M=1.02020202020202),R(M=1.0494949494949495),R(M=1.0787878787878786),R(M=1.108080808080808),R(M=1.1373737373737374),R(M=1.1666666666666665),R(M=1.195959595959596),R(M=1.225252525252525),R(M=1.2545454545454544),R(M=1.2838383838383838),R(M=1.313131313131313),R(M=1.3424242424242423),R(M=1.3717171717171717),R(M=1.4010101010101008),R(M=1.4303030303030302),R(M=1.4595959595959596),R(M=1.4888888888888887),R(M=1.518181818181818),R(M=1.5474747474747472),R(M=1.5767676767676766),R(M=1.606060606060606),R(M=1.6353535353535351),R(M=1.6646464646464645),R(M=1.6939393939393939),R(M=1.723232323232323),R(M=1.7525252525252524),R(M=1.7818181818181817),R(M=1.811111111111111),R(M=1.8404040404040403),R(M=1.8696969696969696),R(M=1.8989898989898988),R(M=1.9282828282828282),R(M=1.9575757575757573),R(M=1.9868686868686867),R(M=2.0161616161616163),R(M=2.0454545454545454),R(M=2.0747474747474746),R(M=2.104040404040404),R(M=2.1333333333333333),R(M=2.1626262626262625),R(M=2.191919191919192),R(M=2.221212121212121),R(M=2.2505050505050503),R(M=2.27979797979798),R(M=2.309090909090909),R(M=2.3383838383838382),R(M=2.367676767676768),R(M=2.396969696969697),R(M=2.426262626262626),R(M=2.4555555555555557),R(M=2.484848484848485),R(M=2.514141414141414),R(M=2.5434343434343436),R(M=2.5727272727272728),R(M=2.602020202020202),R(M=2.6313131313131315),R(M=2.6606060606060606),R(M=2.68989898989899),R(M=2.7191919191919194),R(M=2.7484848484848485),R(M=2.7777777777777777),R(M=2.8070707070707073),R(M=2.8363636363636364),R(M=2.8656565656565656),R(M=2.8949494949494947),R(M=2.9242424242424243),R(M=2.9535353535353535),R(M=2.9828282828282826),R(M=3.012121212121212),R(M=3.0414141414141413),R(M=3.0707070707070705),R(M=3.1)
0.000000000000000000e+00,1.365095449999998323e+00,1.391574987274135200e+00,1.395095349999998291e+00,2.370092099999995483e+00,2.397221723917076552e+00,2.419448467866958108e+00,2.430608820342537779e+00,2.460091799999994944e+00,2.460091799999994944e+00,2.475091749999994928e+00,2.460091799999994944e+00,2.430091899999994975e+00,3.810087299999991295e+00,3.840087199999990819e+00,3.885087049999990771e+00,4.402888161197926919e+00,4.436809217836979791e+00,4.470085099999988820e+00,4.518950603907284425e+00,4.550810732353485655e+00,4.575084749999988709e+00,4.605084649999988677e+00,4.620084599999988662e+00,4.710084299999988566e+00,4.725084249999988550e+00,4.740084199999988535e+00,4.965083449999987408e+00,4.965083449999987408e+00,4.950083499999987424e+00,4.929037413415593427e+00,4.867151955863519674e+00,5.385082049999986964e+00,5.745080849999985695e+00,5.790080699999985647e+00,5.790080699999985647e+00,6.105079649999984426e+00,6.105079649999984426e+00,6.330078899999984188e+00,6.330078899999984188e+00,6.450078499999983173e+00,6.432015705577041942e+00,6.390078699999983236e+00,6.465078449999983157e+00,6.585078049999983030e+00,6.750077499999982855e+00,6.810077299999982792e+00,6.687916804481599975e+00,7.025563966712761399e+00,7.170076099999981523e+00,7.215075949999981475e+00,7.335075549999980460e+00,7.290075699999980507e+00,7.627438290515650365e+00,7.605074649999980174e+00,7.697508635402622090e+00,7.947849202362482046e+00,8.010073299999978857e+00,8.228224446738515496e+00,8.370072099999976700e+00,8.380573729490439661e+00,8.550071499999976510e+00,8.730070899999976319e+00,8.867104037175726816e+00,8.955070149999976081e+00,9.066946608900765980e+00,9.255762788380353712e+00,9.189183273857485901e+00,9.377114300026713423e+00,9.510068299999973718e+00,9.603862324638502201e+00,9.873239928161025247e+00,9.711737317754003840e+00,1.003088730411709939e+01,1.028985422998994004e+01,1.053932172733400030e+01,1.070783056073240580e+01,1.061903100559708335e+01,1.081652824659014733e+01,1.100419266694360410e+01,1.105829601867901069e+01,1.117859000944121739e+01,1.151723798991678649e+01,1.154167243660164210e+01,1.143210169734322079e+01,1.184411512241206310e+01,1.162781076359065757e+01,1.206662108660704291e+01,1.227210004614430616e+01,1.242893174439343262e+01,1.234116489659682614e+01,1.265055004191453847e+01,1.248619520895069890e+01,1.283317329881282021e+01,1.269094335205721968e+01,1.321815908439091025e+01,1.329153718864166400e+01,1.333049824410643680e+01,1.347861425636532040e+01,1.379960736361661944e+01,1.364559067360183953e+01
1.000000000000000021e-02,4.260085799999989931e+00,4.355596368262601104e+00,4.456926253462590637e+00,4.562489544273146791e+00,4.665084449999988614e+00,4.761299905188431048e+00,4.849988426335562153e+00,4.931128524871503771e+00,5.010083299999987361e+00,5.085083049999987281e+00,5.156642505500747653e+00,5.235837899429160558e+00,5.333356519891495395e+00,5.400081999999986948e+00,5.475081749999986869e+00,5.548700530525254138e+00,5.625399063258081256e+00,5.692548977138400801e+00,5.757447078113282934e+00,5.820080599999985616e+00,5.869957544034872576e+00,5.940080199999985489e+00,6.000079999999984537e+00,6.045326396634433053e+00,6.135079549999984394e+00,6.195079349999984331e+00,6.255020870067652616e+00,6.322926538147036091e+00,6.390078699999983236e+00,6.435078549999983188e+00,6.495078349999983125e+00,6.555078149999983061e+00,6.643889871969518524e+00,6.705077649999982903e+00,6.765077449999982839e+00,6.809844576910325742e+00,6.870077099999981840e+00,6.945076849999981761e+00,7.005076649999981697e+00,7.080076399999981618e+00,7.155081101816703537e+00,7.229966089080194003e+00,7.305075649999980492e+00,7.395535936794936482e+00,7.470075099999980317e+00,7.546665424042808823e+00,7.656927652320574040e+00,7.770074099999979111e+00,7.905073649999978969e+00,8.025073249999978842e+00,8.130072899999978731e+00,8.204054852731507808e+00,8.392975482413781663e+00,8.488079246311801995e+00,8.620816872651667850e+00,8.812156384269826503e+00,8.910070299999976129e+00,9.018382722024332665e+00,9.150069499999975875e+00,9.250537318692195754e+00,9.413574340484174741e+00,9.514904980380087807e+00,9.595224747185987724e+00,9.698630896467379969e+00,9.854760039129491389e+00,9.925710660592315548e+00,1.013722011636233056e+01,1.022988289503544834e+01,1.043744750610277983e+01,1.058899623841849014e+01,1.065277522218562822e+01,1.065688514675605880e+01,1.077485334608895151e+01,1.093638399110110981e+01,1.114696532298337672e+01,1.120050783942518891e+01,1.134538970208268616e+01,1.141469072085207337e+01,1.145398921382059854e+01,1.162402179767819987e+01,1.174690580641534687e+01,1.193594575151472270e+01,1.201801917977399015e+01,1.204278197837303210e+01,1.228951206917251326e+01,1.240460881486540679e+01,1.251642127527299131e+01,1.269932711939969394e+01,1.280808803417850683e+01,1.290465684960491899e+01,1.288044934729561675e+01,1.302768349098602840e+01,1.327270654874290301e+01,1.345833312562325190e+01,1.357296016838725272e+01,1.364467268960400226e+01,1.391816299694554182e+01,1.388880713718453030e+01,1.395595225643559090e+01,1.396283154352408751e+01
2.000000000000000042e-02,4.525341146295529526e+00,4.626545901631573088e+00,4.719143704397837702e+00,4.809757599630259506e+00,4.903514800692747144e+00,4.995537405437953105e+00,5.073383211826441475e+00,5.161765441777981245e+00,5.260011335095411411e+00,5.336204080829271668e+00,5.405835264317336630e+00,5.483882326138633800e+00,5.564520505156722585e+00,5.633002821411905003e+00,5.711963762396602640e+00,5.780685591529607592e+00,5.850080499999985584e+00,5.910080299999985520e+00,5.980440352092267986e+00,6.045079849999984489e+00,6.105079649999984426e+00,6.180079399999984346e+00,6.241922621588736675e+00,6.309590787633776010e+00,6.375078749999984140e+00,6.435078549999983188e+00,6.482849640503433264e+00,6.555078149999983061e+00,6.615077949999982998e+00,6.664598164684715442e+00,6.712251798095389965e+00,6.766525214770284791e+00,6.866629213049500358e+00,6.930076899999981777e+00,7.005076649999981697e+00,7.046709855616613005e+00,7.124991498902761400e+00,7.170076099999981523e+00,7.245075849999981443e+00,7.320075599999980476e+00,7.395075349999980396e+00,7.470075099999980317e+00,7.538402498332728463e+00,7.622961478258983625e+00,7.710074299999979175e+00,7.815073949999979064e+00,7.931782876776169999e+00,8.067863448884120103e+00,8.175072749999978683e+00,8.280072399999978572e+00,8.400071999999976669e+00,8.534918833284033113e+00,8.655071149999976399e+00,8.784199948729300544e+00,8.894166759397442945e+00,9.061390862596129026e+00,9.166600572684183490e+00,9.299535512489608635e+00,9.420068599999973813e+00,9.536510409490995599e+00,9.660067799999973559e+00,9.737972656635909274e+00,9.841408528798925914e+00,9.969218106796366996e+00,1.012112012053908749e+01,1.023585878872037114e+01,1.040956504349726863e+01,1.055066123113421028e+01,1.071006429999998844e+01,1.078507747515385340e+01,1.081869417481674667e+01,1.090318939081642924e+01,1.104013839603268998e+01,1.121283123709721607e+01,1.134929795017413490e+01,1.138560721538590492e+01,1.153579190699359636e+01,1.166269829752096321e+01,1.173583753828890330e+01,1.180432148649726187e+01,1.200879148576323807e+01,1.218562066153964452e+01,1.221319278694551436e+01,1.239053319272664488e+01,1.255530213386977323e+01,1.264355077395384086e+01,1.279640829971467575e+01,1.288196190569424004e+01,1.296389048193153570e+01,1.314080862717569076e+01,1.314933892350788724e+01,1.338163930906776322e+01,1.348099993093159377e+01,1.377127619353852062e+01,1.380439301882023528e+01,1.400383513317164130e+01,1.401023357952280968e+01,1.401908283439034264e+01,1.415716990498684957e+01,1.418876183451120276e+01
2.999999999999999889e-02,4.722560611135768305e+00,4.804407302771173782e+00,4.901625984218460630e+00,5.010083299999987361e+00,5.111868066504436037e+00,5.202450845937165447e+00,5.280082399999987075e+00,5.370082099999986980e+00,5.447878135934517196e+00,5.520081599999985933e+00,5.595081349999985854e+00,5.671681221671517115e+00,5.751657889110861177e+00,5.820080599999985616e+00,5.895080349999985536e+00,5.960625797983902352e+00,6.034062735197541549e+00,6.105079649999984426e+00,6.170106005733627441e+00,6.240079199999984283e+00,6.300078999999984219e+00,6.370499356110075340e+00,6.435078549999983188e+00,6.492372174634990500e+00,6.540078199999983077e+00,6.611702646277817230e+00,6.660077799999982950e+00,6.727217241805149683e+00,6.791997329123952376e+00,6.840077199999981872e+00,6.893202640829458439e+00,6.960076799999981745e+00,7.065076449999981634e+00,7.112268794499391866e+00,7.176473391172174310e+00,7.215197553781185213e+00,7.295611562009256978e+00,7.350768859996406945e+00,7.425075249999980365e+00,7.495778230878889836e+00,7.565107734662872119e+00,7.665074449999980111e+00,7.728728983139192543e+00,7.830073899999979048e+00,7.911185867640204705e+00,8.026144968982556804e+00,8.145072849999978715e+00,8.252905901693202040e+00,8.374085017446947887e+00,8.489241868401112612e+00,8.610071299999976446e+00,8.753049878269241191e+00,8.878043867509562759e+00,8.988508710551677439e+00,9.104526699837748538e+00,9.257176661164441711e+00,9.376601997603426497e+00,9.525068249999973702e+00,9.614510703990754692e+00,9.729242476740440182e+00,9.849775402197915142e+00,9.915830724113822825e+00,1.003634696290046691e+01,1.017564933757111767e+01,1.031004340053698343e+01,1.040790755289999581e+01,1.059721295559080900e+01,1.074006419999999018e+01,1.086119346189505386e+01,1.094015703814843476e+01,1.100509497562824102e+01,1.111161040222398100e+01,1.124472565593018025e+01,1.136904083085917527e+01,1.148553258064326243e+01,1.158521662051691870e+01,1.168115318856000329e+01,1.179455886388938524e+01,1.187156374540933257e+01,1.202520960066314260e+01,1.222746732995714858e+01,1.236112795492989846e+01,1.241842906244295364e+01,1.257390162561878988e+01,1.270286307035693163e+01,1.279478273578807723e+01,1.289805382254154864e+01,1.298905746547977635e+01,1.322725975898505979e+01,1.328207461157978564e+01,1.331617850159701533e+01,1.348999772159520738e+01,1.368056281210385094e+01,1.392095248530332086e+01,1.393134208058372892e+01,1.410942819866147424e+01,1.418721120054158646e+01,1.418061863721275451e+01,1.424572803388712749e+01,1.429448286834876924e+01
4.000000000000000083e-02,4.890083699999987488e+00,4.992260422976746881e+00,5.085083049999987281e+00,5.191868941268089621e+00,5.280966479066326436e+00,5.370082099999986980e+00,5.445081849999986900e+00,5.536134420112464483e+00,5.617078933327252166e+00,5.691820455781966714e+00,5.767934121904028544e+00,5.837866360215294037e+00,5.921142821746125939e+00,5.985080049999984553e+00,6.064799101432877038e+00,6.134281678671653637e+00,6.202843416295253931e+00,6.270164773332174590e+00,6.326582223550343720e+00,6.394299888488475858e+00,6.453618974276425391e+00,6.525078249999983093e+00,6.585078049999983030e+00,6.647055657295750208e+00,6.705077649999982903e+00,6.780077399999982823e+00,6.825077249999981888e+00,6.883160981759078645e+00,6.944104727968615443e+00,7.007234267113971349e+00,7.065076449999981634e+00,7.134274724937107237e+00,7.200416728803028299e+00,7.260075799999980539e+00,7.320075599999980476e+00,7.380075399999980412e+00,7.453752459305470701e+00,7.500074999999980285e+00,7.575074749999980206e+00,7.655542178285577926e+00,7.739510760562714253e+00,7.815073949999979064e+00,7.897523916688435008e+00,8.002216465502909770e+00,8.095258877855107116e+00,8.205072649999978651e+00,8.310072299999978540e+00,8.416846225680053806e+00,8.535071549999976526e+00,8.649981626814517099e+00,8.799325109657438304e+00,8.925070249999976113e+00,9.053886199385864586e+00,9.150069499999975875e+00,9.255069149999973988e+00,9.439107165828302115e+00,9.555019314601594260e+00,9.672950518430607048e+00,9.773631304464203140e+00,9.884040888373023748e+00,9.993681083551523514e+00,1.007088227965890148e+01,1.020878896443646511e+01,1.034105623655724671e+01,1.044851235405489831e+01,1.060506464999997966e+01,1.075281499908788696e+01,1.089136232837610940e+01,1.099693160603486319e+01,1.105506315000001294e+01,1.117616729133813891e+01,1.122644379015434524e+01,1.138747637688477532e+01,1.148926902089312740e+01,1.163755387915021977e+01,1.173847257922994025e+01,1.183753945209956626e+01,1.189626034600003024e+01,1.205824522440446245e+01,1.221940862552869156e+01,1.242033665791991837e+01,1.248481113219908423e+01,1.254807978247262490e+01,1.266829699171298884e+01,1.287385252154738247e+01,1.293724543888836642e+01,1.300355455066436505e+01,1.317851054701520574e+01,1.336524589019528442e+01,1.342047433570756532e+01,1.351815472887055236e+01,1.360508427199414960e+01,1.384830780283483698e+01,1.402713214051832047e+01,1.407059909137372600e+01,1.421085199433920465e+01,1.426038802426429974e+01,1.425032357484018952e+01,1.435472980947132093e+01,1.437724802439531580e+01
5.000000000000000278e-02,5.070083099999987297e+00,5.160082799999987202e+00,5.250082499999987107e+00,5.355082149999986996e+00,5.453012815405444691e+00,5.533232769464562217e+00,5.613999247403660853e+00,5.700080999999985742e+00,5.775080749999985663e+00,5.849581407237502084e+00,5.925080249999985504e+00,5.999599027853165012e+00,6.079557453270885148e+00,6.143237712543228923e+00,6.210079299999984315e+00,6.270079099999984251e+00,6.351319830691022794e+00,6.411237056669985002e+00,6.480078399999983141e+00,6.540078199999983077e+00,6.600077999999983014e+00,6.675077749999982935e+00,6.749911523940067326e+00,6.806101855878895712e+00,6.858785408979572118e+00,6.915076949999981792e+00,6.971057604678404296e+00,7.035072887660842156e+00,7.101676582196488674e+00,7.155076149999981538e+00,7.200075999999981491e+00,7.260075799999980539e+00,7.329514159436865128e+00,7.391848984805325706e+00,7.455075149999980333e+00,7.515074949999980269e+00,7.589623292141501665e+00,7.650342913382489840e+00,7.725074249999979159e+00,7.800073999999979080e+00,7.875073749999979000e+00,7.978462749007444010e+00,8.055073149999978810e+00,8.161656631929515626e+00,8.244156868316082409e+00,8.355072149999976716e+00,8.460071799999976605e+00,8.575758412438636569e+00,8.685071049999976367e+00,8.820070599999976224e+00,8.962867759415047431e+00,9.082397920575044026e+00,9.195069349999975827e+00,9.288385397269987465e+00,9.405068649999973829e+00,9.591229074236821361e+00,9.700281227443571908e+00,9.814903574183182045e+00,9.904988747727454523e+00,1.003472837848510757e+01,1.014309487164529777e+01,1.021523763725953238e+01,1.035489110330040674e+01,1.049363902545718297e+01,1.062006459999998143e+01,1.073928543810071190e+01,1.088745084737968938e+01,1.100997783456682733e+01,1.109080487568058082e+01,1.120681938664210975e+01,1.131006353825196520e+01,1.136062732471315151e+01,1.145326190622097506e+01,1.162150066862675324e+01,1.179256429161403119e+01,1.187096390812243918e+01,1.194609055469206282e+01,1.204343571496483989e+01,1.218766340576912199e+01,1.234073913981134041e+01,1.249812173470353827e+01,1.258793161151653450e+01,1.268715724646845189e+01,1.280746817990676512e+01,1.299436245159568237e+01,1.299750680989971485e+01,1.311918284321259875e+01,1.332258914051354637e+01,1.347743897945017011e+01,1.354236699535350930e+01,1.358700422967910271e+01,1.380335155150950932e+01,1.398449660928511307e+01,1.412190446600600602e+01,1.417245891850463479e+01,1.429925777348396210e+01,1.434206013248005540e+01,1.434677909449221822e+01,1.442699596602037815e+01,1.445975513999663242e+01
5.999999999999999778e-02,5.235082549999986234e+00,5.325082249999987027e+00,5.409022514336625065e+00,5.517193601622878418e+00,5.600816645160442420e+00,5.686958203372324938e+00,5.760080799999985679e+00,5.846144382969335140e+00,5.925183186069950203e+00,5.999932396539605861e+00,6.075079749999984458e+00,6.147199229023566858e+00,6.225629169043625843e+00,6.288854854501933822e+00,6.360078799999984156e+00,6.422181095583571420e+00,6.496268527461447562e+00,6.555078149999983061e+00,6.620342502356993286e+00,6.690077699999982919e+00,6.757231842134427069e+00,6.818005860668526985e+00,6.878073389497995294e+00,6.938326829003634622e+00,6.990076699999981713e+00,7.050076499999981650e+00,7.105430083994158430e+00,7.167602292425981680e+00,7.230075899999981459e+00,7.275075749999980523e+00,7.320075599999980476e+00,7.378087245679582296e+00,7.455075149999980333e+00,7.522967277545118847e+00,7.590074699999980190e+00,7.648370092658469233e+00,7.717448422907031258e+00,7.784770899860265381e+00,7.860073799999979016e+00,7.935073549999978937e+00,8.025073249999978842e+00,8.113478173403933624e+00,8.190072699999978667e+00,8.297151925071680978e+00,8.385072049999976684e+00,8.490071699999976573e+00,8.596852934628534726e+00,8.700070999999976351e+00,8.823068916263725470e+00,8.965450193135309220e+00,9.110025022402480133e+00,9.210069299999974035e+00,9.339842504107776833e+00,9.439406867896551034e+00,9.580255155703152781e+00,9.720349351166952090e+00,9.839247111409978430e+00,9.943927922676721209e+00,1.005006649999997315e+01,1.017610639824507324e+01,1.026583379464626233e+01,1.035529228764678322e+01,1.048514497797543221e+01,1.063365328948892241e+01,1.074263061434911037e+01,1.085285329091947126e+01,1.100731425606585390e+01,1.110736520333121113e+01,1.121102374298568272e+01,1.132514691994914990e+01,1.140811405156035185e+01,1.146745419028784063e+01,1.155016023058426811e+01,1.173125583996121613e+01,1.192506025000007774e+01,1.195655160555751628e+01,1.202294262037949224e+01,1.214950991667771163e+01,1.231693513370098181e+01,1.250786970701316925e+01,1.258360519327298199e+01,1.270065908674936672e+01,1.280356499697810335e+01,1.291085971720055880e+01,1.304362224312024843e+01,1.309244243245568029e+01,1.327648230951735897e+01,1.342715782270184732e+01,1.356643952447403834e+01,1.361999842440648223e+01,1.366821516708001205e+01,1.391437293614035653e+01,1.409094591587527567e+01,1.418102353715474528e+01,1.427852766424781272e+01,1.436678786241810180e+01,1.444835721132761819e+01,1.442201685879564721e+01,1.447250895946337224e+01,1.454954334438421526e+01
7.000000000000000666e-02,5.389484841431791295e+00,5.472166303892540995e+00,5.564686648477018771e+00,5.659548287450856030e+00,5.753790956099789078e+00,5.835080549999985600e+00,5.918264332583862419e+00,5.992008619715962325e+00,6.066328920581450568e+00,6.146807450469875533e+00,6.212218791156145059e+00,6.289912043084148863e+00,6.360078799999984156e+00,6.420078599999983204e+00,6.496417831597007364e+00,6.562801506341467750e+00,6.630077899999982982e+00,6.690077699999982919e+00,6.751653160250081775e+00,6.824403740522873463e+00,6.884993091488015970e+00,6.950555134976588612e+00,7.009081033830124596e+00,7.057229851113937968e+00,7.113151271187193814e+00,7.167535081583667811e+00,7.225990065155386333e+00,7.282487543778537464e+00,7.335075549999980460e+00,7.397754823038805938e+00,7.443155692669353840e+00,7.500507745439115581e+00,7.590074699999980190e+00,7.655054901050201366e+00,7.710074299999979175e+00,7.763939520398404959e+00,7.845073849999979032e+00,7.919016399745159696e+00,7.993483339537817756e+00,8.058553022040737090e+00,8.146692397537364627e+00,8.228228223001687880e+00,8.331646458373191066e+00,8.432048656135574305e+00,8.495577819460637059e+00,8.622142497641471337e+00,8.730482404489574577e+00,8.819963537945469056e+00,8.979073468444594752e+00,9.105069649999975923e+00,9.225069249999974019e+00,9.345068849999973892e+00,9.466186377549608011e+00,9.581675059152628293e+00,9.705067649999973511e+00,9.830376808083988394e+00,9.948274983940352811e+00,1.006584299908833913e+01,1.018491152448469350e+01,1.027905039794736552e+01,1.039054309922901709e+01,1.049106307669947924e+01,1.064504467292865719e+01,1.075125937893353623e+01,1.085560593916811634e+01,1.096065215565159612e+01,1.109832559297479726e+01,1.120862093129164805e+01,1.133710392344651474e+01,1.141736014915392339e+01,1.149953809234085611e+01,1.155521440668204214e+01,1.169774878052802691e+01,1.184431129825119555e+01,1.199947481736264443e+01,1.206488302549279901e+01,1.215062195572447834e+01,1.228078804817657854e+01,1.239368774598859346e+01,1.257614606473119068e+01,1.268121187667810723e+01,1.280217810691282310e+01,1.289474253645827595e+01,1.300579389208814440e+01,1.313397898823654941e+01,1.315853803998070681e+01,1.341116940301029992e+01,1.356456319619725903e+01,1.365721450161733230e+01,1.369570556988236731e+01,1.381940626641288361e+01,1.404386602431149456e+01,1.415967000928199226e+01,1.428533746205602561e+01,1.434039879732570810e+01,1.439912893045876530e+01,1.451159465187090625e+01,1.447645657961729171e+01,1.456267729502423869e+01,1.458536178259751992e+01
8.000000000000000167e-02,5.535081549999985917e+00,5.613200374320682862e+00,5.715080949999985727e+00,5.809187177811047320e+00,5.894244978081575326e+00,5.970080099999984569e+00,6.049212671887735482e+00,6.132426974617635196e+00,6.210079299999984315e+00,6.285040881276526825e+00,6.346214557984777294e+00,6.420078599999983204e+00,6.495339585926446446e+00,6.566737409037010309e+00,6.637218375551001692e+00,6.690077699999982919e+00,6.757902091292017133e+00,6.824365085576398648e+00,6.881872344750366466e+00,6.945076849999981761e+00,7.009548153008604565e+00,7.067664890965470903e+00,7.124095573223947042e+00,7.171223749311868012e+00,7.228967193386909074e+00,7.284594914844634062e+00,7.341450844581764557e+00,7.395075349999980396e+00,7.455075149999980333e+00,7.515074949999980269e+00,7.566503045027573648e+00,7.635001266722808211e+00,7.710074299999979175e+00,7.778223030620842415e+00,7.830073899999979048e+00,7.890073699999978984e+00,7.965073449999978905e+00,8.035846247704228063e+00,8.108880385786928713e+00,8.176833122486760530e+00,8.265072449999978588e+00,8.355072149999976716e+00,8.439753476509487484e+00,8.535071549999976526e+00,8.614222750747957846e+00,8.740717622039783308e+00,8.844841250911875008e+00,8.955070149999976081e+00,9.120069599999975907e+00,9.221129917369431439e+00,9.338349291733063495e+00,9.477175014564966915e+00,9.592723171174794672e+00,9.705095252596331434e+00,9.813832197115546663e+00,9.941837988272702376e+00,1.006359353730487172e+01,1.019748301995970863e+01,1.029045235178725015e+01,1.039814946889013925e+01,1.050006499999997267e+01,1.060672990295297780e+01,1.075506414999999194e+01,1.085426857281015955e+01,1.094986130478049802e+01,1.106079329658375698e+01,1.119229228896670136e+01,1.129302812467634709e+01,1.143006190000004096e+01,1.149408615501308439e+01,1.158092578425417507e+01,1.163381326260556747e+01,1.177636401803943400e+01,1.194822482180624235e+01,1.207085982933874391e+01,1.214293222581222942e+01,1.226251589486072646e+01,1.238263545618505113e+01,1.252107487274542663e+01,1.266868560452282999e+01,1.277408840419908742e+01,1.289972540654791011e+01,1.298310832682292038e+01,1.306647971463722158e+01,1.319002090673733107e+01,1.327684696280795151e+01,1.345802057659132345e+01,1.360455077332749951e+01,1.371546518756838040e+01,1.383009450986406108e+01,1.394940125735303127e+01,1.416073183783276335e+01,1.420737051835038400e+01,1.433755480886685874e+01,1.438342232072379545e+01,1.447561368273343341e+01,1.455597634408859520e+01,1.454499341131744750e+01,1.461572811604173161e+01,1.466144040103702650e+01
8.999999999999999667e-02,5.696128847019140018e+00,5.781596083019505450e+00,5.857447740075508946e+00,5.941447735394432605e+00,6.030079899999984505e+00,6.117545788168372134e+00,6.194055545283121411e+00,6.275408854852824625e+00,6.346507256186778356e+00,6.410918194926667368e+00,6.478380163783279855e+00,6.562160859704524896e+00,6.630077899999982982e+00,6.690077699999982919e+00,6.755634827388610653e+00,6.817829846451531672e+00,6.884825935778882133e+00,6.943985848767619373e+00,7.005076649999981697e+00,7.065295496900425576e+00,7.122008779896143338e+00,7.180890595955012223e+00,7.230075899999981459e+00,7.286148295830113142e+00,7.342372568644286446e+00,7.397413991927237475e+00,7.455075149999980333e+00,7.515856141361178189e+00,7.581812549398339485e+00,7.636454526083490180e+00,7.688188005066687758e+00,7.747346172837461076e+00,7.824445868333240739e+00,7.888510301608629760e+00,7.950073499999978921e+00,8.006114944120755084e+00,8.085073049999978778e+00,8.148532741497712450e+00,8.220072599999978635e+00,8.295072349999978556e+00,8.385072049999976684e+00,8.460466732596730211e+00,8.547035511746685188e+00,8.655630810769039840e+00,8.741488644306789624e+00,8.865070449999976177e+00,8.958713681604633550e+00,9.082084965826149769e+00,9.226797691355951514e+00,9.334435936218509866e+00,9.450304235213947024e+00,9.585068049999973638e+00,9.705067649999973511e+00,9.816382023602820084e+00,9.915066949999973289e+00,1.005200308808223575e+01,1.017034718895116363e+01,1.030506564999997110e+01,1.040629676433407091e+01,1.049939244492435186e+01,1.061457575319296254e+01,1.072746480279501036e+01,1.084990127743719945e+01,1.097095943262778484e+01,1.106932583332725528e+01,1.116006280000002171e+01,1.127636131150066490e+01,1.139984102066897442e+01,1.150506165000004621e+01,1.157914863605894951e+01,1.166782771020548637e+01,1.175964218832942798e+01,1.186582915662822479e+01,1.206638422853987436e+01,1.216597428778813494e+01,1.223550270136790274e+01,1.236337227559882201e+01,1.248988289641685334e+01,1.259464904104683569e+01,1.273733431664040339e+01,1.286240616681805982e+01,1.298083327947170140e+01,1.307788780849377908e+01,1.313469462447436165e+01,1.325359331684558484e+01,1.340104694586128531e+01,1.356970093409194433e+01,1.369440648108222902e+01,1.381587763141387981e+01,1.388615008237712267e+01,1.406850135374681976e+01,1.422981586912475116e+01,1.429492109019364321e+01,1.438260949669721533e+01,1.448300014221590359e+01,1.453514902096685191e+01,1.463329154240131125e+01,1.458111092970875688e+01,1.466632523291164603e+01,1.472283585681472395e+01
