quantile,R(M=0.2),R(M=0.2292929292929293),R(M=0.2585858585858586),R(M=0.2878787878787879),R(M=0.31717171717171716),R(M=0.3464646464646465),R(M=0.37575757575757573),R(M=0.40505050505050505),R(M=0.43434343434343436),R(M=0.4636363636363636),R(M=0.49292929292929294),R(M=0.5222222222222221),R(M=0.5515151515151515),R(M=0.5808080808080808),R(M=0.61010101010101),R(M=0.6393939393939394),R(M=0.6686868686868687),R(M=0.6979797979797979),R(M=0.7272727272727273),R(M=0.7565656565656564),R(M=0.7858585858585858),R(M=0.8151515151515152),R(M=0.8444444444444443),R(M=0.8737373737373737),R(M=0.9030303030303031),R(M=0.9323232323232322),R(M=0.9616161616161616),R(M=0.990909090909091),R(M=1.02020202020202),R(M=1.0494949494949495),R(M=1.0787878787878786),R(M=1.108080808080808),R(M=1.1373737373737374),R(M=1.1666666666666665),R(M=1.195959595959596),R(M=1.225252525252525),R(M=1.2545454545454544),R(M=1.2838383838383838),R(M=1.313131313131313),R(M=1.3424242424242423),R(M=1.3717171717171717),R(M=1.4010101010101008),R(M=1.4303030303030302),R(M=1.4595959595959596),R(M=1.4888888888888887),R(M=1.518181818181818),R(M=1.5474747474747472),R(M=1.5767676767676766),R(M=1.606060606060606),R(M=1.6353535353535351),R(M=1.6646464646464645),R(M=1.6939393939393939),R(M=1.723232323232323),R(M=1.7525252525252524),R(M=1.7818181818181817),R(M=1.811111111111111),R(M=1.8404040404040403),R(M=1.8696969696969696),R(M=1.8989898989898988),R(M=1.9282828282828282),R(M=1.9575757575757573),R(M=1.9868686868686867),R(M=2.0161616161616163),R(M=2.0454545454545454),R(M=2.0747474747474746),R(M=2.104040404040404),R(M=2.1333333333333333),R(M=2.1626262626262625),R(M=2.191919191919192),R(M=2.221212121212121),R(M=2.2505050505050503),R(M=2.27979797979798),R(M=2.309090909090909),R(M=2.3383838383838382),R(M=2.367676767676768),R(M=2.396969696969697),R(M=2.426262626262626),R(M=2.4555555555555557),R(M=2.484848484848485),R(M=2.514141414141414),R(M=2.5434343434343436),R(M=2.5727272727272728),R(M=2.602020202020202),R(M=2.6313131313131315),R(M=2.6606060606060606),R(M=2.68989898989899),R(M=2.7191919191919194),R(M=2.7484848484848485),R(M=2.7777777777777777),R(M=2.8070707070707073),R(M=2.8363636363636364),R(M=2.8656565656565656),R(M=2.8949494949494947),R(M=2.9242424242424243),R(M=2.9535353535353535),R(M=2.9828282828282826),R(M=3.012121212121212),R(M=3.0414141414141413),R(M=3.0707070707070705),R(M=3.1)
0.000000000000000000e+00,5.528167680478821566e+00,5.610131836177490783e+00,5.692095991876160888e+00,5.779814190698609799e+00,5.869774814743527358e+00,5.959735438788444029e+00,6.045241961337211478e+00,6.130169753574371327e+00,6.214912201284303883e+00,6.296703259672273845e+00,6.378494318060244694e+00,6.457823210001031988e+00,6.531625035787427258e+00,6.605426861573821640e+00,6.677682096092871333e+00,6.749161654721289594e+00,6.820284974933080946e+00,6.889354085468647249e+00,6.958423196004212663e+00,7.020414662439878661e+00,7.080157408534455854e+00,7.141649969773274265e+00,7.204897922125561571e+00,7.264089793005997109e+00,7.316217737752103822e+00,7.369452074739955449e+00,7.424736745131840898e+00,7.477753835606964827e+00,7.528013208398047773e+00,7.574431722170999137e+00,7.618876264902450401e+00,7.665961513782282744e+00,7.714219589166322777e+00,7.764251729174413974e+00,7.807595416158419788e+00,7.851273588761503497e+00,7.895042361141339171e+00,7.930880816026810720e+00,7.968645213624243162e+00,8.008240664820977628e+00,8.041644572578508843e+00,8.071003046929115854e+00,8.102115632050686855e+00,8.135165354255301295e+00,8.170374648916682858e+00,8.193148789938264898e+00,8.227003217842858263e+00,8.248924272665163926e+00,8.272939171583429285e+00,8.284156572059110601e+00,8.310072299999978540e+00,8.314501507296382599e+00,8.325072249999978524e+00,8.325072249999978524e+00,8.317644089395537677e+00,8.302563733018619274e+00,8.265072449999978588e+00,8.200326510642319988e+00,8.125320987138387352e+00,8.370072099999976700e+00,8.475000071179396244e+00,8.568204331264356099e+00,8.820070599999976224e+00,8.955070149999976081e+00,9.066946608900765980e+00,9.064822824119012523e+00,9.189183273857485901e+00,9.330635995598996146e+00,9.510068299999973718e+00,9.555635290937763315e+00,9.870067099999973337e+00,9.711737317754003840e+00,1.002506359135809610e+01,1.006571674133660288e+01,1.012815975657879441e+01,1.038006539999997102e+01,1.060585821556377084e+01,1.062993819910772686e+01,1.080286842968067340e+01,1.082819093209939432e+01,1.092419665139781948e+01,1.113389064068598167e+01,1.136317665903050589e+01,1.143210169734322079e+01,1.147964103034762040e+01,1.162781076359065757e+01,1.177021536833579773e+01,1.189830110159840437e+01,1.205772290668509505e+01,1.226630307372084516e+01,1.245071279757862648e+01,1.237899781979866631e+01,1.251042634989546976e+01,1.269094335205721968e+01,1.260645182491025906e+01,1.303920096116696747e+01,1.315482110071087263e+01,1.308759088921200231e+01,1.340404409696230736e+01,1.334100642463951658e+01
1.000000000000000021e-02,7.734245352861500500e+00,7.741174804109596685e+00,7.805738716503856089e+00,7.842155800571444679e+00,7.905755363908014921e+00,7.966250935334784344e+00,8.018327036369955252e+00,8.076820377423254982e+00,8.141840896436109531e+00,8.202964793410025379e+00,8.268084047977762197e+00,8.333539181677286578e+00,8.395201021730912316e+00,8.460364569725324912e+00,8.517704159327662339e+00,8.577392520723478242e+00,8.631661522330018599e+00,8.690894036163188119e+00,8.746344468135403005e+00,8.802552484215096840e+00,8.856287766496134140e+00,8.904036877733762623e+00,8.960087809152728511e+00,9.012491198770383960e+00,9.059073881652770055e+00,9.107724933875484652e+00,9.157739805235639352e+00,9.200132849185678197e+00,9.247169762954266403e+00,9.290395576828716528e+00,9.328179039409054241e+00,9.369664786057800399e+00,9.406990658170629516e+00,9.447893485241698031e+00,9.484242196659204538e+00,9.523778395998476753e+00,9.560794198907974106e+00,9.592654618242589137e+00,9.621429112676736395e+00,9.647598070792277269e+00,9.685759214478574464e+00,9.712905981486562368e+00,9.743690186102423212e+00,9.769079865865920809e+00,9.791755193863837192e+00,9.822688016655714449e+00,9.844876597430578968e+00,9.863960058788791230e+00,9.882363108008268782e+00,9.903467645161091681e+00,9.916891558298082998e+00,9.932784524323871267e+00,9.945066849999973257e+00,9.960066799999973242e+00,9.965286612662564991e+00,9.974525246150736990e+00,9.975066749999973226e+00,9.973232470496659730e+00,9.960066799999973242e+00,9.951136421936229937e+00,9.926912662598610382e+00,9.900066999999973305e+00,9.884921713995044712e+00,9.888605529529449711e+00,9.930066899999973273e+00,1.001956853820569471e+01,1.011771531862944329e+01,1.018433281646576205e+01,1.033379755894086571e+01,1.043367682030110366e+01,1.054099086122464612e+01,1.064477430988419293e+01,1.078867636622258175e+01,1.089056187479213378e+01,1.097411609977192803e+01,1.110589797167369674e+01,1.125719593480067360e+01,1.138542194158136844e+01,1.145302700623169478e+01,1.158252039203838635e+01,1.177027953703517937e+01,1.184504166877968245e+01,1.197354325007210640e+01,1.212957235035397296e+01,1.225231173270315743e+01,1.237647509991574246e+01,1.249925597453825787e+01,1.261187131217501012e+01,1.264928954760828539e+01,1.284982575584404785e+01,1.294373954762110124e+01,1.303425998141861442e+01,1.312632636544315901e+01,1.332655705945198754e+01,1.354935758386545430e+01,1.354923159621425377e+01,1.366715028729207049e+01,1.384980267157351008e+01,1.391768068857049911e+01,1.402815501038798018e+01
2.000000000000000042e-02,8.256971804643606916e+00,8.264973084160018857e+00,8.275980373790762457e+00,8.317000968087800317e+00,8.360688471561555701e+00,8.403990271300726178e+00,8.471050268673563366e+00,8.527698990218434361e+00,8.590490920139771447e+00,8.645512282688816441e+00,8.701958220472546301e+00,8.759008611899274044e+00,8.815487504919060413e+00,8.877021251533939505e+00,8.938907411584743556e+00,8.990265782673416695e+00,9.049321298876472852e+00,9.093837831553321038e+00,9.147107136582341980e+00,9.203092869447814905e+00,9.253323722488836722e+00,9.303059198664422880e+00,9.352958540527058773e+00,9.397096727699633334e+00,9.443887318378678231e+00,9.490633678267245799e+00,9.530616072525758042e+00,9.572670366577039403e+00,9.613279256443989951e+00,9.652690187395162269e+00,9.689238475302099474e+00,9.726699144306435230e+00,9.759092632411451973e+00,9.796935496598839777e+00,9.828334557112130554e+00,9.864599375766740508e+00,9.899767289549060933e+00,9.931816178358317870e+00,9.963335229862206432e+00,9.992332724695605961e+00,1.002160339993669602e+01,1.004476821196538694e+01,1.007004924977381677e+01,1.009717577830095259e+01,1.011595613473447663e+01,1.014006619999997127e+01,1.016033993121504331e+01,1.017993710104602556e+01,1.019829157485298587e+01,1.021500657382742894e+01,1.022512728759954648e+01,1.023634521568998501e+01,1.024506584999997116e+01,1.024909808457470461e+01,1.025181598939052741e+01,1.025468608884088262e+01,1.024971979917873988e+01,1.024766651599002110e+01,1.024330237043096936e+01,1.021934201034607703e+01,1.020006599999997121e+01,1.017006609999997124e+01,1.014657359327971697e+01,1.015460423282184799e+01,1.018938100876014730e+01,1.027172217310753233e+01,1.034683869127313649e+01,1.043833355096889193e+01,1.056006479999997616e+01,1.065705645529265411e+01,1.076809635618810645e+01,1.087386024552114883e+01,1.102165413278977013e+01,1.109791618923271450e+01,1.122174670377021855e+01,1.132890111487021656e+01,1.147294787692595186e+01,1.162336344151439604e+01,1.168207668096462370e+01,1.181468493831232536e+01,1.196099879759931106e+01,1.205964316074665277e+01,1.220438626939342619e+01,1.235068020096981023e+01,1.249084198674254509e+01,1.260627645811557329e+01,1.270218392072316149e+01,1.279972546427264390e+01,1.287590083105951955e+01,1.304368265953217865e+01,1.316353229359062560e+01,1.325779688585068783e+01,1.339234137141110104e+01,1.359863086956379341e+01,1.371005333004290350e+01,1.374282415123610690e+01,1.393531699647951605e+01,1.399741907505906902e+01,1.413546005565694763e+01,1.423038068547841384e+01
2.999999999999999889e-02,8.696547975851421697e+00,8.669471504684826968e+00,8.684481141131909609e+00,8.700320358042976210e+00,8.731012358973405441e+00,8.775782644472355898e+00,8.823340664221628771e+00,8.866600628630328274e+00,8.917585353576347629e+00,8.958148023153384543e+00,9.010371408962623008e+00,9.057625978816977508e+00,9.107761437054151088e+00,9.161601272300682552e+00,9.215646982076645344e+00,9.268103039593098558e+00,9.324849907201519628e+00,9.373735851894542392e+00,9.425931928516382285e+00,9.472571461969288009e+00,9.520617516400085023e+00,9.564732193463555632e+00,9.610273450550169017e+00,9.657786550773398204e+00,9.704230917536920131e+00,9.749612324292080245e+00,9.795083910856261511e+00,9.837692089656378869e+00,9.881201919715373094e+00,9.917817215959898292e+00,9.952956874557974842e+00,9.988215376324417250e+00,1.002177973322252669e+01,1.005324576847796969e+01,1.008185774103901267e+01,1.011006629999997131e+01,1.014315367886160679e+01,1.017208630308332573e+01,1.019644477995237075e+01,1.022463505486225266e+01,1.025834395597279247e+01,1.028100674240933010e+01,1.030506564999997110e+01,1.032559475446433872e+01,1.034447965291051297e+01,1.036506544999997104e+01,1.038064407956669655e+01,1.039506534999997100e+01,1.041051103651792253e+01,1.042506524999997097e+01,1.043828756976519045e+01,1.044336040579444891e+01,1.045506514999997094e+01,1.046062246888497960e+01,1.046295400765267658e+01,1.046489174782703202e+01,1.045506514999997094e+01,1.044947659959186126e+01,1.043946907133514834e+01,1.042506524999997097e+01,1.039586299496939503e+01,1.035737350727593409e+01,1.033506554999997107e+01,1.033264721141742193e+01,1.036979565597680164e+01,1.044344656357486123e+01,1.052045338704634148e+01,1.059708568737309875e+01,1.072605565430199803e+01,1.082871413993942866e+01,1.091220770032012588e+01,1.104267455775440432e+01,1.118138915187710580e+01,1.127997058983207346e+01,1.137355512158226567e+01,1.148119688282047157e+01,1.162905039664616957e+01,1.176287503668706513e+01,1.184759362284487061e+01,1.197016453605457720e+01,1.212403369969835332e+01,1.222519396490196364e+01,1.237295169319446053e+01,1.249668793522492294e+01,1.265984244736958253e+01,1.279246723363477756e+01,1.287283098510832602e+01,1.295618850343451278e+01,1.302395137719858731e+01,1.319847537593460451e+01,1.331768957574445089e+01,1.342457606959967897e+01,1.356118024279813028e+01,1.375089986399670927e+01,1.384896200043930037e+01,1.397349018649054564e+01,1.407143332434007910e+01,1.419065102777831910e+01,1.428268219378893455e+01,1.438695594284873458e+01
4.000000000000000083e-02,9.031030884993962005e+00,8.965634706236560447e+00,8.975304740268816417e+00,8.988759481548873609e+00,9.015842715298688859e+00,9.047530423815141276e+00,9.084680681573265915e+00,9.119876621312318576e+00,9.168634363135861776e+00,9.217281438633571966e+00,9.265175628594358059e+00,9.303678106118640656e+00,9.352693300737739079e+00,9.406452548674630876e+00,9.460003800172335886e+00,9.505948139506768868e+00,9.560115681366044171e+00,9.607662016143697414e+00,9.659699356553522520e+00,9.713317015274151700e+00,9.759013357037883196e+00,9.800728110571130358e+00,9.843160082152200729e+00,9.885276060336721571e+00,9.927760559927632400e+00,9.969197130129670015e+00,1.000802985719462690e+01,1.005063899878022404e+01,1.008247240933758881e+01,1.012027619569062509e+01,1.015516617807092992e+01,1.018777744414267872e+01,1.022295847843308891e+01,1.025520753392828155e+01,1.028569980907186654e+01,1.031734348740638296e+01,1.034437887690402036e+01,1.036897408339664395e+01,1.039216939075563495e+01,1.041521177887303296e+01,1.043917817096188116e+01,1.045881047751255011e+01,1.048205127136418824e+01,1.050006499999997267e+01,1.051756949431244337e+01,1.053468792078072980e+01,1.055031657418418689e+01,1.056454478871747149e+01,1.057625194892746379e+01,1.059006469999997790e+01,1.060053910152802814e+01,1.060506464999997966e+01,1.061656743521953850e+01,1.062006459999998143e+01,1.062355428388328704e+01,1.062480703498715329e+01,1.062097819751458161e+01,1.061619731940795219e+01,1.060313834311851622e+01,1.058021868892458528e+01,1.055936893966517509e+01,1.052448237579133128e+01,1.049941908214068143e+01,1.049560506232256785e+01,1.051506494999997265e+01,1.059388925901646950e+01,1.066466978647669350e+01,1.073934867247312930e+01,1.085953185908445562e+01,1.095075849730476492e+01,1.104528380315702485e+01,1.116623706455805376e+01,1.130011139970969047e+01,1.141384330691130877e+01,1.147506175000004447e+01,1.162385713025757461e+01,1.175716219786980510e+01,1.188223260048057028e+01,1.196513037497123477e+01,1.208400637114295328e+01,1.226576211409277839e+01,1.239010809388184775e+01,1.249231070962370005e+01,1.265703851372357391e+01,1.281631141911263150e+01,1.291373387480895829e+01,1.296725653996633554e+01,1.307373434960878456e+01,1.317982902745879059e+01,1.331831726046852360e+01,1.346562230437184837e+01,1.354183858489495584e+01,1.371043842389335587e+01,1.385681745519963926e+01,1.401930200615850453e+01,1.411051239151042225e+01,1.421381309281435890e+01,1.430405480908949656e+01,1.443074524511305334e+01,1.451852784536970198e+01
5.000000000000000278e-02,9.303300859250237309e+00,9.241790692512449112e+00,9.233013829250053206e+00,9.249907157739505337e+00,9.249804744758280961e+00,9.274405336432282709e+00,9.302088253757784031e+00,9.341291469123021329e+00,9.384208442570912467e+00,9.422471768956576454e+00,9.471626466345570705e+00,9.511975096330694157e+00,9.560953328726684575e+00,9.609788167632604683e+00,9.659212264872721221e+00,9.709972284311183088e+00,9.752840405465192930e+00,9.802799100241596619e+00,9.852133263098407312e+00,9.899350821191655214e+00,9.940540412595424868e+00,9.984133693452653446e+00,1.002670044335051003e+01,1.006362919120942756e+01,1.010276580816691805e+01,1.014373102336423749e+01,1.018517081952680314e+01,1.022257041191969584e+01,1.025920770262303705e+01,1.029007933469683778e+01,1.032339847740142957e+01,1.035447790390064071e+01,1.038275535838984354e+01,1.041202880100893680e+01,1.044216997796845270e+01,1.047089535496967017e+01,1.049724262602575209e+01,1.052470359475638872e+01,1.054910383169388055e+01,1.057213713436457780e+01,1.059555769519927004e+01,1.061963372817313811e+01,1.063784700283367712e+01,1.065373996210345275e+01,1.067047999037693629e+01,1.068730402713593541e+01,1.070088516255664501e+01,1.071519144927808931e+01,1.072506424999998842e+01,1.073637610649378971e+01,1.074196252994389056e+01,1.075502551222597170e+01,1.075673371982230719e+01,1.075621235598517345e+01,1.075971272167785031e+01,1.075546540342237734e+01,1.074821563606080588e+01,1.073985501994765990e+01,1.072506424999998842e+01,1.071006429999998844e+01,1.068269416904137259e+01,1.065441166373235049e+01,1.063506454999998141e+01,1.063312285754626707e+01,1.065147975013202952e+01,1.071006429999998844e+01,1.078765915053202562e+01,1.087394314457803368e+01,1.096597863496422320e+01,1.105506315000001294e+01,1.117509047239708408e+01,1.128597353184548524e+01,1.142447560393271289e+01,1.150522123797756180e+01,1.159380784929113517e+01,1.174258371077930541e+01,1.187125024718099375e+01,1.200006000000008299e+01,1.206718915917551449e+01,1.220378966735399118e+01,1.240489065289130188e+01,1.248058785397132375e+01,1.258993667124624061e+01,1.275758779765878259e+01,1.292974279960319528e+01,1.299321777983281301e+01,1.306467569173426035e+01,1.317400825823417954e+01,1.328741417215395160e+01,1.340576474083694514e+01,1.357469374780122706e+01,1.366543162313261028e+01,1.381976192821813143e+01,1.395617208202523329e+01,1.414191279546606950e+01,1.417978035044266427e+01,1.431674961251527556e+01,1.439186211630078027e+01,1.453283391173831518e+01,1.465021131241410224e+01
5.999999999999999778e-02,9.549025993495785514e+00,9.484736433817751333e+00,9.466781857723990612e+00,9.471008089880232461e+00,9.468271462618165657e+00,9.486671875220627825e+00,9.513669824600670566e+00,9.545339707570512644e+00,9.580847405221970092e+00,9.618720468941578616e+00,9.660914461727992730e+00,9.699606937652228922e+00,9.754618778860121964e+00,9.805685448705503404e+00,9.853227867000903473e+00,9.897351452438821084e+00,9.939543331772153323e+00,9.982643172378883989e+00,1.002873433464959163e+01,1.007279118628921033e+01,1.011271310786597333e+01,1.015710524670776671e+01,1.019688518781633668e+01,1.023484760440167562e+01,1.027707030804788779e+01,1.031473717551393143e+01,1.035150921126986923e+01,1.038706905353882171e+01,1.041486121755130867e+01,1.044411314623602394e+01,1.047006509999997093e+01,1.049879543647578473e+01,1.052962667426948151e+01,1.055874879449553028e+01,1.058318625909246258e+01,1.061210546420177714e+01,1.063528001896917097e+01,1.066294507613195996e+01,1.068927607303580452e+01,1.071060195381637037e+01,1.072929146314407944e+01,1.074853578327654624e+01,1.077006409999999192e+01,1.078817760392087344e+01,1.080431646800821177e+01,1.081956492763663746e+01,1.083686232625796464e+01,1.085104248782164227e+01,1.086006379999999893e+01,1.086965014808332342e+01,1.087873173873622967e+01,1.088288731905876361e+01,1.088879245962491993e+01,1.089006370000000068e+01,1.089006370000000068e+01,1.089006370000000068e+01,1.088179454357509179e+01,1.087470075165839845e+01,1.086006379999999893e+01,1.083741941908284190e+01,1.081083556243940080e+01,1.077948452856867867e+01,1.075363063840573119e+01,1.074006419999999018e+01,1.075965902991540446e+01,1.083006389999999719e+01,1.090306804567940802e+01,1.096506345000000593e+01,1.106472068649878970e+01,1.117854720525956402e+01,1.127037681751489195e+01,1.140504978190783802e+01,1.150549052921617310e+01,1.160035477319592800e+01,1.170948806321633207e+01,1.183749835957189767e+01,1.195659361212025118e+01,1.209866800908874218e+01,1.217204276189049139e+01,1.231376861078060436e+01,1.249071029734188976e+01,1.257946183344621893e+01,1.270389608891604638e+01,1.286917394967769290e+01,1.302038420034398314e+01,1.308908369951106110e+01,1.317004593828970549e+01,1.328889563599658707e+01,1.339213382092958504e+01,1.352709981426042951e+01,1.365862618054876343e+01,1.377177764069383059e+01,1.392594727974824487e+01,1.409053318748119743e+01,1.420898429175947442e+01,1.427920552668046916e+01,1.441123287810741260e+01,1.447936045110654213e+01,1.464958214306495599e+01,1.470561115591225132e+01
7.000000000000000666e-02,9.782921290943161097e+00,9.725209030250900000e+00,9.690590714638863901e+00,9.680288756352259938e+00,9.682449876761369367e+00,9.695956308859216222e+00,9.714054640688912556e+00,9.750087533801970352e+00,9.773186751176737630e+00,9.805680934982651920e+00,9.846702379320444010e+00,9.885198386787205749e+00,9.925246046105989706e+00,9.968628797718121604e+00,1.000719376199016608e+01,1.005019778996129887e+01,1.009158876190138976e+01,1.013413701976137204e+01,1.017769025522126114e+01,1.021905015098406544e+01,1.025644032301520880e+01,1.029725612979902749e+01,1.033957470465266582e+01,1.037672866506735936e+01,1.041889500611980957e+01,1.045492921552092014e+01,1.049150051415853291e+01,1.052649947848399492e+01,1.056006479999997616e+01,1.058916249357371164e+01,1.061888379577122521e+01,1.065014690140783493e+01,1.067763523810284987e+01,1.070079832719672375e+01,1.072506424999998842e+01,1.075194788588521000e+01,1.077534758150546423e+01,1.079415480494230728e+01,1.081506394999999543e+01,1.083442737942262468e+01,1.085921621155745598e+01,1.087606788934166779e+01,1.089546960044603985e+01,1.090982439998985321e+01,1.092887049332179750e+01,1.094783882738172487e+01,1.096007291260890959e+01,1.097312938688699546e+01,1.098447672621452043e+01,1.099506335000000945e+01,1.100222434026568763e+01,1.101006330000000943e+01,1.101312308263640283e+01,1.101624629953260737e+01,1.101006330000000943e+01,1.101006330000000943e+01,1.099513771866284273e+01,1.098661387808597034e+01,1.096969201291733853e+01,1.095006350000000594e+01,1.092084203515960716e+01,1.089006370000000068e+01,1.086006379999999893e+01,1.084885271537271301e+01,1.087127335866682465e+01,1.093574791187207929e+01,1.100072331100235346e+01,1.105118584191624898e+01,1.115826755377177371e+01,1.126941055702214278e+01,1.137484219652918860e+01,1.149014567679095400e+01,1.159668695639236269e+01,1.169468576622702294e+01,1.179756911415156395e+01,1.192506025000007774e+01,1.204312154342417429e+01,1.218424689759399016e+01,1.226398018897010367e+01,1.242569111692995598e+01,1.257381119482475107e+01,1.267866389560642837e+01,1.281067237737947373e+01,1.298266476016505955e+01,1.310094356669350724e+01,1.317002889570168733e+01,1.323089235180406220e+01,1.338735505453504793e+01,1.346641963368472439e+01,1.362114048779176656e+01,1.375302267413755786e+01,1.385639646392068691e+01,1.404282522998805582e+01,1.416480751512280278e+01,1.430230198821340615e+01,1.436517296326781157e+01,1.447257243208954236e+01,1.457351154674129567e+01,1.471562545654089327e+01,1.476379389400113240e+01
8.000000000000000167e-02,1.001083876593002309e+01,9.939508799338684142e+00,9.898507037759154414e+00,9.881863960574063910e+00,9.869569045120114126e+00,9.883796685555603645e+00,9.892117488474948317e+00,9.909500632369134365e+00,9.942831418856052039e+00,9.972494041299299283e+00,1.000506664999997319e+01,1.003309506100488413e+01,1.007245067299881747e+01,1.011419894802777009e+01,1.015801315938343485e+01,1.019957537452039098e+01,1.023882144006409867e+01,1.027757799055528665e+01,1.031521035001384767e+01,1.035035496351600059e+01,1.039174181924450480e+01,1.043245918813735607e+01,1.047014358982307414e+01,1.050512784160081203e+01,1.054339064664728909e+01,1.057863418268882327e+01,1.061455955149772912e+01,1.064980489226918081e+01,1.068055760831927081e+01,1.071006429999998844e+01,1.074055097259803304e+01,1.077042738809507938e+01,1.079871884079051547e+01,1.082661562134561528e+01,1.085092557005877723e+01,1.087839079702780154e+01,1.090336857665538517e+01,1.092376850216781747e+01,1.094670052088424761e+01,1.096663639201924489e+01,1.098668623167693958e+01,1.100396740208977597e+01,1.102280408005326606e+01,1.103993481058124004e+01,1.105506315000001294e+01,1.107006310000001470e+01,1.108219673563808172e+01,1.109050785174449594e+01,1.110006300000001644e+01,1.110740993169196322e+01,1.111186644353584718e+01,1.111506295000001820e+01,1.111506295000001820e+01,1.111515493199180149e+01,1.111506295000001820e+01,1.110965769734009534e+01,1.109936307583945947e+01,1.108813778677630602e+01,1.107330608837481378e+01,1.105506315000001294e+01,1.102839097226333109e+01,1.099506335000000945e+01,1.096669472937329104e+01,1.096019543473858171e+01,1.098006340000000769e+01,1.102840873173768799e+01,1.108579278092372356e+01,1.114816400425466725e+01,1.125834966002238424e+01,1.136649199601744797e+01,1.147506175000004447e+01,1.156650615023338524e+01,1.168321807279945190e+01,1.178710186602674703e+01,1.189506035000007600e+01,1.199892554050996729e+01,1.213340921815295026e+01,1.227901293715264153e+01,1.236648318765000276e+01,1.251339461591308222e+01,1.265968824180837871e+01,1.277499544772479290e+01,1.288738209640398225e+01,1.304276730643977089e+01,1.317658564995640802e+01,1.324259139363458537e+01,1.332384317733993839e+01,1.346374689384554024e+01,1.355347909854502575e+01,1.368934072849073402e+01,1.386005380000022313e+01,1.393568076785802390e+01,1.413602108234550947e+01,1.425005250000025114e+01,1.437014643065901787e+01,1.444958573867502594e+01,1.455262941722254411e+01,1.465516309621484758e+01,1.478162632211776462e+01,1.485805267667077345e+01
8.999999999999999667e-02,1.023530418142575371e+01,1.014393408105947536e+01,1.009942527087771502e+01,1.006076001097621564e+01,1.005008903520330854e+01,1.005059737282845944e+01,1.005565424150784715e+01,1.007118470626966023e+01,1.010364889512836228e+01,1.012795975771590840e+01,1.016047107962522844e+01,1.019513644326469226e+01,1.022605481554554352e+01,1.026710203646241837e+01,1.030066620922558940e+01,1.032962672282353545e+01,1.036597967573121970e+01,1.040368069266578033e+01,1.044573103434948180e+01,1.048506504999997091e+01,1.052102897267800863e+01,1.055570267379387062e+01,1.058768983662122132e+01,1.062328302890029619e+01,1.065629451438023523e+01,1.069329608765155193e+01,1.073049750882777786e+01,1.076133198165369897e+01,1.078910610829260541e+01,1.081996162957939767e+01,1.084765109938257588e+01,1.087728487236313413e+01,1.090397766801989832e+01,1.092985948366917803e+01,1.095419786641759785e+01,1.098351374969189997e+01,1.100841438209966583e+01,1.103111726425978567e+01,1.105290143813535231e+01,1.107006310000001470e+01,1.109418627101654664e+01,1.111444118846731577e+01,1.112749796484147069e+01,1.114506285000001995e+01,1.115916731933383765e+01,1.117037595915713766e+01,1.118207063098886600e+01,1.119006270000002345e+01,1.120173838586490156e+01,1.120921769864951756e+01,1.121331856125973481e+01,1.121623700748731878e+01,1.121692200462083555e+01,1.121515160903174824e+01,1.121414646164810591e+01,1.120712138839434147e+01,1.120028516828589638e+01,1.119006270000002345e+01,1.116986156606442826e+01,1.114548519133312610e+01,1.111693603062718694e+01,1.108549063925523015e+01,1.105903749113369017e+01,1.105266779350292872e+01,1.107248496769778612e+01,1.111410223234098815e+01,1.117138560458437446e+01,1.123468989713503241e+01,1.134036914210036961e+01,1.144514749532063469e+01,1.155086903521918629e+01,1.163756207565185186e+01,1.176123524218911598e+01,1.186954478129442414e+01,1.197551925526976468e+01,1.207903365340354540e+01,1.222113619123508244e+01,1.236005880000011103e+01,1.246112605843542909e+01,1.259303711780488300e+01,1.274270560279365050e+01,1.285440091436792365e+01,1.298012718702245927e+01,1.311856852023702302e+01,1.324516730129704456e+01,1.330506068559531485e+01,1.341198807736913423e+01,1.354846586135243314e+01,1.363142760973790679e+01,1.377580042362610691e+01,1.392076481395110932e+01,1.403567426320141287e+01,1.420252818830606678e+01,1.432568401030091465e+01,1.446363729954784816e+01,1.452487075422440554e+01,1.462052556722609609e+01,1.474445541595297549e+01,1.485339009302784952e+01,1.489505035000030020e+01
