quantile,R(M=0.2),R(M=0.2292929292929293),R(M=0.2585858585858586),R(M=0.2878787878787879),R(M=0.31717171717171716),R(M=0.3464646464646465),R(M=0.37575757575757573),R(M=0.40505050505050505),R(M=0.43434343434343436),R(M=0.4636363636363636),R(M=0.49292929292929294),R(M=0.5222222222222221),R(M=0.5515151515151515),R(M=0.5808080808080808),R(M=0.61010101010101),R(M=0.6393939393939394),R(M=0.6686868686868687),R(M=0.6979797979797979),R(M=0.7272727272727273),R(M=0.7565656565656564),R(M=0.7858585858585858),R(M=0.8151515151515152),R(M=0.8444444444444443),R(M=0.8737373737373737),R(M=0.9030303030303031),R(M=0.9323232323232322),R(M=0.9616161616161616),R(M=0.990909090909091),R(M=1.02020202020202),R(M=1.0494949494949495),R(M=1.0787878787878786),R(M=1.108080808080808),R(M=1.1373737373737374),R(M=1.1666666666666665),R(M=1.195959595959596),R(M=1.225252525252525),R(M=1.2545454545454544),R(M=1.2838383838383838),R(M=1.313131313131313),R(M=1.3424242424242423),R(M=1.3717171717171717),R(M=1.4010101010101008),R(M=1.4303030303030302),R(M=1.4595959595959596),R(M=1.4888888888888887),R(M=1.518181818181818),R(M=1.5474747474747472),R(M=1.5767676767676766),R(M=1.606060606060606),R(M=1.6353535353535351),R(M=1.6646464646464645),R(M=1.6939393939393939),R(M=1.723232323232323),R(M=1.7525252525252524),R(M=1.7818181818181817),R(M=1.811111111111111),R(M=1.8404040404040403),R(M=1.8696969696969696),R(M=1.8989898989898988),R(M=1.9282828282828282),R(M=1.9575757575757573),R(M=1.9868686868686867),R(M=2.0161616161616163),R(M=2.0454545454545454),R(M=2.0747474747474746),R(M=2.104040404040404),R(M=2.1333333333333333),R(M=2.1626262626262625),R(M=2.191919191919192),R(M=2.221212121212121),R(M=2.2505050505050503),R(M=2.27979797979798),R(M=2.309090909090909),R(M=2.3383838383838382),R(M=2.367676767676768),R(M=2.396969696969697),R(M=2.426262626262626),R(M=2.4555555555555557),R(M=2.484848484848485),R(M=2.514141414141414),R(M=2.5434343434343436),R(M=2.5727272727272728),R(M=2.602020202020202),R(M=2.6313131313131315),R(M=2.6606060606060606),R(M=2.68989898989899),R(M=2.7191919191919194),R(M=2.7484848484848485),R(M=2.7777777777777777),R(M=2.8070707070707073),R(M=2.8363636363636364),R(M=2.8656565656565656),R(M=2.8949494949494947),R(M=2.9242424242424243),R(M=2.9535353535353535),R(M=2.9828282828282826),R(M=3.012121212121212),R(M=3.0414141414141413),R(M=3.0707070707070705),R(M=3.1)
0.000000000000000000e+00,5.533777883460710534e+00,5.615400657020316544e+00,5.709568661139385881e+00,5.803736665258456107e+00,5.897998341185338056e+00,5.992306751366144546e+00,6.086615161546951924e+00,6.178364772901706381e+00,6.269491435043116567e+00,6.360538761619791259e+00,6.438259855531482501e+00,6.515980949443173742e+00,6.594734642634010768e+00,6.675852914753504841e+00,6.756971186872998913e+00,6.827793128549791035e+00,6.894290290502567586e+00,6.958873597782347709e+00,7.023281702889624611e+00,7.084517638989922261e+00,7.145753575090220799e+00,7.203810630974305518e+00,7.261296825171433156e+00,7.315511548746644443e+00,7.368694925627600867e+00,7.424317071988205008e+00,7.480603151996899847e+00,7.532103206146990360e+00,7.582036935050509463e+00,7.627335772126652813e+00,7.673757251893082554e+00,7.721525638578783379e+00,7.762541795325196503e+00,7.804074799663244910e+00,7.847047152877564713e+00,7.892434823104417241e+00,7.931081071125822390e+00,7.968117301461366431e+00,8.000980735056527848e+00,8.033349413773620995e+00,8.074918973881981543e+00,8.105015578718122171e+00,8.130079380187465787e+00,8.156234095648805749e+00,8.191148364614193156e+00,8.212655229384383304e+00,8.235702504468672913e+00,8.260851453900293961e+00,8.273258909874597222e+00,8.295072349999978556e+00,8.310072299999978540e+00,8.314501507296382599e+00,8.325072249999978524e+00,8.325072249999978524e+00,8.317644089395537677e+00,8.302563733018619274e+00,8.265072449999978588e+00,8.200326510642319988e+00,8.130072899999978731e+00,8.370072099999976700e+00,8.482622013685061191e+00,8.592547206881802069e+00,8.745070849999976303e+00,8.879997697183409144e+00,9.066946608900765980e+00,9.094829998078054700e+00,9.189183273857485901e+00,9.330635995598996146e+00,9.510068299999973718e+00,9.555635290937763315e+00,9.870067099999973337e+00,9.711737317754003840e+00,1.000506664999997319e+01,1.006571674133660288e+01,1.012815975657879441e+01,1.038006539999997102e+01,1.060585821556377084e+01,1.065236242474667705e+01,1.079516171101832356e+01,1.082819093209939432e+01,1.117859000944121739e+01,1.113389064068598167e+01,1.136317665903050589e+01,1.143210169734322079e+01,1.147964103034762040e+01,1.162781076359065757e+01,1.187144013131093168e+01,1.181890828627255452e+01,1.205772290668509505e+01,1.229615710397638573e+01,1.223296646236290286e+01,1.237899781979866631e+01,1.249706453842853726e+01,1.269094335205721968e+01,1.282222769729930789e+01,1.288944354072107501e+01,1.309232767085869398e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
1.000000000000000021e-02,7.045400943676296990e+00,7.024778324992301926e+00,7.093443444114738483e+00,7.156638554559174636e+00,7.215783467614473423e+00,7.292052380107985954e+00,7.369835218502870156e+00,7.446471286650838017e+00,7.517213018847149542e+00,7.605069019822699339e+00,7.678388437775665487e+00,7.762633385848252132e+00,7.838047948625770367e+00,7.906235949373379590e+00,7.968129106226374603e+00,8.037248710913120320e+00,8.095349798772351946e+00,8.163619150177794381e+00,8.229905083219186679e+00,8.290133820785637653e+00,8.339773341984230370e+00,8.389795600960232136e+00,8.449551966830496141e+00,8.498760159061772512e+00,8.555518434212048717e+00,8.607024257491490360e+00,8.657892650728420847e+00,8.703884833065043125e+00,8.749516275292876344e+00,8.796570916265396889e+00,8.842042237897024037e+00,8.886346618866259206e+00,8.934072478178041621e+00,8.979185136926400190e+00,9.019124850018179984e+00,9.061998715642111790e+00,9.101730369679295052e+00,9.137061296396083776e+00,9.174735071250200491e+00,9.207074073901711841e+00,9.237540369384467098e+00,9.266891669508154905e+00,9.300426917231886748e+00,9.331676492239097342e+00,9.365072074253156131e+00,9.393728188315042971e+00,9.418450465064340804e+00,9.440583809429085704e+00,9.466554423000681950e+00,9.485124055805629339e+00,9.510068299999973718e+00,9.525068249999973702e+00,9.542588970678165694e+00,9.559150857335382057e+00,9.570068099999973654e+00,9.571640698812228010e+00,9.585068049999973638e+00,9.585068049999973638e+00,9.570353738904795904e+00,9.563499607568859417e+00,9.540068199999973686e+00,9.510068299999973718e+00,9.491048723194886350e+00,9.475873417743420291e+00,9.523409051915319168e+00,9.587025823907872280e+00,9.681839059186723162e+00,9.735754323566972346e+00,9.829794492100326408e+00,9.976318293378502844e+00,1.009737729438887222e+01,1.012429298202003025e+01,1.011504060311206743e+01,1.028910100983489961e+01,1.045012833507095884e+01,1.062584248991934999e+01,1.061701710914206664e+01,1.093974893099669465e+01,1.083291997181780708e+01,1.089197940234855544e+01,1.118427126999103827e+01,1.119984912461444893e+01,1.143198534871247318e+01,1.163169669643878912e+01,1.160315354628808393e+01,1.181496237120346215e+01,1.203198797060308678e+01,1.189480907460494663e+01,1.211271734118373899e+01,1.233032030337714602e+01,1.229738993152451876e+01,1.237899781979866631e+01,1.249706453842853726e+01,1.269094335205721968e+01,1.282222769729930789e+01,1.288944354072107501e+01,1.309232767085869398e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
2.000000000000000042e-02,7.327509799560365522e+00,7.316943389682735166e+00,7.342725756988726538e+00,7.404753470870385712e+00,7.458506734445160546e+00,7.537384715358094844e+00,7.594634747211270742e+00,7.657376670655383855e+00,7.731602913801155275e+00,7.805440705767763276e+00,7.864257146958326672e+00,7.929464155010308879e+00,7.999167661272291063e+00,8.069049408154603142e+00,8.139609492122325207e+00,8.200612030467095082e+00,8.268137235281480812e+00,8.332411715505811500e+00,8.390728763599213380e+00,8.448652375095578648e+00,8.508137543554216364e+00,8.564690622167832501e+00,8.624723002936910632e+00,8.672939863495237489e+00,8.724740447493527284e+00,8.778919741907564855e+00,8.834447732383848617e+00,8.881383506121208526e+00,8.925353730551167430e+00,8.975621527533625965e+00,9.021268863408041128e+00,9.065973191049662816e+00,9.105460470545324370e+00,9.144773401904688015e+00,9.180368824377076464e+00,9.221946691910014593e+00,9.260754410132088665e+00,9.297360908433891069e+00,9.334422762402184048e+00,9.365429756988577381e+00,9.402433061053562469e+00,9.435076392341576579e+00,9.467972056099956291e+00,9.494547642215408700e+00,9.522875909185687604e+00,9.547321500967063557e+00,9.571529643192583592e+00,9.594989332800910375e+00,9.622970915559911020e+00,9.645067849999973575e+00,9.660067799999973559e+00,9.676674026867994272e+00,9.695622742699265828e+00,9.709818902647317174e+00,9.715408304411806029e+00,9.720067599999973496e+00,9.723654675195204433e+00,9.726504327857112386e+00,9.720067599999973496e+00,9.704155153991866456e+00,9.671311139297076309e+00,9.642381088685398893e+00,9.616562133962927916e+00,9.603238049341268123e+00,9.674642436488300135e+00,9.707086827485326808e+00,9.802666828906335894e+00,9.851154593644121604e+00,9.993042197070518995e+00,1.009091717272870881e+01,1.018106750615820566e+01,1.023117633682687710e+01,1.029485376029738042e+01,1.039177931254743292e+01,1.054666631877602256e+01,1.071105700454452148e+01,1.067622171522260821e+01,1.098040662229283804e+01,1.096468037105095661e+01,1.106571617139730179e+01,1.126363186050923382e+01,1.137405770123985427e+01,1.155494812911173419e+01,1.171514300378884776e+01,1.180677237182110417e+01,1.191538336224072125e+01,1.206938085925511928e+01,1.213482084800476102e+01,1.228932779805263209e+01,1.235097100054268360e+01,1.246944030053748520e+01,1.240104534671153758e+01,1.250343748152130452e+01,1.269157426470541061e+01,1.282325071651071902e+01,1.288944354072107501e+01,1.309232767085869398e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
2.999999999999999889e-02,7.551601300901256586e+00,7.531430026490444796e+00,7.541418800194942484e+00,7.581805100938282749e+00,7.630610560545899368e+00,7.689975639361854576e+00,7.757885980912058166e+00,7.829268958414171919e+00,7.889364886832488821e+00,7.949887061583789993e+00,8.014175799765109076e+00,8.071511516393723440e+00,8.136711115247621251e+00,8.203925231516436156e+00,8.272078052410021698e+00,8.334570845389874805e+00,8.395406332361055490e+00,8.454901839690039722e+00,8.512794071725227951e+00,8.570290236261607575e+00,8.625243696120175940e+00,8.675604745030915055e+00,8.727784627407816131e+00,8.776866548877812590e+00,8.829571091273288985e+00,8.879548621504996575e+00,8.929049248814694195e+00,8.977829108080024767e+00,9.025175215373479887e+00,9.074843526633721069e+00,9.123723047587885659e+00,9.173411867586725776e+00,9.212360435307331841e+00,9.255095103532923417e+00,9.297080912213719017e+00,9.332785828641950943e+00,9.370518087371397797e+00,9.411750245664254777e+00,9.450068534672173115e+00,9.488083323003001723e+00,9.522841576296853461e+00,9.555768385654355157e+00,9.583261890250112103e+00,9.614350669331191312e+00,9.646843198609658998e+00,9.669346392536333212e+00,9.693061168985460441e+00,9.722009794916496972e+00,9.741554285072723474e+00,9.761077015537603430e+00,9.780067399999973432e+00,9.795067349999973416e+00,9.807853437644379113e+00,9.816602331214632216e+00,9.825067249999973384e+00,9.826752981786695429e+00,9.825067249999973384e+00,9.825067249999973384e+00,9.819049758710098885e+00,9.798976377015808481e+00,9.768904681803947554e+00,9.735067549999973480e+00,9.705067649999973511e+00,9.713918919597734458e+00,9.754295610692247820e+00,9.784302912743557457e+00,9.879456802669114523e+00,9.918382244077564636e+00,1.006538120203224196e+01,1.016364349981403237e+01,1.023322572622925364e+01,1.026260845348783413e+01,1.035552264265290034e+01,1.045433792233025727e+01,1.058486494260112920e+01,1.077538670574108437e+01,1.076668744922522691e+01,1.100984443587265638e+01,1.101247361579756756e+01,1.114460116080720198e+01,1.128012704119437082e+01,1.141126127336432816e+01,1.160735510966597950e+01,1.177883921192930394e+01,1.189093441654266137e+01,1.198488763845058180e+01,1.215736992828981933e+01,1.221743358873853325e+01,1.236478153238735622e+01,1.236235278062569520e+01,1.254379328698964002e+01,1.244313198019339062e+01,1.251402524533729377e+01,1.273963324777732353e+01,1.282912484033460387e+01,1.288944354072107501e+01,1.310287345880764143e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
4.000000000000000083e-02,7.727307866931189650e+00,7.703042953423295813e+00,7.704714229410490667e+00,7.742665365261207633e+00,7.778359064035361925e+00,7.825923171739493256e+00,7.885869497623430036e+00,7.945870739110306502e+00,8.005773713517001511e+00,8.068398342768755782e+00,8.131028531340666277e+00,8.193202329326373601e+00,8.252825306989411303e+00,8.316707973804598808e+00,8.378700062779396163e+00,8.441644919418354931e+00,8.501397669526339129e+00,8.560646159808021238e+00,8.618530494016525267e+00,8.673033383037669353e+00,8.729555170111185092e+00,8.783366121309233776e+00,8.835907750000215444e+00,8.883383402776130922e+00,8.935145362138028347e+00,8.978516401110823608e+00,9.026707869740505430e+00,9.081012344227243460e+00,9.125763389726060382e+00,9.171167361569660059e+00,9.214335206419512758e+00,9.257419184747664787e+00,9.296643880685934391e+00,9.337204710776374483e+00,9.379082703689251233e+00,9.418725067517598859e+00,9.455349024947510728e+00,9.490147600652031556e+00,9.526783211395020601e+00,9.567043491318012016e+00,9.601403312180504912e+00,9.631976417364242593e+00,9.666723690968021643e+00,9.691680481827333438e+00,9.717178747594894972e+00,9.745062285293675686e+00,9.773712403144852345e+00,9.793141373258000826e+00,9.813908755192663591e+00,9.833796513879834222e+00,9.850838746775119503e+00,9.868245584662757253e+00,9.881019575730197957e+00,9.886176453054730473e+00,9.900030093027782030e+00,9.900066999999973305e+00,9.900066999999973305e+00,9.900066999999973305e+00,9.885067049999973321e+00,9.870067099999973337e+00,9.849960003336198255e+00,9.810067299999973400e+00,9.780067399999973432e+00,9.787450756453475620e+00,9.821455998173311386e+00,9.861710087555824344e+00,9.947713457532643133e+00,9.983503717127737431e+00,1.013914961766943179e+01,1.022474650930563556e+01,1.027506574999997113e+01,1.032646692736351746e+01,1.044987111798888080e+01,1.052866054476507074e+01,1.065494865146434833e+01,1.079337028005242871e+01,1.083189332127895632e+01,1.105877855567586643e+01,1.103794292719373438e+01,1.121780548695517332e+01,1.132842210664387217e+01,1.149396306546914381e+01,1.169564864088049205e+01,1.183965088210334571e+01,1.197861862707102532e+01,1.205548357826507733e+01,1.218786132396819255e+01,1.226367241776778982e+01,1.239307074225674121e+01,1.239671692174312945e+01,1.261288468348098846e+01,1.248838233456259061e+01,1.254050330971457505e+01,1.278756711139171109e+01,1.283499896415849051e+01,1.293017276423822182e+01,1.313229147496202387e+01,1.338603993096897682e+01,1.335239425811317915e+01,1.346241145836988018e+01
5.000000000000000278e-02,7.883153513132060475e+00,7.825755850660113921e+00,7.812547374423711943e+00,7.833319257711115924e+00,7.875349767376862431e+00,7.924025549493864951e+00,7.982227506594059108e+00,8.035892434537252882e+00,8.094285901835014840e+00,8.152389554154177986e+00,8.214108952168221123e+00,8.280757882740347853e+00,8.340949405324652233e+00,8.406416938554855278e+00,8.471630506989866305e+00,8.529701685169580827e+00,8.586643094476805516e+00,8.645133737420652054e+00,8.698636605594034066e+00,8.758646046367035254e+00,8.813528179619801506e+00,8.866863467352141370e+00,8.918932561185357599e+00,8.966291325421526182e+00,9.018973562890522544e+00,9.068726987477781165e+00,9.120310295859933802e+00,9.167854976365809705e+00,9.208190206288380253e+00,9.253552562861850461e+00,9.294203644701664047e+00,9.332221865650138781e+00,9.377201086541196773e+00,9.421544205904014646e+00,9.457028453291487224e+00,9.490124381104317663e+00,9.531625357529604159e+00,9.562339224434879270e+00,9.597922344679808759e+00,9.631367225601705329e+00,9.666440508401366927e+00,9.701030852023663442e+00,9.725825685033903767e+00,9.749541025744109746e+00,9.778361225645765487e+00,9.798677725305251940e+00,9.822993348376755307e+00,9.849131406932967181e+00,9.869844660492788080e+00,9.884596217745013291e+00,9.903534224403804487e+00,9.920963584417989978e+00,9.937288995713071671e+00,9.945066849999973257e+00,9.955867063263664107e+00,9.960066799999973242e+00,9.960066799999973242e+00,9.954515390173895639e+00,9.945066849999973257e+00,9.930066899999973273e+00,9.909158426479145021e+00,9.873809778964023565e+00,9.854634943585292461e+00,9.847937099350549062e+00,9.870067099999973337e+00,9.934087015904459861e+00,9.996029920353658227e+00,1.005553573701110714e+01,1.020006599999997121e+01,1.026687774276265941e+01,1.031343726149244766e+01,1.036131134458954861e+01,1.048526539266712376e+01,1.055498383364339254e+01,1.071587829713157269e+01,1.081408465714782352e+01,1.089280012933947006e+01,1.108365912976335288e+01,1.111241535211473419e+01,1.127281697330123045e+01,1.142832775726639305e+01,1.153238320073591616e+01,1.175088254491965856e+01,1.186469179822877607e+01,1.204288997903930891e+01,1.211965860000707096e+01,1.223368523567012645e+01,1.233780052961608220e+01,1.241911120631592880e+01,1.242245470208882985e+01,1.264351367656317215e+01,1.250640005162702018e+01,1.256750470438124445e+01,1.280302190724394329e+01,1.284087308798237537e+01,1.297623314663091953e+01,1.316170949111640454e+01,1.338647494470841615e+01,1.335239425811317915e+01,1.346241145836988018e+01
5.999999999999999778e-02,8.019696175369466218e+00,7.938688228719139595e+00,7.922418691519076184e+00,7.939577620680891457e+00,7.968500731621783295e+00,8.015537674293605974e+00,8.064273592160763116e+00,8.119721508599633708e+00,8.182276111078065739e+00,8.237288803824078798e+00,8.302307801171162183e+00,8.363025223698498323e+00,8.420761618818978889e+00,8.483230447591251888e+00,8.549321280610392648e+00,8.610252510067368803e+00,8.662046316045767469e+00,8.717421086954699305e+00,8.776138078569495349e+00,8.831992719749575116e+00,8.886193280769385083e+00,8.938697807243123350e+00,8.990555376900328355e+00,9.042580627866250609e+00,9.095170085436224738e+00,9.144068488357051550e+00,9.194744197874149094e+00,9.240064716733591865e+00,9.285705164948916845e+00,9.326870059261484158e+00,9.369839184571203461e+00,9.417041153561640954e+00,9.458953059129749263e+00,9.492929402041307085e+00,9.529050149110844359e+00,9.564881605809837595e+00,9.597452596128995594e+00,9.634219084869146243e+00,9.664039305369090727e+00,9.698349657179083039e+00,9.724397204336998612e+00,9.753267132309245468e+00,9.780067399999973432e+00,9.805648641766984142e+00,9.835631459003442600e+00,9.860244526749541549e+00,9.882971874226216258e+00,9.904811944291278536e+00,9.927722050261804654e+00,9.945066849999973257e+00,9.960066799999973242e+00,9.975066749999973226e+00,9.985759206211183070e+00,9.992565620675391003e+00,1.000340046157681861e+01,1.000506664999997319e+01,1.000323239399847708e+01,9.997899454255001928e+00,9.990066699999973210e+00,9.975425381745427700e+00,9.960066799999973242e+00,9.930066899999973273e+00,9.894904858173990903e+00,9.891186969940815032e+00,9.927908911076507081e+00,9.975053730725164769e+00,1.004524206397511321e+01,1.010361834489955335e+01,1.023577954622921737e+01,1.029596830263427698e+01,1.036063815399479893e+01,1.040726582728233751e+01,1.052714065660996567e+01,1.063528888570765041e+01,1.078178571113243933e+01,1.083622443294434312e+01,1.096012061180303299e+01,1.110812415912604223e+01,1.116456606348696390e+01,1.132009071897492092e+01,1.149236065183379019e+01,1.161454192896339954e+01,1.178877963301325948e+01,1.189610576864015812e+01,1.206066141776721246e+01,1.215632428846674173e+01,1.225186404227671133e+01,1.241806386275374230e+01,1.242852005649416114e+01,1.244852033638044375e+01,1.265301310915525690e+01,1.255981925336231697e+01,1.262024000469269325e+01,1.282133633633030101e+01,1.284674721180626200e+01,1.302229352902361903e+01,1.319112750727078698e+01,1.339216128455309018e+01,1.335239425811317915e+01,1.356896606820788165e+01
7.000000000000000666e-02,8.135679433543899108e+00,8.056582671692613218e+00,8.032272977406961445e+00,8.037971958285131890e+00,8.071038621585936212e+00,8.105846178012367176e+00,8.155056161906991008e+00,8.215105226461096422e+00,8.266402701048866319e+00,8.329610641941190607e+00,8.388480061405635624e+00,8.454567857254241758e+00,8.508721691260843656e+00,8.568219386654764236e+00,8.628267498604664354e+00,8.691517490815224178e+00,8.751944092477582871e+00,8.807284471682041982e+00,8.857522391651990290e+00,8.914673412074231251e+00,8.963817322776154839e+00,9.013910325885525765e+00,9.067025780592119943e+00,9.117983839543532198e+00,9.162659103930190341e+00,9.203712932168409466e+00,9.245787931703500107e+00,9.294253084041422142e+00,9.342782059670044603e+00,9.385767190258263781e+00,9.427423432872299003e+00,9.471548123354256887e+00,9.512386943387983962e+00,9.547292917269247781e+00,9.583428685260106050e+00,9.618701821432358301e+00,9.656028723558861770e+00,9.683861119853471422e+00,9.718711057389320729e+00,9.750077471005809571e+00,9.782299613551435513e+00,9.810083816146876856e+00,9.839480040186964871e+00,9.865127250561338101e+00,9.885067049999973321e+00,9.907662207290156786e+00,9.927935091663677269e+00,9.953173291215172469e+00,9.977187883902487897e+00,9.995059652681169027e+00,1.000506664999997319e+01,1.002120401021045737e+01,1.003506654999997316e+01,1.004410134962094148e+01,1.005006649999997315e+01,1.005006649999997315e+01,1.005006649999997315e+01,1.005006649999997315e+01,1.004062717074073241e+01,1.002506193687068858e+01,1.000505455292518064e+01,9.975066749999973226e+00,9.943074875782700772e+00,9.945066849999973257e+00,9.974210370662035530e+00,1.003053456391137566e+01,1.008985274480875916e+01,1.014004247873757869e+01,1.027221788676210146e+01,1.032659503731066053e+01,1.039968548822070105e+01,1.043562808465160074e+01,1.056006479999997616e+01,1.069309284986504771e+01,1.081804939413178168e+01,1.089723561134283969e+01,1.100234015357413853e+01,1.112446834741069068e+01,1.119604814190188513e+01,1.133155859934896803e+01,1.151166719545573969e+01,1.167300693355224617e+01,1.183548968426575954e+01,1.192892789213484939e+01,1.210055799946593780e+01,1.220573388970209194e+01,1.232538929854407783e+01,1.243475766810359673e+01,1.245410001637875297e+01,1.248731313447909130e+01,1.267927674042700836e+01,1.264697374968007892e+01,1.264367030173715811e+01,1.284421407848997987e+01,1.285065034824900287e+01,1.307563535369773078e+01,1.321267461236583607e+01,1.339784762439776422e+01,1.336035686345254980e+01,1.364209129077529781e+01
8.000000000000000167e-02,8.249279545628429133e+00,8.175532979616527030e+00,8.137163269511331620e+00,8.135308114839238769e+00,8.160732866806144514e+00,8.195133238709091827e+00,8.242647822359179699e+00,8.293251635333879435e+00,8.346076012376556719e+00,8.400308467566867776e+00,8.462032795660993756e+00,8.523051686334161658e+00,8.586258944812641403e+00,8.644070850523693395e+00,8.704374786191079849e+00,8.762655766953679759e+00,8.817368366608549834e+00,8.870272414740471234e+00,8.925130440635870244e+00,8.977005422990419703e+00,9.031745385892120837e+00,9.085955267903159438e+00,9.130974057755295803e+00,9.181564193574835997e+00,9.225301985392936999e+00,9.271857553918245287e+00,9.320186695327162596e+00,9.362815167884294354e+00,9.407710243074433265e+00,9.447084664960383904e+00,9.485360599182577346e+00,9.525617070933719788e+00,9.562672849050169788e+00,9.600681305452306802e+00,9.634933445707707378e+00,9.668054528943496706e+00,9.701836688089729321e+00,9.740763664311174352e+00,9.772559471133034137e+00,9.802280023991837510e+00,9.825712095907984889e+00,9.855067149999973353e+00,9.882080851352009532e+00,9.909417709463850699e+00,9.935769568370412586e+00,9.960066799999973242e+00,9.981302740804874674e+00,1.000362000576993360e+01,1.002006659999997318e+01,1.003209679136879551e+01,1.005007523857982221e+01,1.006506644999997313e+01,1.008006639999997134e+01,1.008828216547895273e+01,1.009540655518951091e+01,1.009760850180557590e+01,1.009900531415898506e+01,1.009506634999997132e+01,1.008876538403239920e+01,1.007806609704976530e+01,1.005006649999997315e+01,1.002006659999997318e+01,9.989659854717029219e+00,9.975066749999973226e+00,1.001237194101269523e+01,1.006292854362732214e+01,1.012506624999997129e+01,1.017851440289980225e+01,1.030403449389994819e+01,1.035012769504436747e+01,1.042581265296869120e+01,1.049010792098926892e+01,1.058898843428601744e+01,1.073231084164357796e+01,1.084697237337114473e+01,1.093621755965220643e+01,1.105013242867517498e+01,1.118105822437170183e+01,1.122911093513551251e+01,1.137464780967997768e+01,1.155678572405208904e+01,1.170922554014720696e+01,1.188138963512591317e+01,1.195998811844542153e+01,1.213897897446865670e+01,1.222422353123938166e+01,1.233227613639595610e+01,1.245951502225730323e+01,1.250621855431142571e+01,1.250648960998098502e+01,1.269644069873136516e+01,1.265977541548058838e+01,1.264395537544210768e+01,1.286588445729982233e+01,1.285186635551745127e+01,1.313320009544286648e+01,1.322960077056062111e+01,1.341996597877354525e+01,1.337037372063782747e+01,1.364351305858386709e+01
8.999999999999999667e-02,8.353397389610316637e+00,8.279331136305534855e+00,8.230974746396686470e+00,8.229388561583405703e+00,8.253313826548321686e+00,8.286639482438557636e+00,8.331679566813024351e+00,8.377315659813323379e+00,8.430155242391379034e+00,8.480998954672228862e+00,8.535198984746397599e+00,8.593712923297699646e+00,8.653563880413885911e+00,8.707668200810887882e+00,8.766575132761914801e+00,8.825821511481615644e+00,8.881870844504705431e+00,8.936695282854573819e+00,8.989171960268350858e+00,9.035204330602921274e+00,9.088768628856829679e+00,9.140537303862306118e+00,9.191407828197270646e+00,9.236894021883999883e+00,9.282086602052837421e+00,9.330138164207351537e+00,9.376105503124183116e+00,9.420132480180187784e+00,9.457370491518567235e+00,9.498499764622716057e+00,9.538129832540853670e+00,9.579011749018306432e+00,9.616510638844982140e+00,9.647482270787900660e+00,9.686734374423773275e+00,9.718291246693697261e+00,9.754832520809426200e+00,9.788691137811115439e+00,9.818565818833432601e+00,9.846313685532448901e+00,9.875825663145903377e+00,9.900475364485103569e+00,9.927037916408446350e+00,9.951712023000530039e+00,9.971331021123530647e+00,9.993460213579796303e+00,1.001586770401951654e+01,1.003514395414836891e+01,1.005517484261915939e+01,1.007522629445719886e+01,1.009260308321863775e+01,1.009949084147258347e+01,1.011945372348077044e+01,1.012648254871564824e+01,1.013860523716471107e+01,1.014198596117926421e+01,1.014651269701274572e+01,1.014006619999997127e+01,1.013225907173509732e+01,1.011006629999997131e+01,1.009491909060897541e+01,1.005789815836055823e+01,1.002815781186110655e+01,1.002061405980493447e+01,1.005709291431269570e+01,1.010076880749690886e+01,1.016035516483761469e+01,1.021790519363233685e+01,1.032783093483459247e+01,1.039337305501590691e+01,1.045502309982025935e+01,1.053156530251662915e+01,1.060879562793890152e+01,1.076075825087207072e+01,1.087117488608231497e+01,1.097407647491915839e+01,1.109798543169448592e+01,1.119909045649777113e+01,1.127467826010085794e+01,1.140691688118686997e+01,1.159928680315510086e+01,1.172787508612886853e+01,1.189572071264326780e+01,1.201562727767535144e+01,1.215244944185350739e+01,1.227823511862152728e+01,1.236035588356300430e+01,1.248032831666094467e+01,1.251261018483833176e+01,1.253728670106711007e+01,1.270257338090969945e+01,1.268460259877400631e+01,1.264859751063554505e+01,1.288106165701051964e+01,1.285308236278589966e+01,1.316318767862105865e+01,1.329193614993358707e+01,1.344251603620610425e+01,1.338039057782310337e+01,1.364493482639243815e+01
