,E0,J,K',K0,Ksym,L,Qsym,m*,Max_mass,R(1.4),lambda(1.4)
BSk1,-15.786338935913902,27.815163468302128,384.20822405161255,230.60996609952312,-281.1410353777875,7.380212641796741,605.0663939854729,1.0498484568324709,4.264191844072229e-08,0.0002953580114990473,-8091833812910080.0
BSk10,-15.887585465694169,29.83091011041643,361.38857690676105,233.74340360363675,-191.24231071128438,37.653149372957344,390.2486066204309,0.9211177358252399,1.5045875310897827,9.383608151517004,60.73838408473971
BSk11,-15.839111912579343,29.883719791395272,362.9848897961126,234.58379866613154,-187.37741511629568,38.622475313170916,385.6253556494448,0.9207898184403769,1.5418643951416016,9.64275077493131,75.65015431125939
BSk12,-15.836380374234308,29.88493444684621,362.91728206967207,234.5500696098021,-188.89306312626906,38.28114635431792,387.9778699144238,0.9207892380246123,1.5309927463531494,9.569830067243092,71.13064661881697
BSk13,-15.838853004679871,29.88238848422734,362.9681637226347,234.5755422601814,-185.49044546045997,39.07828159842674,382.09026089379,0.9207889909533288,1.5540354251861572,9.726389742152374,81.07055574285383
BSk14,-15.833213964036505,29.86580442030708,352.65544032154696,235.77028212418548,-150.3182468994641,43.99927847067239,384.06564802811386,0.801715310868261,1.8445754051208496,11.012816655382025,220.54162784836979
BSk15,-16.01651189621347,29.873875429561437,355.7158959645602,237.16331882426465,-191.55467398409982,33.993284668859566,460.0690426594021,0.8020766999813127,1.6596742868423462,9.929622365088148,101.9367993635061
BSk16,-16.033438375500058,29.895217854936597,357.4979242432888,238.07576747173695,-185.21905188903372,35.170161762200216,456.74177529939675,0.801717890649625,1.7040908336639404,10.156866349952564,121.53856953165506
BSk17,-16.034823169788428,29.8906580730802,357.5311091618369,238.09156079765978,-179.75250894187346,36.547439741648425,445.47108200832355,0.8017179412834337,1.7289843559265137,10.310666752006442,135.9047570534084
BSk2,-15.77528426655192,28.00120909052734,377.9850521365105,232.5568833498628,-295.7303036759139,8.283538808104717,555.7832752537091,1.0418446135576231,0.0,0.0,0.0
BSk2p,-15.771702524962485,28.002424110125993,378.7510334758672,232.21808782983325,-296.762550849799,8.097406420651133,556.4795914451604,1.049236925583996,0.0,0.0,0.0
BSk3,-15.785587706728924,27.93839440568073,378.71532614384614,233.70049528773848,-305.5820360228771,7.100591887142447,548.205099132839,1.1227129458055478,0.0,0.0,0.0
BSk4,-15.754258566510952,27.990064484012994,365.119980824832,235.71523409280545,-264.88184786287604,12.779848758025437,556.3452467658055,0.9202942562913141,0.6078318357467651,0.0002953580114990473,1.6849662434607104e+16
BSk5,-15.783255896545775,28.68809003652546,365.80923235131814,236.0599818925981,-239.34016185084823,21.617336609095524,498.1020891066054,0.9202933088972394,1.1214439868927002,7.302066326141357,45.016963958740234
BSk6,-15.730063466478867,27.992530349951227,368.67185584924346,228.06397914850584,-214.49949828162048,17.037610948550366,601.537418990462,0.8006387030954483,1.5536389350891113,8.81699790613992,47.765727659079744
BSk7,-15.741007310193684,27.99132894307731,368.94951587680606,228.18746363696164,-208.69385581636394,18.171117499976607,596.182108794017,0.8006382804725541,1.5908401012420654,9.022010828230558,56.90955399398463
BSk8,-15.804084606393399,27.94889174304188,365.1206177810244,226.21388357798185,-218.07933446776272,15.579986788513628,616.5686508406095,0.8020764009215848,1.5336421728134155,8.649482358247212,42.160697400141366
BSk9,-15.90409698372095,29.84890169368451,367.6146865673922,227.32234856507182,-143.76312135070773,40.00915216691345,469.7669457911601,0.8020764540724127,1.8809255361557007,10.896474671245624,210.6615295814734
E,-16.103400214903033,27.80472053920449,59.42613740968574,324.76160468310167,-557.4383483242423,-28.28810908620736,439.4427446154813,0.8693987001244835,0.0,0.0,0.0
Es,-15.98122722699696,26.85315160209939,330.82019676717334,235.2331368707276,-435.91893836997883,-30.262293148980344,839.9510929538907,0.8441858051045513,0.0,0.0,0.0
Gs,-15.569024904452217,31.265599607095158,346.3787911333172,235.8589558367521,13.890540136655858,93.66655049292594,-26.352655573978524,0.7847970743326627,,,
KDE0v,-16.070432734498098,32.63065345616566,359.76425429049385,220.77634305093028,-142.04432777902625,45.295413763502594,510.95429970550254,0.7221043900554582,1.9252564907073975,11.234810393750667,243.60856309890758
KDE0v1,-16.18547430683455,33.738026579480355,358.3165266444196,212.59248641882172,-122.80211690201301,54.11609329677948,462.7432722145383,0.7534067375367632,1.9520848989486694,11.574944624220654,292.5955012453094
LNS,-15.174798597768506,31.302436414792982,326.6167937568997,181.70563329424203,-112.1377323776304,59.29963895685409,270.6790175921187,0.8406946862864586,1.6955053806304932,10.937341715577766,187.47398827088455
MSk1,-15.812087164809896,29.974963090426357,377.87238024796875,232.6294465510304,-199.25928622024577,34.041860276871965,447.066667986996,1.0,1.4617561101913452,8.92210786472011,41.36210480667137
MSk2,-15.81196992960284,29.975413966738238,384.1089655340389,230.56576040268783,-202.66005198633115,33.480909166593264,448.11044553195234,1.0497937438758944,1.3776378631591797,8.350386619567871,26.051654815673828
MSk3,-15.797831115050608,27.988365916037225,376.65869635191774,231.89429871216754,-282.551165851596,7.266226432559602,613.5078734371124,1.0011757966642432,2.644089181558229e-05,0.046368904411792755,126953185083392.0
MSk4,-15.772021705123874,28.002333594046892,383.1522033851848,230.08753431102184,-282.9352747047317,7.49285325837367,608.6610711727753,1.0497921807323587,1.544503334116598e-07,0.0002953580114990473,-7.102338738788762e+16
MSk5,-15.772021705123873,28.001899631859157,383.1522033851848,230.0875343110219,-281.44236827833595,7.864777987740123,605.6752581706932,1.0497921807323587,2.545970119172125e-07,0.0002953580114990473,-4.571560612882022e+16
MSk5s,-15.761833480360686,28.02351162618773,349.5500889695297,245.92073550231376,-292.958258656699,6.505777279783037,599.6043212941303,0.7991823351375379,0.5465574264526367,0.0002953580114990473,2.4760490756407296e+16
MSk6,-15.772013239360676,27.99975762983587,383.1518255293021,230.08706255834096,-273.25405359896564,9.90542563032733,589.2986747155637,1.0497937438758944,0.9094259142875671,5.071486473083496,7.518557548522949
MSk7,-15.776232701831615,27.950228756963615,383.2453017431934,230.13395560082927,-273.5464975699844,9.683719391843223,589.8837351267,1.0497921807323587,0.911539614200592,5.078869819641113,7.479207515716553
MSk8,-15.775173376750637,27.931308003001977,388.8913356186226,228.2462202102723,-278.9030414406746,8.54952940804768,595.3626579222471,1.0995646553182878,0.0,0.0,0.0
MSk9,-15.7782723291743,27.998807208646596,377.05922650377096,232.22274553607633,-269.1677393049917,10.63626514821225,586.883801550571,1.0,0.2741195261478424,0.0,0.0
MSkA,-15.962410525932823,30.79056472508143,147.62854122280143,326.7187895446344,-140.08428379372506,57.44672240301303,203.27395856279492,0.7900538675962461,2.3006622791290283,12.681537671677555,630.3650713360239
PRC45,-15.336406216732051,54.881483365704426,-174.77745051866594,441.03822203395816,-24.27525278668994,152.5074305547454,97.09858362148105,1.0,2.914485216140747,16.594009390782944,2609.313867874608
QMC1,-13.608352524301305,28.803534624383357,-154.83941384435863,437.1172591582654,-646.7662551999007,-34.862126901859945,258.71490853469174,0.9163812283530441,0.0,0.0,0.0
QMC2,-14.004117260035434,28.73105810509965,-126.22368245169994,418.75815880092415,-505.2091423927376,-8.333961623278421,164.13262747752867,0.8181884420222398,0.0,0.0,0.0
QMC3,-15.953387704998399,45.07420920428491,-129.4261650263296,349.1420268512945,-202.546655900885,91.29228518514786,159.54125461067608,0.828119102341007,2.3875181674957275,14.11198273814479,892.7112326356245
