,rho0,sigma1,sigma2,sigma3,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33
s3i,0.16,0.1666660,0,0, -2701.99585,   379.79266,  -503.67462, 16098.86230,0,0,  0.27494,  0.17936, -0.93000,  0.29666,0,0
s3j,0.16,0.1666660,0,0, -2709.76367,   365.66537,  -495.52466, 16215.47949,0,0,  0.53618,  0.17936, -0.93000,  0.67957,0,0
s3k,0.16,0.1666660,0,0, -2705.20166,   391.36237,  -521.70197, 16102.80664,0,0,  0.03037,  0.17936, -0.93000, -0.07019,0,0
s3m,0.16,0.1666660,0,0, -2717.44849,   354.07941,  -486.88162, 16319.40527,0,0,  0.81986,  0.17936, -0.93000,  1.08643,0,0
s6i,0.16,0.1400000,0,0, -2846.38672,   452.92828,   -95.36777, 15933.55762,0,0,  0.19894, -0.07005,  0.03000,  0.15958,0,0
s6j,0.16,0.1400000,0,0, -2890.86206,   429.22443,   -97.41850, 16398.63477,0,0,  0.48759, -0.07005,  0.03000,  0.57636,0,0
s6k,0.16,0.1400000,0,0, -2850.68701,   465.31250,   -99.07699, 15935.56348,0,0, -0.08328, -0.07005,  0.03000, -0.26684,0,0
s6m,0.16,0.1400000,0,0, -2899.24902,   418.15323,   -95.23162, 16500.30859,0,0,  0.81832, -0.07005,  0.03000,  1.04975,0,0
s7i,0.16,0.2500000,0,0, -2182.32153,   278.42172,  -160.12653, 14608.74219,0,0,  0.18586, -1.34890,  0.00010,  0.21944,0,0
s7j,0.16,0.2500000,0,0, -2180.79810,   268.82352,  -156.02455, 14617.27832,0,0,  0.43597, -1.34890,  0.00010,  0.60923,0,0
s7k,0.16,0.2500000,0,0, -2183.74072,   288.30777,  -163.83073, 14594.49121,0,0, -0.04176, -1.34890,  0.00010, -0.14318,0,0
s7m,0.16,0.2500000,0,0, -2179.65332,   259.43195,  -151.83586, 14627.78613,0,0,  0.69481, -1.34890,  0.00010,  1.00640,0,0
s8i,0.16,0.3500000,0,0, -1768.56177,   262.23285,  -157.59932, 12904.88965,0,0,  0.16146, -1.46363,  0.00010,  0.19594,0,0
s8j,0.16,0.3500000,0,0, -1767.07922,   254.33446,  -153.77974, 12908.10352,0,0,  0.39848, -1.46363,  0.00010,  0.61767,0,0
s8k,0.16,0.3500000,0,0, -1769.94287,   270.29108,  -160.89565, 12894.44531,0,0, -0.05347, -1.46363,  0.00010, -0.19680,0,0
s8m,0.16,0.3500000,0,0, -1765.73999,   246.07645,  -149.86688, 12914.14746,0,0,  0.64471, -1.46363,  0.00010,  1.04620,0,0
s9i,0.16,0.1400000,0,0, -3028.21387,   390.42877,  -106.21297, 17779.94727,0,0,  0.16155, -0.44832,  0.20000,  0.13564,0,0
s9j,0.16,0.1400000,0,0, -3030.72168,   377.70071,  -103.08590, 17834.18555,0,0,  0.48717, -0.44832,  0.20000,  0.59226,0,0
s9k,0.16,0.1400000,0,0, -3031.46655,   401.85403,  -109.48705, 17778.24414,0,0, -0.07936, -0.44832,  0.20000, -0.20914,0,0
s9m,0.16,0.1400000,0,0, -3032.62988,   365.67477,   -99.99329, 17880.45898,0,0,  0.80483, -0.44832,  0.20000,  1.03041,0,0
s10i,0.16,0.3333330,0,0, -1810.98059,   276.81152,  -256.26144, 12859.27148,0,0,  0.18317, -1.01920, -0.50000,  0.21703,0,0
s10j,0.16,0.3333330,0,0, -1809.86316,   268.80746,  -250.41121, 12869.74316,0,0,  0.41750, -1.01920, -0.50000,  0.63064,0,0
s10k,0.16,0.3333330,0,0, -1812.99390,   285.47543,  -262.11084, 12854.90234,0,0, -0.03479, -1.01920, -0.50000, -0.17863,0,0
s10m,0.16,0.3333330,0,0, -1808.68994,   260.27606,  -244.20171, 12880.86523,0,0,  0.66213, -1.01920, -0.50000,  1.05372,0,0
s11i,0.16,0.3333330,0,0, -1807.99146,   278.77899,  -253.88232, 12800.33105,0,0,  0.18689, -0.99367, -0.50000,  0.22243,0,0
s11j,0.16,0.3333330,0,0, -1807.14807,   271.28058,  -248.33928, 12812.49902,0,0,  0.41747, -0.99367, -0.50000,  0.63080,0,0
s11k,0.16,0.3333330,0,0, -1810.55542,   288.12225,  -259.90576, 12799.22754,0,0, -0.03480, -0.99367, -0.50000, -0.18106,0,0
s11m,0.16,0.3333330,0,0, -1806.12805,   262.80148,  -242.14072, 12825.23926,0,0,  0.66254, -0.99367, -0.50000,  1.05592,0,0
s12i,0.16,0.3333330,0,0, -1812.47192,   272.26416,   -85.40064, 12904.61328,0,0,  0.15894, -1.52126,  1.00000,  0.18714,0,0
s12j,0.16,0.3333330,0,0, -1811.39246,   264.32974,   -83.38012, 12914.11914,0,0,  0.39966, -1.52126,  1.00000,  0.60999,0,0
s12k,0.16,0.3333330,0,0, -1814.17566,   280.87292,   -87.30876, 12896.19141,0,0, -0.06220, -1.52126,  1.00000, -0.21185,0,0
s12m,0.16,0.3333330,0,0, -1810.30664,   255.68370,   -81.26357, 12926.14453,0,0,  0.64826, -1.52126,  1.00000,  1.03795,0,0
s15i,0.16,0.1666666,0,0, -2544.63525,   443.44556,   -99.73216, 14329.97266,0,0,  0.18322, -0.08089,  0.00001,  0.12727,0,0
s15j,0.16,0.1666666,0,0, -2578.83252,   420.06409,  -101.35667, 14730.43359,0,0,  0.47226, -0.08089,  0.00001,  0.56804,0,0
s15k,0.16,0.1666666,0,0, -2548.46167,   454.32278,  -103.11471, 14332.05371,0,0, -0.07165, -0.08089,  0.00001, -0.28090,0,0
s15m,0.16,0.1666666,0,0, -2579.85254,   406.23874,   -98.35125, 14783.25488,0,0,  0.76665, -0.08089,  0.00001,  1.01463,0,0
s16i,0.16,0.3000000,0,0, -1902.95654,   305.58997,   191.52762, 12779.14160,0,0,  0.13118, -1.77466, -2.17000,  0.12606,0,0
s16j,0.16,0.3000000,0,0, -1902.05066,   295.74518,   186.78574, 12802.20020,0,0,  0.38801, -1.77466, -2.17000,  0.57141,0,0
