Model,rho0,sigma1,sigma2,sigma3,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33
s10u,0.16,0.3333330,0,0, -1810.61938,   275.04572,  -252.96411, 12851.15918,0,0,  0.37445, -2.79034, -0.50137,  0.90719,0,0
s11u,0.16,0.3333330,0,0, -1808.40710,   278.80063,  -252.51199, 12791.09180,0,0,  0.38107, -2.69200, -0.50647,  0.91266,0,0
s12u,0.16,0.3333330,0,0, -1811.91345,   270.87225,   -83.93902, 12883.81641,0,0,  0.39233, -3.25251,  0.99126,  0.93937,0,0
s15u,0.16,0.1666666,0,0, -2605.16211,   411.37540,   -94.99661, 15032.22266,0,0,  0.52877, -1.45659,  0.18170,  0.87797,0,0
s16u,0.16,0.3000000,0,0, -1903.68481,   298.86230,   188.22943, 12810.95703,0,0,  0.42238, -3.41896, -2.17075,  0.95815,0,0
s17u,0.16,0.1666667,0,0, -2617.62183,   406.87390,   -57.91894, 15167.15137,0,0,  0.54306, -1.53153,  1.13605,  0.89243,0,0
s18u,0.16,0.1666667,0,0, -2677.52466,   383.05768,  -120.05221, 15838.29980,0,0,  0.48575, -1.42291,  0.01809,  0.76139,0,0
s3u,0.16,0.1666660,0,0, -2711.07715,   374.60190,  -509.47797, 16202.85254,0,0,  0.52023, -1.03680, -0.93189,  0.83499,0,0
s6u,0.16,0.1400000,0,0, -2897.53735,   430.84680,   -89.20804, 16465.58789,0,0,  0.56297, -1.32792,  0.20118,  0.87639,0,0
s7u,0.16,0.2500000,0,0, -2179.81201,   275.26840,  -157.23950, 14579.77930,0,0,  0.48459, -3.06634, -0.00330,  0.93835,0,0
s8u,0.16,0.3500000,0,0, -1766.65149,   260.73331,  -154.78253, 12863.25586,0,0,  0.37882, -3.26482, -0.00699,  0.93950,0,0
s9u,0.16,0.1400000,0,0, -3040.43970,   382.48230,  -104.95890, 17912.08008,0,0,  0.54314, -1.55597,  0.21964,  0.80770,0,0
