,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
0,-2125.237709,410.4154402,405.3455016,11578.76331,NaN,NaN,0.444854466,-1.267021846,-0.282167186,1.048391458,NaN,NaN,0.206757645,NaN,NaN
1000,-2037.08865,366.1408919,-344.4415278,12476.46561,NaN,NaN,0.6115612,-1.027851801,-1.258492474,1.765675765,NaN,NaN,0.228713582,NaN,NaN
2000,-1749.9256,407.5195719,-557.0632841,12032.43728,NaN,NaN,0.625528007,-0.950082735,0.407707169,1.658873232,NaN,NaN,0.287081934,NaN,NaN
3000,-1495.526294,356.6327729,-415.2329275,11984.29702,NaN,NaN,0.432505892,-1.17352654,-1.694689391,2.146558359,NaN,NaN,0.348623235,NaN,NaN
4000,-1610.322843,338.1001412,-372.2151565,11590.73825,NaN,NaN,0.371160869,-0.45609815,-0.32910518,0.490834439,NaN,NaN,0.391005409,NaN,NaN
5000,-1624.727789,262.7799533,-104.3925935,11702.81078,NaN,NaN,0.159805396,0.537760583,-2.255935526,0.864379073,NaN,NaN,0.377080881,NaN,NaN
6000,-1558.818877,236.8756142,8.723039437,11671.90564,NaN,NaN,0.097267155,0.19638936,-1.451302169,0.750298266,NaN,NaN,0.330206428,NaN,NaN
7000,-1622.365306,188.7959915,77.08103421,11998.76409,NaN,NaN,0.034630196,0.183777237,-1.599355997,1.442764967,NaN,NaN,0.369172734,NaN,NaN
8000,-1530.197902,201.4120831,29.3971074,12438.01586,NaN,NaN,0.034613616,0.175153584,-2.241080422,-0.362467098,NaN,NaN,0.332253155,NaN,NaN
9000,-1542.423167,132.7932938,-39.88029853,11216.70711,NaN,NaN,0.210616213,-0.241842807,-0.60874954,1.717367575,NaN,NaN,0.357985342,NaN,NaN
10000,-1626.523276,334.2542832,-196.9948193,11592.79759,NaN,NaN,0.173774018,-0.050276916,-0.524439582,1.785906405,NaN,NaN,0.405816647,NaN,NaN
11000,-1664.082743,139.9859495,61.55779516,11867.10696,NaN,NaN,0.156070277,0.282653134,-0.760206622,1.287046459,NaN,NaN,0.371854648,NaN,NaN
12000,-1422.768517,208.5126556,-115.4095499,12523.69699,NaN,NaN,0.226073136,-0.17954569,0.406821878,-0.851985514,NaN,NaN,0.385175774,NaN,NaN
13000,-1449.289012,237.8571811,-200.8378297,12572.35983,NaN,NaN,0.125204968,0.039707372,-2.738836879,0.878426588,NaN,NaN,0.388157754,NaN,NaN
14000,-1722.838299,327.798847,-85.26071181,12478.96741,NaN,NaN,0.052100472,-0.215799865,1.301322371,-0.399185111,NaN,NaN,0.410952554,NaN,NaN
15000,-1581.731791,185.5174632,58.85882106,11260.21557,NaN,NaN,0.176989331,-0.270263321,-1.799670956,-0.450054959,NaN,NaN,0.384467144,NaN,NaN
16000,-1637.109294,83.95804067,-47.87211113,12343.81879,NaN,NaN,0.15192457,-0.140210885,-0.89918409,2.68470248,NaN,NaN,0.336142544,NaN,NaN
17000,-1578.241813,201.0107811,111.1318953,13228.69468,NaN,NaN,-0.087937988,-0.258928129,-2.654622822,1.156525715,NaN,NaN,0.299428079,NaN,NaN
18000,-1572.342153,308.1869588,-83.93129032,12365.24124,NaN,NaN,-0.008071164,0.239818354,1.366313641,1.041352003,NaN,NaN,0.341905064,NaN,NaN
19000,-1751.417469,188.9264662,246.9916869,13439.42323,NaN,NaN,-0.074865371,-0.273507591,-1.727592898,1.040996049,NaN,NaN,0.367917391,NaN,NaN
20000,-1799.67335,156.4012423,354.3164376,12994.39567,NaN,NaN,0.038309562,-0.342681943,0.407753281,-0.64297982,NaN,NaN,0.331797633,NaN,NaN
21000,-2079.245463,252.589881,120.8239279,13892.60284,NaN,NaN,0.088523265,-1.25376199,-1.280102687,2.878298679,NaN,NaN,0.2931982,NaN,NaN
22000,-1984.175571,223.0698641,373.7622804,13175.6806,NaN,NaN,0.136729516,-1.160712054,-2.013708434,2.75356504,NaN,NaN,0.278405523,NaN,NaN
23000,-2267.994322,360.4990132,298.1079338,13209.55143,NaN,NaN,0.135575383,-0.997110071,-1.333319573,0.064249714,NaN,NaN,0.242343257,NaN,NaN
24000,-1961.146222,350.3898877,-18.93056006,14083.06368,NaN,NaN,0.227864862,-1.768945734,-1.13975442,1.397025662,NaN,NaN,0.291296849,NaN,NaN
25000,-1945.050522,379.7575324,63.96517842,13732.33439,NaN,NaN,0.221942269,-1.692573465,-0.332062372,1.411806271,NaN,NaN,0.258294502,NaN,NaN
26000,-2181.233064,349.09318,158.6335707,13573.22002,NaN,NaN,0.201696506,-1.56745464,-2.155651101,0.405323283,NaN,NaN,0.283645793,NaN,NaN
27000,-1991.420706,379.8113908,445.6190224,12607.65823,NaN,NaN,0.306809719,-1.650861393,-0.920610224,-0.077725332,NaN,NaN,0.190975817,NaN,NaN
28000,-2026.105494,376.872984,336.3050316,10458.7213,NaN,NaN,0.327183583,-1.639837307,-1.922532091,0.418457535,NaN,NaN,0.236903833,NaN,NaN
29000,-1924.662869,463.4039141,344.6715709,11765.65077,NaN,NaN,0.290756955,-1.884684277,0.863024201,0.999298853,NaN,NaN,0.278609076,NaN,NaN
30000,-1846.043835,378.3795671,130.5854624,12791.61058,NaN,NaN,0.149660634,-1.66470257,-2.212871307,1.64992896,NaN,NaN,0.228133494,NaN,NaN
31000,-1926.762904,428.9618574,66.49765841,12956.17789,NaN,NaN,0.238676009,-1.384982152,-2.015061124,1.391967809,NaN,NaN,0.215911181,NaN,NaN
32000,-1902.99036,428.8502953,73.08161121,13332.90808,NaN,NaN,0.253642219,-1.723185061,1.246616472,0.268357729,NaN,NaN,0.296378345,NaN,NaN
33000,-1974.623537,319.9872448,256.3873183,12574.28913,NaN,NaN,0.360392142,-1.754040164,-2.346729056,2.263397227,NaN,NaN,0.217492204,NaN,NaN
34000,-1987.919786,507.8599413,238.2409931,12125.64557,NaN,NaN,0.280548914,-1.310892287,-1.784677484,0.692580912,NaN,NaN,0.202370464,NaN,NaN
35000,-2012.588627,498.4639422,9.739476111,11718.47687,NaN,NaN,0.332616399,-1.063936778,1.404268092,1.811347479,NaN,NaN,0.217735713,NaN,NaN
36000,-2288.742676,487.212166,303.2768346,11672.92423,NaN,NaN,0.303293926,-0.452776391,-2.826878914,1.733764797,NaN,NaN,0.180558089,NaN,NaN
37000,-2264.172343,342.3959377,-329.0294532,12281.61414,NaN,NaN,0.574627421,-1.096024345,-0.279094657,0.513109295,NaN,NaN,0.218736578,NaN,NaN
38000,-2228.002189,359.0052877,-35.98059463,12723.33944,NaN,NaN,0.388555159,-1.163340159,-1.644512292,2.237657856,NaN,NaN,0.254746566,NaN,NaN
39000,-2331.383766,442.7982345,293.6819008,12659.17546,NaN,NaN,0.494239639,-1.050741738,1.206951276,0.174671655,NaN,NaN,0.19727589,NaN,NaN
40000,-2226.11997,364.7575995,10.62616369,13263.80508,NaN,NaN,0.235962777,-1.26114201,-0.292039285,0.607797532,NaN,NaN,0.248414793,NaN,NaN
41000,-2035.334987,393.0258035,333.1896701,10532.70799,NaN,NaN,0.320797954,-1.597131231,-1.597694061,1.31788269,NaN,NaN,0.273714781,NaN,NaN
42000,-2008.19291,256.8326594,356.1583594,12952.34936,NaN,NaN,0.196527589,-1.036610056,0.28078203,0.769451209,NaN,NaN,0.249467454,NaN,NaN
