,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
BSk10,-1771.37,322.432,-80.6445,12219,0,0,0.15182000,-0.46102100,1.18713000,0.00144439,0,0,0.333333,0,0
BSk12,-1773.71,309.046,-75.2529,12253.1,0,0,0.15760000,-0.46164000,1.22561000,0.01430013,0,0,0.333333,0,0
BSk13,-1773.86,307.766,-73.428,12254.3,0,0,0.15830500,-0.47146600,1.27406000,0.01751538,0,0,0.333333,0,0
BSk14,-1822.67,377.47,-2.41056,11406.3,0,0,0.22437600,-0.82357500,61.94000000,0.28981375,0,0,0.3,0,0
BSk15,-1832.91,372.552,17.982,11483,0,0,0.20843362,-0.78526300,-9.53228000,0.24431766,0,0,0.3,0,0
BSk16,-1837.23,383.521,-3.41736,11523,0,0,0.21805583,-0.82410600,44.65200000,0.27962240,0,0,0.3,0,0
BSk17,-1837.33,389.102,-3.17417,11523.8,0,0,0.21820402,-0.83210200,49.48750000,0.28029861,0,0,0.3,0,0
BSk6,-2043.3174,382.127,-173.879,12511.7,0,0,0.26743021,-0.79915300,-0.35898300,0.41552842,0,0,0.25,0,0
BSk7,-2044.2484,385.973,-131.525,12518.8,0,0,0.27457752,-0.93233500,-0.05012700,0.43802317,0,0,0.25,0,0
BSk8,-2035.525,398.8208,-196.0032,12433.36,0,0,0.26858021,-0.82200600,-0.38964000,0.43236943,0,0,0.25,0,0
BSk9,-2043.918,411.5987,-194.1886,12497.169,0,0,0.28538381,-0.95379900,-0.33224900,0.48886002,0,0,0.25,0,0
Gs,-1800.16,336.23,-85.74,11113.5,0,0,0.17942972,0.00000000,0.00000000,0.08001941,0,0,0.3,0,0
KDE0v,-2526.511,430.9418,-398.3775,14235.5193,0,0,0.32264717,-0.30870000,-0.94950000,0.51304546,0,0,0.1676,0,0
KDE0v1,-2553.0843,411.6963,-419.8712,14603.6069,0,0,0.29440192,-0.34720000,-0.92680000,0.46542494,0,0,0.1673,0,0
LNS,-2484.97,266.735,-337.135,14588.2,0,0,0.05462173,0.65845000,-0.95382000,-0.03208021,0,0,0.16667,0,0
MSk1,-1813.03,274.828,-274.828,13050.1,0,0,0.18158646,-0.50000000,-0.50000000,0.11922561,0,0,0.3333333,0,0
MSk2,-1830.67,260.301,-293.742,13442.1,0,0,0.17034484,-0.50000000,-0.50000000,0.08245560,0,0,0.3333333,0,0
MSk3,-1810.32,269.092,-269.092,13027.5,0,0,0.18260216,-0.50000000,-0.50000000,0.12029472,0,0,0.3333333,0,0
MSk6,-1827.96,258.483,-291.924,13419.5,0,0,0.17133346,-0.50000000,-0.50000000,0.08343046,0,0,0.333333,0,0
MSk7,-1828.23,259.4,-292.84,13421.7,0,0,0.17122316,-0.50000000,-0.50000000,0.08332270,0,0,0.333333,0,0
MSk8,-1844.2,242.743,-306.583,13777.5,0,0,0.16119156,-0.50000000,-0.50000000,0.05166059,0,0,0.333333,0,0
MSkA,-1218.828,370.265,-106.883,10834.819,0,0,0.31066382,0.01570000,0.03350000,0.25241671,0,0,0.7179,0,0
PRC45,-1089,0,0,17480.4,0,0,0.42088440,0.00000000,0.00000000,0.64716140,0,0,1,0,0
QMC3,-1047,373,-136,12531,0,0,0.61000000,0.00000000,0.00000000,0.00000000,0,0,1,0,0
QMC650,-2462.6784,436.0993,-151.9441,14154.4809,0,0,0.13000000,0.00000000,0.00000000,0.00000000,0,0,0.17,0,0
QMC700,-2429.1323,370.9804,-96.6917,13773.634,0,0,0.10000000,0.00000000,0.00000000,0.00000000,0,0,0.17,0,0
QMC750,-2403.4794,319.6746,-55.2524,13473.6924,0,0,0.08000000,0.00000000,0.00000000,0.00000000,0,0,0.17,0,0
