t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
SI,-1057.3,235.9,-100,14463.5,NaN,NaN,0.56,0,0,1,NaN,NaN,1,NaN,NaN
SII,-1169.9,586.6,-27.1,9331.1,NaN,NaN,0.34,0,0,1,NaN,NaN,1,NaN,NaN
SIII,-1128.75,395,-95,14000,NaN,NaN,0.45,0,0,1,NaN,NaN,1,NaN,NaN
SIIIs,-1121,400,-583.33,14000,NaN,NaN,0.43225,0.35,-0.9875,1,NaN,NaN,1,NaN,NaN
SIV,-1205.6,765,35,5000,NaN,NaN,0.05,0,0,1,NaN,NaN,1,NaN,NaN
SV,-1248.29,970.56,107.22,0,NaN,NaN,-0.17,0,0,1,NaN,NaN,1,NaN,NaN
SVI,-1101.81,271.67,-138.33,17000,NaN,NaN,0.583,0,0,1,NaN,NaN,1,NaN,NaN
SVII,-1096.8,246.2,-148,17626,NaN,NaN,0.62,0,0,1,NaN,NaN,1,NaN,NaN
SkT,-1144.7,402.1,56.1,9656.3,NaN,NaN,0.07,0,0,1,NaN,NaN,1,NaN,NaN
SkT1,-1794,298,-298,12812,NaN,NaN,0.154,-0.5,-0.5,0.089,NaN,NaN,0.3333333,NaN,NaN
SkT2,-1791.6,300,-300,12792,NaN,NaN,0.154,-0.5,-0.5,0.089,NaN,NaN,0.3333333,NaN,NaN
SkT3,-1791.8,298.5,-99.5,12794,NaN,NaN,0.138,-1,1,0.075,NaN,NaN,0.3333333,NaN,NaN
SkT4,-1808.8,303.4,-303.4,12980,NaN,NaN,-0.177,-0.5,-0.5,-0.5,NaN,NaN,0.3333333,NaN,NaN
SkT5,-2917.1,328.2,-328.2,18584,NaN,NaN,-0.295,-0.5,-0.5,-0.5,NaN,NaN,0.1666667,NaN,NaN
SkT6,-1794.2,294,-294,12817,NaN,NaN,0.392,-0.5,-0.5,0.5,NaN,NaN,0.3333333,NaN,NaN
SkT7,-1892.5,366.6,-21,11983,NaN,NaN,0.334,-0.359,6.9,0.366,NaN,NaN,0.285,NaN,NaN
SkT8,-1892.5,367,-228.76,11983,NaN,NaN,0.448,-0.5,-0.5,0.695,NaN,NaN,0.285,NaN,NaN
SkT9,-1891.4,377.4,-239.16,11982,NaN,NaN,0.441,-0.5,-0.5,0.686,NaN,NaN,0.285,NaN,NaN
SkTK,-2248,558.8,-83.7,11224,NaN,NaN,0.715,0,0,1,NaN,NaN,0.166667,NaN,NaN
SkM,-2645,385,-120,15595,NaN,NaN,0.09,0,0,0,NaN,NaN,0.1666667,NaN,NaN
SkM1,-2645,410,-135,15595,NaN,NaN,1.3,0,0,1.734,NaN,NaN,0.1666667,NaN,NaN
SkMP,-2372.24,503.623,57.2783,12585.3,NaN,NaN,-0.157563,-0.402886,-2.95571,-0.267933,NaN,NaN,0.1666667,NaN,NaN
SkMs,-2645,410,-135,15595,NaN,NaN,0.09,0,0,0,NaN,NaN,0.1666667,NaN,NaN
SKa,-1602.78,570.88,-67.7,8000,NaN,NaN,-0.02,0,0,-0.286,NaN,NaN,0.333333,NaN,NaN
SKb,-1602.78,570.88,-67.7,8000,NaN,NaN,-0.165,0,0,-0.286,NaN,NaN,0.333333,NaN,NaN
SGI,-1603,515.9,84.5,8000,NaN,NaN,-0.02,-0.5,-1.731,0.1381,NaN,NaN,0.3333333,NaN,NaN
SGII,-2645,340,-41.9,15595,NaN,NaN,0.09,-0.0588,1.425,0.06044,NaN,NaN,0.1666667,NaN,NaN
RATP,-2160,513,121,11600,NaN,NaN,0.418,-0.36,-2.29,0.586,NaN,NaN,0.2,NaN,NaN
T,-1788.9,301.5,502.5,12764,NaN,NaN,0.353,-2.5,-1.7,0.475,NaN,NaN,0.333333,NaN,NaN
SkP,-2931.7,320.618,-337.409,18708.96,NaN,NaN,0.29215,0.65318,-0.53732,0.18103,NaN,NaN,0.1666667,NaN,NaN
ZR1a,-1003.9,0,0,13287.2,NaN,NaN,0,0,0,1,NaN,NaN,1,NaN,NaN
ZR1b,-1003.9,0,0,13287.2,NaN,NaN,0.2,0,0,1,NaN,NaN,1,NaN,NaN
ZR1c,-1003.9,0,0,13287.2,NaN,NaN,0.5,0,0,1,NaN,NaN,1,NaN,NaN
ZR2a,-1192.2,0,0,11041,NaN,NaN,0,0,0,1,NaN,NaN,0.666666667,NaN,NaN
ZR2b,-1192.2,0,0,11041,NaN,NaN,0.2,0,0,1,NaN,NaN,0.666666667,NaN,NaN
ZR2c,-1192.2,0,0,11041,NaN,NaN,0.5,0,0,1,NaN,NaN,0.666666667,NaN,NaN
