t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
GSkI,-1855.5,397.2,264.6,13858,-2694.1,-319.9,0.12,-1.76,-1.81,0.13,-1.19,-0.46,0.33,0.67,1.00
GSkII,-1856.0,393.1,266.1,13842.9,-2689.7,NaN,0.09,-0.72,-1.84,-0.10,-0.35,NaN,0.33,0.67,NaN
KDE0v1,-2553.1,411.7,-419.9,14603.6,NaN,NaN,0.65,-0.35,-0.93,0.95,NaN,NaN,0.17,NaN,NaN
LNS,-2485.0,266.7,-337.1,14588.2,NaN,NaN,0.06,0.66,-0.95,-0.03,NaN,NaN,0.17,NaN,NaN
MSL0,-2118.1,395.2,-64.0,12875.7,NaN,NaN,-0.07,-0.33,1.36,-0.23,NaN,NaN,0.24,NaN,NaN
NRAPR,-2719.7,417.6,-66.7,15042,NaN,NaN,0.16,-0.05,0.03,0.14,NaN,NaN,0.14,NaN,NaN
Ska25s20,-2180.5,281.5,-160.4,14577.8,NaN,NaN,0.14,-0.80,0,0.06,NaN,NaN,0.25,NaN,NaN
Ska35s20,-1768.8,263.9,-158.3,12904.8,NaN,NaN,0.13,-0.80,0,0.01,NaN,NaN,0.35,NaN,NaN
SKRA,-2895.4,405.5,-89.1,16660,NaN,NaN,0.08,0,0.2,0,NaN,NaN,0.14,NaN,NaN
SkT1,-1794.0,298,-298.0,12812,NaN,NaN,0.15,-0.50,-0.50,0.09,NaN,NaN,0.33,NaN,NaN
SkT2,-1791.6,300,-300.0,12792,NaN,NaN,0.15,-0.50,-0.50,0.09,NaN,NaN,0.33,NaN,NaN
SkT3,-1791.8,298.5,-99.5,12794,NaN,NaN,0.14,-1.00,1,0.08,NaN,NaN,0.33,NaN,NaN
Skxs20,-2885.2,302.7,-323.4,18237.5,NaN,NaN,0.14,-0.26,-0.61,0.05,NaN,NaN,0.17,NaN,NaN
SQMC650,-2462.7,436.1,-151.9,14154.5,NaN,NaN,0.13,0,0,0,NaN,NaN,0.17,NaN,NaN
SQMC700,-2429.1,371,-96.7,13773.6,NaN,NaN,0.1,0,0,0,NaN,NaN,0.16,NaN,NaN
SV-sym32,-1883.3,319.2,197.3,12559.5,NaN,NaN,0.01,-0.59,-2.17,-0.31,NaN,NaN,0.3,NaN,NaN
