Model,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3,CrustSmooth,EOSType,Input,MaxMass,MaxMassRequested,PCentral,PCentral2MOdot,PCentralMaxMass,PRCTransDensity,PolyTropeDensity,R(1.4),RadiusCheckpoint0,RadiusCheckpoint1,RadiusCheckpoint2,RadiusCheckpoint3,RadiusCheckpoint4,RadiusCheckpoint5,SkyrmeDensity,SoundHighDensity,TranDensity,lambda(1.4),P(0.67rho0),P(1.5rho0),P(2rho0),P(3rho0),P(rho0),P_Sym(0.67rho0),P_Sym(1.5rho0),P_Sym(2rho0),P_Sym(rho0),Sym(0.67rho0),Sym(1.5rho0),Sym(2rho0),Sym(rho0),ViolateCausality,AgreeLowDensity
BSk10,-1771.37,322.432,-80.6445,12219.0,0.0,0.0,0.266859,-0.461021,1.18713,0.23156,0.0,0.0,0.333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3584020137786865,2.0,103.83458047224285,239.80695410451744,855.2634416924665,0.3,0.48,10.96373176574707,7.207851886749268,7.207999229431152,10.115358352661133,10.392242431640623,10.62364387512207,10.941876411437988,0.048,0.48,0.00023552,194.43804931640625,0.8586102187028685,5.7908694093306305,11.857963126358127,32.869836454930784,2.160850289586522,-0.6870590101857961,4.344601231451915,14.061676438839822,0.021539001308042864,24.690410871865808,33.787261695912036,33.29956322159317,30.066876439821844,False,True
BSk11,-1773.9,310.45,-78.3014,12254.7,0.0,0.0,0.259339,-0.464192,1.14268,0.225045,0.0,0.0,0.333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3619866371154785,2.0,102.50244642473,237.26676386939525,851.7221053451768,0.3,0.48,11.036828994750977,7.077162265777588,7.077310085296631,10.17176914215088,10.456184387207033,10.690834045410156,11.014678001403807,0.048,0.48,0.00023552,200.1578521728516,0.8763253032408543,6.032730002955055,12.419066390872564,34.64021360432541,2.2303207707866224,-0.6809219378988571,4.4032990453119805,14.187657781495824,0.04092197132387264,24.66336985388604,34.067322831942676,33.89541601074165,30.125938372251497,False,True
BSk12,-1773.71,309.046,-75.2529,12253.1,0.0,0.0,0.263418,-0.46164,1.22561,0.229978,0.0,0.0,0.333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.360872983932495,2.0,102.90289375881149,238.04234743707997,855.4416478856482,0.3,0.48,11.016155242919922,7.116147518157959,7.116295337677003,10.155229568481444,10.4381685256958,10.671932220458984,10.994152069091797,0.048,0.48,0.00023552,198.4414520263672,0.8726933971913905,5.9638268774815275,12.254912845724025,34.113839571566466,2.2121103381607594,-0.6808296099001898,4.402642472325519,14.185641170659794,0.040897044865509456,24.69166916383719,33.9866481842276,33.69959741573424,30.12494831385049,False,True
BSk13,-1773.86,307.766,-73.428,12254.3,0.0,0.0,0.253076,-0.471466,1.27406,0.215541,0.0,0.0,0.333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.363318681716919,2.0,102.01034857696844,236.33229817563603,853.0517114464482,0.3,0.48,11.062819480895996,7.028873920440674,7.029021263122559,10.192442893981934,10.479073524475098,10.714756965637207,11.040520668029783,0.048,0.48,0.00023552,202.3126678466797,0.8818746546000453,6.1226432192827644,12.627185123980274,35.28343559396504,2.255358680636281,-0.6809295131669871,4.402987171554648,14.186896359907193,0.040848579557463016,24.625198799559985,34.17293997809917,34.147260518089624,30.127548415565872,False,True
BSk14,-1822.67,377.47,-2.41056,11406.3,0.0,0.0,0.30209600000000003,-0.823575,61.94,0.4734600000000001,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.399118423461914,2.0,89.65182102833214,213.17884358468385,819.0785123966942,0.3,0.48,11.563573837280273,5.658185958862305,5.6583333015441895,10.633685111999512,10.91514778137207,11.174311637878418,11.538469314575195,0.048,0.48,0.00023552,262.92315673828125,0.9041338214789576,7.464706359527153,16.362865714374472,49.654144107598384,2.516349826278576,-0.6824232283893114,4.444572729955349,14.370416276830964,0.041186250064261916,24.28383612245799,35.56869725129888,37.92218142013131,30.143021820166894,False,True
LNS,-2484.97,266.735,-337.135,14588.2,0.0,0.0,0.06277,0.65845,-0.95382,-0.03413,0.0,0.0,0.16667,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3830230236053467,2.0,94.04193996675207,222.43375731955035,831.4011069749213,0.3,0.48,11.480730056762695,6.1971869468688965,6.19733476638794,10.552022933959961,10.854307174682617,11.098407745361328,11.456068992614744,0.048,0.48,0.00023552,242.0609436035156,1.1772223774035502,8.307832917339633,16.92412599050186,46.242854058437956,3.0744985613181766,-0.6811159862133023,2.624110804961209,9.3911896773588,-0.29181949954003034,24.342110578804622,40.209223373076355,46.383629752971494,31.677877979995998,False,True
QMC650,-2462.6784,436.0993,-151.9441,14154.4809,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3643667697906494,2.0,100.53181785033183,234.75755299610265,851.9431397686052,0.3,0.48,11.215511322021484,6.875,6.875147342681885,10.30954647064209,10.620542526245117,10.855045318603516,11.192327499389648,0.048,0.48,0.00023552,210.885986328125,1.1303179014898173,7.170460864356642,14.131694144237626,36.970536186517954,2.792627150828233,-0.7285262603935958,2.8193226861521232,10.154275440204243,-0.31739062139536073,25.671986982818407,39.518768722926154,43.02807239356945,32.59997565573392,False,True
QMC700,-2429.1323,370.9804,-96.6917,13773.633999999998,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.38867449760437,2.0,92.103806165374,218.8514402022184,829.7191212004866,0.3,0.48,11.547772407531738,5.975827217102051,5.975975036621094,10.613454818725586,10.911456108093262,11.159839630126953,11.52281665802002,0.048,0.48,0.00023552,252.1282958984375,1.1710662818406603,8.380549095823897,17.21481027044987,47.683997997638656,3.07334350708516,-0.7238458010713195,2.9635409660214678,10.553412711672436,-0.28742859672421583,25.07758988965047,40.51842519558793,45.911404373748596,32.38747519287496,False,True
QMC750,-2403.4794,319.6746,-55.2524,13473.6924,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.4024581909179688,2.0,86.86491900874222,210.00687309790916,815.4599923885762,0.3,0.48,11.766179084777832,5.311009883880615,5.3111572265625,10.80158805847168,11.103281021118164,11.359639167785645,11.739893913269045,0.048,0.48,0.00023552,282.7151184082031,1.210856798498,9.303052731544334,19.526222567363764,55.6088417026836,3.2983629581617464,-0.7336655255731713,2.973053804632944,10.649860240490034,-0.3008725498386524,24.842447891122667,41.746970913866576,48.716058442353976,32.54480998286918,False,True
SIV,-1205.6,765.0,35.0,5000.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.5511271953582764,2.0,46.02543562287847,129.53629661797672,694.0618106617646,0.3,0.48,13.412127494812012,0.00014768638357054442,0.00029535801149904733,12.110844612121582,12.50483226776123,12.852303504943848,13.37550449371338,0.048,0.48,0.00023552,699.9373168945312,1.3307574281152958,14.024767544910828,32.43785338387942,104.42287783574743,4.26952699594558,-0.8009508926929884,7.942971593268718,26.268526920689002,0.3689880051192089,24.442119816495843,41.15243453374481,45.82514472003611,32.474063502329415,False,True
