,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3,E0,J,K',K0,Ksym,L,Qsym,m*,PCentral,PressureHigh,R(1.4),lambda(1.4)
KDE0v1,-2553.0843,411.6963,-419.8712,14603.6069,0.0,0.0,0.6483,-0.3472,-0.9268,0.9475,0.0,0.0,0.1673,0.0,0.0,921.8145256931656,33.738026579480355,358.31652664441964,212.59248641882166,-122.802116902013,54.11609329677948,462.74327221453837,0.7534067375367632,92.54657896270895,925.5,11.596652030944824,269.55050659179693
LNS,-2484.97,266.735,-337.135,14588.2,0.0,0.0,0.06277,0.65845,-0.95382,-0.03413,0.0,0.0,0.16667,0.0,0.0,922.8252014022316,31.302436414792986,326.61679375689965,181.705633294242,-112.1377323776304,59.299638956854096,270.67901759211867,0.8406946862864586,116.1787902164484,1165.5,11.157476425170898,195.9592742919922
QMC700,-2429.1323,370.9804,-96.6917,13773.633999999998,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,921.9943198593453,32.018910239580066,330.00378481731474,197.9410301285215,-127.53908920086442,58.268942940234155,288.077336766128,0.7706449015610275,110.53533808781586,1112.25,11.256711959838867,210.71788024902344
QMC750,-2403.4794,319.6746,-55.2524,13473.6924,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,921.9066181961219,32.14682610281743,325.93156907707237,199.59918717181725,-107.23079884533252,62.8231875902936,265.85892214941674,0.7559696405399654,97.98056064579784,996.0,11.570661544799805,252.9348907470703
SII,-1169.9,586.6,-27.1,9331.1,0.0,0.0,0.34,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,922.1260759341824,35.09043157503738,-6.977694197021596,382.8568706931025,-295.47044264336034,47.520322857660176,109.54120409065158,0.5656248251100611,68.65053925578815,720.0,12.39466953277588,419.6689453125
SKRA,-2895.4,405.5,-89.1,16660.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0,0.1422,0.0,0.0,922.245940535468,31.05994757630963,370.1180174634021,212.24182521553973,-136.6290291671654,52.95020391018408,305.77175591878535,0.7514152069084528,104.43073303621293,1060.5,11.41929817199707,230.89892578125
SKzm1,-2471.1,439.85,-299.14,13732.8,0.0,0.0,-0.2665,1.2968,-0.8899,-0.7282,0.0,0.0,0.1694,0.0,0.0,922.0178656093303,31.66844609048809,354.50540002071443,223.67637437877534,-178.54941233360447,54.28504469460432,211.52734648493598,0.704148174436101,120.27353871930859,1216.5,11.150979042053224,188.5367126464844
SLy0,-2486.43,485.25,-440.46,13783.0,0.0,0.0,0.7947,-0.4983,-0.9323,1.2893,0.0,0.0,0.1666667,0.0,0.0,922.0526017302417,31.667342086443114,352.38110242992434,222.7060518771894,-114.93223368259402,46.959417426305926,498.8039528552876,0.7024306175377591,84.4834550899047,826.5,11.714937210083008,301.84423828125
SLy1,-2487.64,488.29,-568.86,13791.0,0.0,0.0,0.7955,-0.3056,-1.0,1.2902,0.0,0.0,0.1666667,0.0,0.0,922.0389846403447,31.6757714638648,352.63299780842283,222.80659730513713,-115.18453339311182,46.91498359709672,499.39333791442283,0.7024314181549871,84.55265420539467,826.5,11.712427139282227,301.4781799316406
SLy2,-2484.23,482.19,-289.95,13763.0,0.0,0.0,0.7893,-0.7279,-0.7754,1.2824,0.0,0.0,0.1666667,0.0,0.0,922.0391770025873,31.66332072574293,351.7624082097126,222.46573253335492,-113.77200992547128,47.27363195950667,495.9946364332072,0.702403677552072,84.17466937546553,823.5,11.724535942077635,303.4316711425781
