,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3,E0,J,K',K0,Ksym,L,Qsym,m*,R(1.4),lambda(1.4)
Gs,-1800.16,336.23,-85.74,11113.5,0.0,0.0,-0.4862,0.0,0.0,-1.0295,0.0,0.0,0.3,0.0,0.0,-15.569024904452215,31.26559960709516,346.3787911333172,235.8589558367521,13.890540136655858,93.66655049292594,-26.352655573978524,0.7847970743326627,13.576042175292967,1198.4600830078125
MSkA,-1218.828,370.265,-106.883,10834.819,0.0,0.0,0.119,0.0157,0.0335,-0.199,0.0,0.0,0.7179,0.0,0.0,-15.962410525932825,30.79056472508143,147.62854122280143,326.7187895446344,-140.08428379372506,57.44672240301303,203.2739585627949,0.7900538675962461,12.681595802307127,630.3261108398438
QMC3,-1047.0,373.0,-136.0,12531.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.9533877049984,45.074209204284905,-129.42616502632958,349.1420268512945,-202.546655900885,91.29228518514786,159.5412546106761,0.8281191023410072,14.112090110778807,892.6591796875
Rs,-1798.0,335.97,-84.81,11083.9,0.0,0.0,-0.4036,0.0,0.0,-0.8705,0.0,0.0,0.3,0.0,0.0,-15.568539324004474,30.462226056751426,345.5501060648142,235.67375969537892,-9.108585668286024,85.3351310486133,22.415206060678468,0.7836717626461743,13.282471656799315,930.2476196289062
SGI,-1603.0,515.9,84.5,8000.0,0.0,0.0,-0.02,-0.5,-1.731,0.1381,0.0,0.0,0.3333333,0.0,0.0,-15.87035420987972,28.6913481724367,307.10038198351896,268.78908290629323,-52.65943173822875,64.65719371884619,197.54267008728803,0.6042752991222199,12.804753303527832,728.213623046875
SIV,-1205.6,765.0,35.0,5000.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.911512734198825,32.06829136910282,80.38809655666599,350.12071705929014,-146.8560727527059,64.17337807173742,81.02877858749703,0.4612978699728991,13.18545150756836,796.3942260742188
SK255,-1689.35,389.3,-126.07,10989.6,0.0,0.0,-0.1461,0.116,0.0012,-0.7449,0.0,0.0,0.3563,0.0,0.0,-16.31268530360942,37.35463962161215,348.9439195312524,254.2534257712268,-58.2072930202529,94.95233829814276,94.1695021080954,0.7975350831868143,13.801241874694824,1018.5659790039062
SK272,-1496.84,397.66,-112.82,10191.64,0.0,0.0,0.0008,0.0102,0.002,-0.5519,0.0,0.0,0.4492,0.0,0.0,-16.256930214076135,37.73436134428243,311.5478496053923,276.23249607653173,-68.77648748887566,92.43066934305405,135.84247004717741,0.7710677927961528,13.85336971282959,1027.254638671875
SKa,-1602.78,570.88,-67.7,8000.0,0.0,0.0,-0.02,0.0,0.0,-0.28600000000000003,0.0,0.0,0.333333,0.0,0.0,-15.970828715229384,33.18455145457761,305.96583620379465,267.65448115023685,-79.52560760787,75.15822432107666,176.5157231220097,0.6061771924881126,13.203319549560547,791.4812622070312
SkI4,-1855.827,473.829,1006.855,9703.607,0.0,0.0,0.405082,-2.889148,-1.32515,1.145203,0.0,0.0,0.25,0.0,0.0,-15.9188554298263,29.122089108115322,320.0864275364405,240.4559102916645,-41.21801122793368,59.51483447205612,345.1512474690988,0.6540340541602775,12.453442573547365,592.237060546875
